"","miR200a","miR141","ZEB1","miR34a","miR200b","miR200c","TWIST1","miR101","GSC","TGFbeta","FOXC2","SNAI1","SNAI2","TWIST2","ZEB2"
"miR200c",0.292186666398819,0.286036993276997,0.285630632198798,0.175373006557567,0.0269342241269602,1.87868621558374e-05,-0.0199540637181269,-0.0623530999364146,-0.00670388121797957,-0.00745283304377361,0.0160811352701227,0.0628485217406701,-0.0576995106587026,-0.106418285399047,-0.298186145541035
"miR200b",0.292186666398819,0.286036993276997,0.285630632198798,0.175373006557567,0.0269342241269602,1.87868621558374e-05,-0.0199540637181269,-0.0623530999364146,-0.00670388121797957,-0.00745283304377361,0.0160811352701227,0.0628485217406701,-0.0576995106587026,-0.106418285399047,-0.298186145541035
"TWIST1",0.0557566125792525,-0.128696739555236,-0.127868857589995,-0.184973647376683,0.133064495210207,0.197157621807482,-0.238401817219941,-0.103774021322292,0.101191393470679,0.101223475600933,0.201049086172781,0.320093987910817,0.0432973191065093,0.058353303905272,-0.280470340955858
"miR200a",0.238022456183413,0.236636614791123,0.236385763191597,0.282634480980069,-0.0157890601417882,-0.000680178790693838,0.270620010163578,0.135125355296652,-0.20329469332016,-0.202944704667915,-0.187983499067598,-0.305684468065071,-0.0309318321417734,-0.152421284671238,-0.240001637239813
"miR141",0.238022456183413,0.236636614791123,0.236385763191597,0.282634480980069,-0.0157890601417882,-0.000680178790693838,0.270620010163578,0.135125355296652,-0.20329469332016,-0.202944704667915,-0.187983499067598,-0.305684468065071,-0.0309318321417734,-0.152421284671238,-0.240001637239813
"TWIST2",0.0529800058832365,-0.0684596454836005,-0.0679855867847553,-0.0892813846599568,0.074010395384681,0.114865843850214,-0.242608113193812,-0.0642700711376082,0.0497692550128248,0.0506266064476859,0.172188041181618,0.152479662787398,0.0012013250264578,-0.00362773836821534,-0.171012555108886
"miR101",0.0413107128447057,-0.0789495840007004,-0.0785646237071894,0.0463486206940843,0.141961801641529,0.11833087945972,0.206410119318249,0.0804103712161849,0.0768371243481253,0.0765556274885746,-0.23424522309564,-0.197303878237036,-0.136053789465768,-0.0719500032882125,-0.166420403272926
"GSC",0.154424858535142,0.14876357322306,0.148692818853732,0.0488239108972269,-0.0206487865361746,-0.00110184841217904,-0.17671915352943,-0.0394075299662754,-0.0721430404891006,-0.071738585808847,0.0120019144864416,0.0576396324059615,0.082029686503918,0.0193131852753987,-0.161584793211281
"SNAI1",0.0554506542861889,-0.0350901083945536,-0.0351275145699731,-0.193857217484471,0.00123038622253376,0.0804231514688919,-0.328270392923541,-0.115619804066292,0.0103245379222107,0.010337622619855,0.334238948849842,0.204821762026664,0.167930018841241,0.175077895262574,-0.140365157440223
"TGFbeta",0.0994294895366521,0.0657697362060103,0.0659915686613222,-0.121519549016642,0.0695529040274009,0.0258064309792773,-0.201131219336413,-0.0963676412533382,0.160388984287522,0.0609439304061255,0.161580948881415,0.241143859304945,0.0479335719429867,0.0371648552326291,-0.127906403978258
"SNAI2",-0.0236317611613664,-0.0796424840340182,-0.0790788103418048,-0.0422935312476207,0.0340511226109368,0.0553527048630026,-0.0732180536022758,0.0128476672636111,0.0419755177783251,0.0421799537830126,0.0229590786645842,-0.00390249231528054,-0.0775673976212182,0.0301733959640245,-0.0325377784039058
"FOXC2",0.169062312620371,0.188569037650443,0.187241627648414,0.26586285279018,-0.20790542279082,-0.218852271208519,0.266730806858699,0.0872409178696034,-0.199685542266499,-0.199436469371165,-0.227920107132386,-0.284512326621479,-0.103049843271701,-0.233041802408599,0.0555376945481546
"ZEB1",0.168229456775622,0.187241627648414,0.0871789688082542,0.264431094465613,-0.207452420613457,-0.218246294787773,0.265742097855772,0.0865168726967687,-0.199436469371165,-0.198339790121053,-0.226811138211278,-0.283646922785953,-0.102082443824654,-0.232183489982876,0.0557589262787672
"miR34a",-0.142708725383506,-0.0865261674872962,-0.0863954719701053,0.0473400968709836,0.0613904584284528,0.0388528478056307,0.202102408947116,0.035096579078019,0.0787964966277606,0.0794984873204683,-0.236971633777955,-0.202593048984292,-0.117168298296898,-0.22699259197836,0.126779714866868
"ZEB2",-0.501195253905246,-0.29313719633257,-0.293077972021737,-0.246793771270961,-0.232300958821607,-0.225101960481156,-0.0599441707117826,0.00494561337276014,0.036463044540387,0.0371683776707468,0.0487292506893899,0.0489741409358018,0.054751176472556,0.138936969591159,0.409741329585354
