"","miR200b","GSC","miR200a","SNAI2","TWIST2","ZEB1","TWIST1","SNAI1","FOXC2","miR34a","miR141","miR101","miR200c","ZEB2","TGFbeta"
"SNAI2",0.421206801995853,0.30305270078312,0.085299025888607,0.355503192636206,0.387511100078728,0.122521278664687,0.357302355635701,-0.230716628505515,-0.0710942796708044,0.0066064241802888,-0.120908629331349,-0.220952636133845,-0.085299025888607,-0.30618373396311,-0.303732728497457
"TWIST2",0.0926869409854267,0.161382482558504,0.21405424686777,0.156805553945004,0.0685196774930292,-0.151807428373966,0.303373241983762,-0.189020242871843,-0.0223722474092382,0.169187439747191,0.152068644391697,0.00218831118275871,-0.21405424686777,-0.282652839186685,-0.161191771381245
"miR200b",0.302010480868917,0.134815056226202,-0.0347691889510951,0.223394839618977,0.233077392516342,0.325563073300922,0.149143327530958,-0.0254862695371327,-0.0476791464014428,-0.252929617570417,-0.324124610623197,-0.102039644491109,0.0347691889510951,-0.270737656597438,-0.135903246199565
"miR200c",-0.0688028419551006,0.0413872469090356,0.23949626248167,-0.157720303508438,-0.176192036998851,-0.269613426253199,-0.116335558220941,0.0425396760603802,0.0374436843199347,0.20626756272678,0.269083027852725,0.0596558350450272,-0.23949626248167,-0.20378813976659,-0.040798358152869
"miR200a",0.0176578869056254,0.258998126845985,0.222176734091724,0.0898655674019462,-0.0113966275885912,-0.239285677644368,-0.0173581630818671,0.167328429939279,0.0137019601105354,0.111333099203647,0.239269941566169,-0.128393613533488,-0.222176734091724,-0.203296692718423,-0.258996932345465
"miR141",0.0176578869056254,0.258998126845985,0.222176734091724,0.0898655674019462,-0.0113966275885912,-0.239285677644368,-0.0173581630818671,0.167328429939279,0.0137019601105354,0.111333099203647,0.239269941566169,-0.128393613533488,-0.222176734091724,-0.203296692718423,-0.258996932345465
"TWIST1",-0.0699955445160509,0.0920365500406609,0.178333923799115,-0.179338295094364,-0.218231234172989,-0.191420835593977,0.00445071568708648,-0.0792990694903637,0.0445499026113839,0.155812903099559,0.190838232782861,0.11560671695058,-0.178333923799115,-0.170723168092364,-0.0915152154240424
"ZEB1",0.337569839673128,-0.116929857434457,-0.263939526293329,0.178657126152793,0.274744270674332,0.277046929383882,0.199804065464424,-0.252213188774677,-0.124758541680319,-0.268949779653766,-0.376006792637229,0.0311834916506869,0.263939526293329,-0.0817529718829562,0.116387276335218
"TGFbeta",-0.117169119975266,-0.175153367781718,0.0468051420294202,-0.160453602764744,-0.167042199586133,-0.0402694956964272,-0.116838148477338,-0.00601537293181369,0.0330139715901859,0.0941244921529311,0.0398029258788192,0.0857540857233034,-0.0468051420294202,-0.042581352009812,0.0754001897472601
"GSC",0.0624885700197497,-0.0731184409870038,-0.118617742413042,0.00547265443928816,0.00658983779915796,0.185451996315227,0.328045552915446,-0.262197467166458,-0.133968854473758,-0.00944627737754799,-0.185168978837915,0.176014879402281,0.118617742413042,0.0315408895413302,0.073119071961544
"FOXC2",-0.335826104204257,0.118191826770816,0.263849816317001,-0.177467682932943,-0.273143848120522,-0.376006792637229,-0.198131325157356,0.251291345558573,0.124285032001904,0.268165632702687,0.374329108716724,-0.0315070011959961,-0.263849816317001,0.0807095992096655,-0.116929857434457
"SNAI1",-0.138659997544374,-0.0460081311205149,-0.0231007401587866,-0.105018928342267,-0.00884612770520851,-0.124334588606268,-0.21291298698888,0.109064212796402,0.0880258166857255,-0.0855538147871868,0.1240467774549,-0.101656277335099,0.0231007401587866,0.187474465476493,0.0460822777404996
"ZEB2",-0.343240634590322,-0.230439289041054,-0.204569724529982,-0.187082149897248,-0.151828797094919,-0.125523282097128,-0.0788627726750756,-0.0637098979553126,0.0235863683475723,0.11798582698032,0.124233784707477,0.127083906090713,0.204569724529982,0.223099475320413,0.231649518908613
"miR34a",-0.270775481597141,-0.0518982997432438,0.0496177881833615,-0.29136175110039,-0.311416182197681,-0.195098161731547,-0.310648052329332,0.311396008024957,0.129097432768564,-0.0137824823534016,0.194002584147008,0.0156224139854361,-0.0496177881833615,0.244167032426861,0.0522811485998544
"miR101",-0.287087094085371,-0.0428277606484671,0.0104545259417717,-0.172405333262649,-0.107860011544068,-0.293338653880098,-0.276035950441064,0.265713477009786,0.115666856261605,0.0809569896241263,0.292205595372271,-0.0943057006935029,-0.0104545259417717,0.290196140098372,0.0434065885659182
