"","miR200c","TWIST1","SNAI1","ZEB1","SNAI2","miR34a","FOXC2","TWIST2","miR141","miR101","ZEB2","GSC","TGFbeta","miR200b","miR200a"
"miR200b",0.134701317798074,-0.158251692103208,-0.133806371795251,-0.0196908447558518,-0.072882306590214,-0.00921061436775168,-0.0359389612588964,0.0469714641603301,0.0200990571373684,0.103237461652067,-0.252226330708757,0.0740824712387945,0.0733860774358632,-0.107295929546129,-0.114017105444465
"miR141",0.134701317798074,-0.158251692103208,-0.133806371795251,-0.0196908447558518,-0.072882306590214,-0.00921061436775168,-0.0359389612588964,0.0469714641603301,0.0200990571373684,0.103237461652067,-0.252226330708757,0.0740824712387945,0.0733860774358632,-0.107295929546129,-0.114017105444465
"miR101",0.16930749147751,-0.0306865460497446,-0.0357536891629183,-0.118880340433487,0.041684417350432,-0.0395254659369184,0.0267220776801483,0.0188849241617561,0.119276211913351,0.0466096298365362,-0.219197627602587,0.0434476156645086,0.042349777912261,-0.0264820211702352,-0.0477892207005766
"GSC",0.0509427224636786,-0.0696705051619116,0.0110918114491426,0.0802228825603806,-0.00432742786039975,0.0530758583043461,-0.164012101300951,-0.0255637476129534,-0.0804572564087795,0.0473915577349153,-0.19400334600169,-0.0707670716499436,-0.0704219285764666,-0.123608852784085,-0.128560928357865
"TWIST2",0.0788719196411218,-0.085548293006053,0.0148522061759336,0.0268656684097292,0.0615855650381389,0.0160438638527089,-0.0753182444589968,-0.087225382407436,-0.0271840529161892,-0.0240327061144429,-0.186801944066487,-0.0313078025790294,-0.0309778779014558,-0.0527757283499004,-0.108829431507676
"TGFbeta",0.0834271251898016,-0.0995978739172636,-0.0828731096164469,-0.0144607972153363,-0.0281112359774677,0.0865434595477781,-0.0572034313399811,0.024453188342451,0.0146380749200764,0.0565368651152111,-0.157689842061682,-0.000143848245162368,-0.100484236707445,-0.119662466554142,-0.0666759644548295
"FOXC2",0.0432061209865536,-0.154661269049508,-0.143719637498523,-0.0341117725724813,-0.100273370708156,-0.0096167244583846,0.0656478751700048,0.105868097401878,0.0352191934671748,0.120130578811296,-0.0482422192743973,0.0178868260591503,0.0152964679476764,-0.00228164529164409,-1.41893781407779e-05
"ZEB1",-0.0426580219698907,0.154676204230821,0.143383352855913,-0.0653313156561784,0.10004324281741,0.00877139763100884,-0.0655321969098058,-0.107059170952651,-0.0341117725724813,-0.120572590021553,0.0481643291202459,-0.0152964679476764,-0.0166337256097149,0.00292931846579621,0.000666467722152492
"SNAI2",-0.0313183007825199,0.0658858587213621,0.020524347830719,0.00842748273432511,-0.0967593827125581,-0.00213801511041348,-0.00497215149444199,0.000610478437117067,-0.00854035144155976,-0.014912255589392,0.0540859381810495,0.00297557296057739,0.00341951558163515,0.01752508982688,0.0238184278285328
"ZEB2",-0.163594405646838,-0.0632453238476759,-0.054756163335942,-0.0420163107486486,-0.0355425455749412,-0.0231528876382173,-0.0115101524349796,0.0303766753800945,0.0418794478454629,0.0452772134327588,0.0644841992283659,0.0810896880015739,0.0812596783603297,0.196868118638366,0.20097433144407
"TWIST1",-0.0435990992414716,0.0160541359641061,0.0172110162054371,0.00192028654848772,0.0775835693492214,-0.00185802668110925,0.106628705942616,-0.0987698414991429,-0.0022296079341853,-0.0308968527327664,0.104746843029107,0.0327585618187375,0.0330299231704646,0.0722287684675098,0.0610448330458785
"miR34a",0.0284287355573109,0.0754761195492908,0.0662492432905416,-0.0686526667717739,0.022770592774655,-0.0704525308793601,-0.0435388619196872,-0.12595639743382,0.068733820666925,-0.0365640438596512,0.129382165518576,0.0824722254044191,0.0822204309900079,0.0908116993050082,0.133751895630822
"miR200c",-0.0456774737217871,-0.183909600935895,-0.153491064287972,-0.0418335279944407,-0.0843973907402123,-0.0200403934206315,-0.0409410394060272,0.0581824692353397,0.0423407851034454,0.118623626805092,0.130494095691858,0.137579759390131,0.136579962455219,0.0605225176152467,0.0897795770978136
"miR200a",-0.0456774737217871,-0.183909600935895,-0.153491064287972,-0.0418335279944407,-0.0843973907402123,-0.0200403934206315,-0.0409410394060272,0.0581824692353397,0.0423407851034454,0.118623626805092,0.130494095691858,0.137579759390131,0.136579962455219,0.0605225176152467,0.0897795770978136
"SNAI1",-0.130914208520976,0.0073333767251626,-0.0847533879541983,0.125304737107999,-0.0453702170063509,0.00928067855545997,-0.0263114332415542,0.0265233688664381,-0.125096993720545,-0.0350587126230006,0.139825768457053,-0.055857243970633,-0.056022586968139,-0.0178005803518768,0.000277561559463632
