"","ZEB2","FOXC2","TWIST1","miR200a","ZEB1","miR101","miR200b","GSC","TGFbeta","miR34a","miR141","miR200c","TWIST2","SNAI2","SNAI1"
"miR101",-0.128777014353679,0.32576127033713,0.293280983757452,0.147207717032423,0.1622426110612,0.132221964208735,0.0105093146995408,0.0270335759132297,-0.0271725649876329,0.0185278196228479,-0.162306373306449,-0.147207717032423,-0.0547347626883838,-0.146428795618401,-0.315377919687219
"TWIST1",-0.122112679923235,0.41046164945534,0.27168993934383,0.156900075838548,0.182445982714904,0.0589648378797447,0.0132187898779457,0.0301569589046734,-0.0302505317845793,-0.00708976562561575,-0.182252818899024,-0.156900075838548,-0.127137210216434,-0.14106105138718,-0.297153365711785
"ZEB2",-0.0848733580575237,-0.0438599731866151,-0.0401753552438325,-0.0131586785923809,-0.0124545631834937,-0.0076790748246525,-0.00475185278632712,-0.00399825749615482,0.00405153805636185,0.00747390834006695,0.0121693906615832,0.0131586785923809,0.0171764013531275,0.024265285845695,0.0402210266368359
"ZEB1",-0.0262593530188878,0.147288425429415,0.121608032387068,0.0438674741605711,-0.0450194759445072,0.10563635261663,-0.0246025939541153,0.00283710099927836,-0.00286397411975952,-0.0233353671741656,-0.0543308772007159,-0.0438674741605711,-0.0293658493524144,0.0691332674355396,-0.146656207747853
"FOXC2",-0.0262033787256003,0.146713118882025,0.121664786076057,0.0441585975031069,0.0543308772007159,0.105763149398125,-0.0250454474065271,0.00267658735561865,-0.00283710099927836,-0.0238762868121597,-0.0550047273304668,-0.0441585975031069,-0.0286184573017079,0.0691316506119512,-0.14619646196023
"miR200a",-0.00550381231427048,-0.110843983742844,-0.0751360894218483,0.0154884205753002,0.0250996409095787,0.0357490231549678,-0.0480589139209636,-0.111162862363238,0.111128221848169,-0.115473321633944,-0.025632816265029,-0.0154884205753002,0.0130713664488188,0.132137428351997,0.0606912810806013
"miR141",-0.00550381231427048,-0.110843983742844,-0.0751360894218483,0.0154884205753002,0.0250996409095787,0.0357490231549678,-0.0480589139209636,-0.111162862363238,0.111128221848169,-0.115473321633944,-0.025632816265029,-0.0154884205753002,0.0130713664488188,0.132137428351997,0.0606912810806013
"SNAI2",-0.00389081213795666,-0.0565482736174776,-0.099717875546013,0.00367964025554478,0.00381430863823653,0.00615131633847471,-0.0109407135769838,-0.00327240241273892,0.00332800216296774,-0.0151756207383739,-0.00356948067091152,-0.00367964025554478,0.0141307114446075,-0.0637925576997176,0.0292301930663804
"miR200b",0.00550381231427048,0.110843983742844,0.0751360894218483,-0.0154884205753002,-0.0250996409095787,-0.0357490231549678,0.0480589139209636,0.111162862363238,-0.111128221848169,0.115473321633944,0.025632816265029,0.0154884205753002,-0.0130713664488188,-0.132137428351997,-0.0606912810806013
"miR200c",0.0147109485321071,-0.191795291044126,-0.174723259325369,-0.0278183240057532,-0.0399240114510997,-0.03638875006059,0.0116213234384174,-0.11288381406578,0.112987735610986,0.013347042232797,0.039974922292332,0.0278183240057532,0.0598056885063915,0.091694901881843,0.166647838032497
"TGFbeta",0.0228904313733325,-0.207972188721444,-0.171080087309326,-0.0287840594082987,-0.0336164886899543,-0.00516729006516639,-0.102636116523235,-0.205678586539219,0.105735049080356,-0.0958491134094662,0.0335791505539117,0.0287840594082987,0.0930265141745423,0.13912591348914,0.152323221405545
"GSC",0.0833601728740642,0.0255537319916101,-0.030405343004427,-0.082468997819707,-0.0813193031036539,-0.10723771291292,-0.00666650313033669,-0.0139726232629523,0.0140161605062246,-0.0204478769251356,0.0816460507120088,0.082468997819707,0.00430623651905118,0.0259158808719957,0.145025680887778
"miR34a",0.137836053556744,-0.305235329817779,-0.218194804291474,-0.216162962877227,-0.204533146974847,-0.141740154583743,0.0800383239813109,-0.00265679356216682,0.0028115106119857,-0.00609060725400192,0.204363289984996,0.216162962877227,0.054668211438677,-0.0111107363093802,0.308033469208723
"SNAI1",0.154884370221339,-0.332779989432752,-0.29452309930228,-0.162248564112926,-0.169602908602244,-0.118134242001422,-0.0385700265317573,-0.0371224916358733,0.0371974312678364,-0.0940091683446007,0.169395783498682,0.162248564112926,0.0496013102766446,0.174106142634351,0.216168240164187
"TWIST2",0.158888248229121,-0.299865402562221,-0.323907033032344,-0.178335553191123,-0.194430309490028,-0.111564743580451,0.0120834149407966,-0.0213946298294857,0.0215445955920191,-0.00454139392281125,0.19442503239876,0.178335553191123,-0.0231103547884511,0.0292461773342285,0.299360078797159
