"","ZEB2","SNAI1","SNAI2","miR200a","miR141","miR34a","TGFbeta","miR200c","GSC","TWIST1","ZEB1","TWIST2","miR200b","miR101","FOXC2"
"GSC",-0.193687098080002,-0.230194303521905,0.241617479231708,0.0252195250931774,-0.126218713891122,0.019985345476634,-0.0454926747503327,0.155882737752587,0.0460637067091931,-0.368069083154665,0.125915551072543,-0.137664675091165,-0.068470516773889,0.0389312692668574,0.156492447879332
"ZEB2",-0.087648840729268,-0.0308708276872186,-0.01830206965709,-0.0139329965705079,-0.0134559677132921,-0.011700247639983,-0.0025746963695416,-0.00249843641961169,0.00231844224664111,0.00313267869548074,0.0135460483877525,0.0154674296240769,0.0245338905982163,0.0245398477582335,0.0261572054321081
"SNAI2",-0.0447908400797558,-0.0324846523307997,0.263317160406561,0.0810535697994264,0.114934334980725,0.0853986636293192,0.239335167242781,-0.0358645898433838,-0.238745809890356,-0.181046612930461,-0.115195239203087,-0.373122508632421,-0.302603730461077,-0.268732929315719,0.0946787311922151
"ZEB1",-0.0323020783441102,-0.101067885080114,0.154943632109457,-0.0107073387838779,-0.0377959356092899,-0.026355411542519,-0.0104220715430013,0.0360815775119,0.0099421943915521,-0.0344182239876556,-0.0619860116269539,-0.0174085264187883,-0.0105876645700766,-0.0282838616044964,0.0973046460625382
"FOXC2",-0.0317787631259142,-0.100822138610515,0.154985130581559,-0.0106326769326113,-0.0384313410406715,-0.0266799633253155,-0.0099421943915521,0.0368449804717505,0.0112152336343705,-0.0342390018118984,0.0377959356092899,-0.017131225481247,-0.0105120104386229,-0.0277470490622801,0.0977257149296624
"miR200c",-0.027195682382693,0.052759985037227,0.17682641322675,0.0106105806375165,-0.00643434841712434,-0.0977717790057327,-0.0937699745340393,0.0164819130495979,0.0945905963910098,-0.045692848966419,0.00599466387920965,-0.0459164535035866,-0.0560511061384205,-0.115541568569155,-0.0676873233775463
"miR200b",-0.0064576067556948,0.0427987535017421,0.171396069577024,-0.00581499856003853,-0.0186926885106271,-0.105303827584645,-0.0913556550464941,0.0125982675290746,0.0924175660084254,-0.0444613694255716,0.0181613644584944,-0.0395816524445238,-0.0048387213723744,-0.107878729836786,-0.0573669887322045
"miR141",-0.00292268337666739,-0.121668820912419,-0.0628332880092572,-0.0218089196520288,-0.0445347176260061,-0.0326491685246021,0.0740793831756372,0.0247508221879403,-0.0738010645545686,0.0158181375834983,0.044423639426954,0.0517273134913499,0.0813471645086334,0.0924577539109005,0.105980225792062
"TGFbeta",0.00637532128372461,-0.0569209993073892,-0.142451340692496,-0.0193866102779393,-0.0295100110438855,0.0676882323833885,-0.110964406752308,0.0140660890187699,0.0114015881422549,0.0623833882298088,0.0292888061202718,0.107435076167944,0.124483029873052,0.101240743479192,0.0491660577267279
"miR101",0.010015376550038,0.182649960001425,-0.141483859775544,-0.00764785969912572,-0.00561324011339067,-0.0669496049707098,-0.0123890136857389,-0.00143978525419891,0.0125104092064201,0.224288719786858,0.0055494778681413,0.112377623720425,0.0330992679017371,-0.0698678284302624,-0.211897734600253
"miR200a",0.0236607590036656,0.111707589376934,0.057402944359531,0.00538334045447375,0.0322763775325034,0.0251171199456902,-0.071665063688092,-0.0286344677084636,0.0716280341719841,-0.014586658042651,-0.0322569388476692,-0.0453925124322871,-0.0301347797425873,-0.0847949151785315,-0.0956598911467198
"miR34a",0.0561754411989747,0.214130212231235,-0.221186639551289,0.102167314318585,0.14555901450235,-0.0165077842955529,0.0282006331978572,-0.151631324810032,-0.0282509920807394,0.135861791290806,-0.145523155804493,0.0795432188040075,0.0335434927633174,0.0196466224906373,-0.191424349397149
"TWIST2",0.0629082439160174,-0.0917841357636229,-0.145841648277186,-0.0854978628711248,-0.104077497332249,-0.0102247321440528,-0.0370678759189055,0.0225499558904944,0.0375302231943389,0.0448610319623846,0.1038541004686,0.133932801548186,0.106782678719219,0.12299666986699,0.0111521717242784
"TWIST1",0.158217904901946,0.220326925558301,-0.33770310024183,-0.00569762725902308,0.133447302899,-0.00546073756704817,0.0234863112746578,-0.146016222032058,-0.0236333543716528,0.256762861691458,-0.133353184153813,0.235128794746051,0.0949191745685982,0.0939329236806317,-0.346523383885109
"SNAI1",0.181400293870418,0.0966467009153799,-0.227073719389321,-0.0182043059113203,0.125372372018267,-0.0847140206496756,0.0310494432034938,-0.149427750403124,-0.0310680789849873,0.256304338743253,-0.125345785810944,0.170809335208142,0.0781359925728126,-0.0325028263312699,-0.231580191707733
