"","miR200b","GSC","SNAI2","ZEB1","FOXC2","TWIST2","miR34a","miR141","TWIST1","SNAI1","miR101","TGFbeta","ZEB2","miR200a","miR200c"
"TWIST1",0.105750951546916,0.0378451468002328,-0.0742321378083397,0.0172298502080555,-0.169099830257767,0.102365967871081,-0.010011358933485,-0.017250851911527,-0.0202120341363197,-0.0116230925083289,0.0474819068883852,-0.0378571775990779,-0.237607602216731,-0.107038172220574,-0.106258729461812
"miR200b",0.0516151087780483,0.112142383969988,0.0708946730022224,0.0171186078005148,0.0237635599320212,-0.0757782123022091,0.0845867619419803,-0.0170825073858228,-0.0593164282960666,-0.0854430610801044,-0.0779620519036354,-0.11213641146739,-0.176025846166221,-0.0799154516227507,-0.0973927313569222
"miR200a",0.0516151087780483,0.112142383969988,0.0708946730022224,0.0171186078005148,0.0237635599320212,-0.0757782123022091,0.0845867619419803,-0.0170825073858228,-0.0593164282960666,-0.0854430610801044,-0.0779620519036354,-0.11213641146739,-0.176025846166221,-0.0799154516227507,-0.0973927313569222
"TGFbeta",0.172085486777265,0.0173597902159726,-0.090696892901256,-0.0790195930665591,-0.0396552696852676,0.116444908220528,-0.0616085417927113,0.0790111213886335,0.0560856258318654,0.0957849339453886,0.0930496729631875,-0.117367856293278,-0.149039182900609,-0.109565279675873,-0.0332792841556841
"TWIST2",0.00773141884620295,-0.00909954655267462,0.1771571438312,-0.106539080998469,0.0143084909077438,-0.155635247951384,0.0324690076078038,0.106524568997484,0.00587926046860561,0.0275496263742672,-0.0749152232531714,0.00910463972951538,-0.113673387774242,-0.109646496964203,-0.00606148768534013
"SNAI1",0.0218923797073114,0.00039236096366928,0.0945576956093613,-0.0704034670419628,-0.0948740692558818,-0.0208032670875306,-0.022049542491012,0.0704272709717752,0.0193223056924363,-0.0831384250317845,0.0105139942368271,-0.000389585421744719,-0.0998978661726209,-0.0821319714260282,-0.0178916960670595
"ZEB1",0.00633654811135504,0.00300622939456333,0.104671374802237,-0.0911586180857308,0.0906478064021851,-0.00273480300267579,-0.00272993168529013,-0.00881481456604146,-0.0687113358320929,-0.070574236497785,-0.0888765087594331,-0.0030075090669672,-0.0544395405022118,-0.0170684199679819,-0.0270008221519848
"FOXC2",0.00632178632960798,0.00297855462841511,0.104668680096256,0.00881481456604146,0.0906894505758567,-0.00280082703542371,-0.00278290450501094,-0.00886073462242702,-0.0686964006507798,-0.0705283795010656,-0.0888160729103094,-0.00300622939456333,-0.054427990251216,-0.0170365873957364,-0.0270187641472504
"miR34a",0.0320740013106824,0.0276379337562602,-0.139521746205524,0.0699033900802379,-0.0812624536052031,0.0476919093722972,-0.0455346722720892,-0.0699104674548151,-0.0143801527620687,0.00974624863880281,0.0877946004317419,-0.0276494616933055,-0.0198517491933854,0.0731543125970185,-0.0906230417327882
"SNAI2",-0.209742731212227,-0.199275762274058,0.0517754191871995,0.0341130385371776,-0.0577853631007362,-0.15859433077127,-0.0328126774675417,-0.0341053353316394,0.156792898003223,0.0341439414913141,-0.15833887004555,0.199280039177922,0.0287505167712333,0.0316768401822381,-0.00163613232866292
"miR101",-0.117854346222151,-0.0228883118406204,-0.0830708871050538,0.0829865316242611,0.101148215501964,0.0279443753596443,-0.0179960015710258,-0.0829855087005405,-0.0141486443043735,-0.0108517253021904,-0.0141103582950174,0.0228883118406204,0.209532945094307,0.144861402477375,0.0637945841544873
"ZEB2",-0.226596025929852,-0.0804399617720325,-0.0566714503383795,-0.0430773188648474,-0.0162334240717477,0.0170097726777856,0.0248574739077615,0.0430708489821514,0.0482396530816434,0.0526136066981648,0.0546956833808118,0.0804602591283019,0.211966820795145,0.241483415184116,0.280145331496123
"miR200c",-0.0244716303061358,-0.114975086227027,-0.14158571689651,-0.0242266897188516,-0.055677105932212,0.0586190577860973,0.0144605821509407,0.0242303923254867,0.112458791593353,0.130698065381711,0.136160325926658,0.114993003734821,0.219902285860131,0.0968562077231553,0.122105941237308
"GSC",-0.124719014677985,-0.0294271591817908,0.00305396224837417,0.0520775521900326,0.0271185573470485,-0.0145279860933592,0.0283564165654474,-0.0520903272844946,-0.185619022496877,-0.0890153467652731,-0.0965674900746158,0.0294340999017327,0.234500549167721,0.130689653627252,0.0852469505701976
"miR141",-0.155565688118659,0.0538723368104252,0.122416092464345,0.00161092921455297,0.0488823806695537,-0.0524289924689736,-0.00302626873683113,-0.00162666529275202,-0.0931391170286251,-0.112106711109226,-0.117289404350583,-0.0538783093130232,0.251661333382918,0.124736116401009,0.123300663859281
