"","miR200c","miR200a","TGFbeta","SNAI1","FOXC2","miR101","TWIST1","miR141","ZEB1","miR34a","TWIST2","GSC","SNAI2","ZEB2","miR200b"
"miR141",0.163440609672933,0.140414830163496,-0.0787682146033812,-0.104012288532135,-0.0710486786089839,-0.0666101040898436,0.0430357011470787,-0.0215416771524267,-0.0215250154225689,0.0826522587088253,0.174046862550594,0.0788267451288419,0.236899737093232,-0.310758577178736,-0.0642298303610214
"GSC",0.133256911572802,0.120049470881356,0.0219349819621442,-0.114579395486606,-0.0910785615721768,0.0102594735143359,0.161859083271527,0.000767800854398836,0.000740776616113844,0.0352029588955175,0.116533796128384,-0.0218990164133541,0.186260564538287,-0.278534548749823,-0.0672524283748736
"miR101",0.138983337169146,0.13056591902722,0.0261935294398842,-0.0356927746114887,-0.0664531597676084,-0.0154376752807919,-0.018380856478719,-0.00760358910936007,-0.00764143728702147,-0.00117652690331346,0.105779730220789,-0.0261530642663237,0.171776006827837,-0.277761754781484,-0.079764563049069
"miR200c",0.13786355014737,0.110973426452459,-0.0820415617747162,-0.0680060832036422,-0.0422771852908603,-0.0431656215681481,0.0657484129217987,-0.0250776782074195,-0.0250563882192678,-0.0221063312106028,0.0622755234965989,0.0820666462856279,0.152911680381304,-0.252310616221865,-0.0885102445047319
"miR200b",0.13786355014737,0.110973426452459,-0.0820415617747162,-0.0680060832036422,-0.0422771852908603,-0.0431656215681481,0.0657484129217987,-0.0250776782074195,-0.0250563882192678,-0.0221063312106028,0.0622755234965989,0.0820666462856279,0.152911680381304,-0.252310616221865,-0.0885102445047319
"TWIST1",0.140838225420886,0.066363569076972,0.00102624145157741,0.0186624357390899,0.0777852366099506,-0.130602727597226,-0.0336335312283324,-0.0795359556798951,-0.0795512532169916,-0.0159450581960188,0.17089638710796,-0.0010208944298685,0.244605096928825,-0.230518665443212,-0.0281797971197126
"miR200a",0.0741620227062948,0.0781890319105764,0.142421664181712,0.121597015408366,0.0882431495231808,0.0769841148509827,-0.0553933332150407,0.00339412929977201,0.00336358279503267,-0.102827142487827,-0.203820590478737,-0.142453915695741,-0.273528325563952,-0.148982146680206,-0.141902981965134
"miR34a",0.119302034641391,-0.0402251281845154,-0.0263737153107233,0.0236303767797089,-0.0739963870754082,-0.119479422532341,-0.133511968291477,-0.0661962350292485,-0.0662311500771624,-0.0266820213443208,0.261962861958575,0.0263646143077928,0.217256770679858,-0.0991787341282424,0.0300130357070306
"FOXC2",0.0279367945694505,0.0333653576897363,0.00348192087595839,-0.0601809908487108,-0.08702136159217,-0.0291296960051962,-0.026104912096162,0.00466041887426348,0.0046550793328233,0.00243056860075757,0.11244356932492,-0.00344317620335087,0.120686857599837,-0.074234865725421,-0.0096143413101941
"ZEB1",0.0279246403145932,0.0333474156944707,0.00348959891038157,-0.0609405708456537,-0.0860820541193544,-0.0295930375151444,-0.0264603694114138,0.0046550793328233,-0.0953358977941937,0.00211944654690436,0.112718229301152,-0.00348192087595839,0.120577452537023,-0.0741593448535251,-0.0096143413101941
"TWIST2",-0.0333327501778096,0.0948996049506268,0.00180215302223766,0.137434860371792,-0.0146704355407226,-0.078902936518098,-0.243505910939607,0.128863176990421,0.128877249233801,0.00654711679114026,0.0597009066170361,-0.00181630073568421,0.0302764870215761,-0.0612010325021859,0.0367384358098829
"SNAI2",0.0019393471902412,0.00388741225758391,-0.207858550088811,0.134089522415454,0.00767436544261428,-0.311802332439395,-0.219925403142632,0.0017968962237199,0.00174364362891186,-0.0474607699612377,0.274308656744562,0.207842297854129,0.192301904712854,-0.00455737448451412,0.222813991045117
"SNAI1",-0.133367293996504,-0.0292273228267164,-0.000522175988036724,-0.0851431375425939,0.0472912562556257,0.0331437839739806,0.0304894010877173,0.103664871700789,0.103630866086771,-0.0125698448446169,-0.125719394832396,0.000522572494025947,-0.183868091425465,0.17562933842361,0.0365365845422095
"ZEB2",-0.26297582512663,-0.234827990403692,-0.0863649451860849,-0.050206368889211,-0.042079457205881,-0.0256192646600078,0.0310158099193549,0.0330417653015797,0.0330691378822168,0.0485352000652978,0.0785027585447427,0.0863649451860849,0.100316592036139,0.186861846787727,0.277170133557239
"TGFbeta",-0.108876120060423,-0.0704144553171755,0.0991845077731415,0.0793913632869061,0.0644700651565937,0.116772287698578,-0.0115823065099804,0.0339470541949837,0.0339329347317743,-0.075446597760696,-0.260716160177029,-0.199211932435979,-0.312879908647851,0.190360645170541,-0.0833487454929591
