"","ZEB2","SNAI1","ZEB1","miR101","miR200b","SNAI2","miR200c","miR200a","TGFbeta","GSC","FOXC2","TWIST2","TWIST1","miR34a","miR141"
"SNAI1",-0.130713898337901,0.298433244907128,-0.18522042382027,0.174976897476022,-0.0678458227290987,-0.139313391346029,-0.16225922668959,-0.16225922668959,-0.000813327226216934,-0.000812137708249265,-0.381910869039767,0.209027169764254,-0.261871578370083,0.325498911690837,0.185070799118592
"ZEB2",-0.0880047736908922,-0.0429676028762617,-0.0298729526654191,-0.029081721816575,-0.0217854942262811,-0.0154841163636397,-0.00595567432239072,-0.00595567432239072,0.00302895173482585,0.00304163758249419,0.0133762177160034,0.0161302641457103,0.0161693669478405,0.0166477027252442,0.0299451167416443
"miR141",-0.0420958931077423,0.274606899765663,-0.211948112792637,0.129201489871058,-0.0358663199281136,-0.0130159332966049,-0.126488747416873,-0.126488747416873,-0.114903304938522,-0.11488060942865,-0.116014607722663,0.129621903302924,-0.0765682122626325,0.253240177583895,0.21172040248458
"miR200b",-0.0358467477395252,0.25929981521946,-0.228569548039686,0.119724778013483,-0.0803755136968587,-0.0172583853781882,-0.132378713703086,-0.132378713703086,-0.110100042627054,-0.110027178095358,-0.110159020172561,0.135461052666225,-0.0699640552548856,0.261169722997157,0.228390897269544
"miR200a",-0.0358467477395252,0.25929981521946,-0.228569548039686,0.119724778013483,-0.0803755136968587,-0.0172583853781882,-0.132378713703086,-0.132378713703086,-0.110100042627054,-0.110027178095358,-0.110159020172561,0.135461052666225,-0.0699640552548856,0.261169722997157,0.228390897269544
"SNAI2",-0.019446342126781,0.184820646727609,0.00190995411642641,0.0852301436184695,0.00557558572719525,-0.109429325592748,-0.00955777979264967,-0.00955777979264967,-0.00232904912206712,-0.00235727668756791,-0.165838403941455,0.0340694352658276,-0.170042155255072,0.0692024708330834,-0.00210320409884301
"miR34a",-0.0172913151776159,0.116937690122721,-0.231074014415973,0.0134958777727691,-0.13894316670273,-0.094049337634979,-0.184987233208234,-0.184987233208234,0.0154458037876873,0.0154670394611919,-0.103029138301448,0.268723730426214,0.0422718035829698,0.186506167780739,0.231092887414845
"miR200c",-0.00234395052714654,-0.179521467419385,-0.183492173669963,-0.114024761104092,-0.084012208448744,-0.0506912226173458,-0.092339615927301,-0.092339615927301,0.107816409901999,0.107729211364068,0.0651609686162306,0.0566811962097045,0.0792359297797913,0.0658647955562207,0.183642129238684
"miR101",0.00139354390850694,0.300168583127132,0.0564760164410931,0.147085458549314,-0.00198325557980238,-0.102594778218886,0.0266469453608624,0.0266469453608624,0.00842390760118084,0.00844853857639152,-0.30279879663086,0.0709881863095207,-0.240477694551282,0.0914879404777228,-0.0566236584314299
"ZEB1",0.047973050429189,-0.11654835846582,0.114354648427507,-0.00699478551767336,0.198131500768375,0.10147211079862,0.227012773014941,0.227012773014941,0.00234939267326356,0.0023481130008597,0.105793891265872,-0.213785626741668,-0.010626139458525,-0.229729625627922,-0.214346628095966
"FOXC2",0.0479757158717265,-0.11655776502925,0.214346628095966,-0.00699834056762182,0.198120429432065,0.101460793033501,0.226991358375431,0.226991358375431,0.0023481130008597,0.00236471786054863,0.105829365932333,-0.213767140012499,-0.0105962690958988,-0.229709481034508,-0.214313522939037
"GSC",0.0620176793056375,-0.136332832534847,-0.0957193127882334,-0.0849349851092871,-0.0689641186023185,0.0666139647188981,-0.0139002481973515,-0.0139002481973515,0.00446138490922897,0.00449735045801908,-0.0396413399415789,-0.0372167480946443,0.00439145385750249,-0.0116285590993973,0.0957556726724714
"TGFbeta",0.103370190548519,-0.351950949627933,0.0400695617942722,-0.1546131988773,-0.0756694287697489,0.0370685317390499,0.0736926739825333,0.0736926739825333,0.0975081369505983,0.197519429458826,0.193162231855478,-0.0736094027105309,0.150484232525598,-0.228581286879873,-0.039817607817447
"TWIST1",0.10771254495221,-0.332383839044195,-0.0365765291073391,-0.128484347075607,-0.0452337737944918,0.00433713303707968,0.0400414407477331,0.0400414407477331,0.0154687234473961,0.0154927850450861,0.423435097736332,0.00539412302562602,0.248669664146016,-0.108590678819449,0.0367857683011848
"TWIST2",0.132074773329904,-0.271247380599644,-0.101811020518226,-0.081516882452755,-0.0479578531084622,0.0897299969055814,0.0166527527033616,0.0166527527033616,0.00669150857582826,0.00666264724039729,0.264903987966095,-0.119208818833383,0.273313787705798,-0.0631459870572157,0.101956580285683
