"","ZEB2","miR101","FOXC2","miR200c","miR200a","TGFbeta","GSC","ZEB1","miR34a","TWIST1","miR141","TWIST2","miR200b","SNAI2","SNAI1"
"SNAI1",-0.122560744592109,-0.341027163040048,-0.495249844559257,0.0664664174389479,0.0664664174389479,0.0257699116641907,0.0255998105948141,-0.0266362334161643,-0.242083549674153,0.436094363324837,0.0267645273235948,-0.152124529933972,-0.071880108136907,-0.0958117457681707,0.396917904216509
"TWIST1",-0.109287201902242,-0.135466869621943,-0.40329451329065,0.0145515738208689,0.0145515738208689,0.00943669705405574,0.00945140136375524,0.0839823926382651,-0.146044897497,0.207108862740414,-0.0837798947319535,0.010054913515656,0.000210812106353114,0.0423524912514345,0.316192748434226
"ZEB2",-0.089403605538316,-0.0149940585369999,-0.00872358576468063,-0.00555011126431895,-0.00555011126431895,-0.00294402977326449,-0.00288567487399012,-0.00277022884464841,0.000658505495233407,0.00274189424824914,0.00285632805283431,0.00495610206703201,0.00535340001966973,0.00837056907919006,0.0387234220408629
"GSC",-0.0613770357014853,0.186437803227861,0.038909494428329,0.0414643413601231,0.0414643413601231,0.00424810709254443,0.00423990442352212,-0.0269651059636939,0.0854226049805594,-0.104254151466888,0.026735154263378,0.0728365407751474,-0.0382271623083487,0.0637925942539237,-0.221534536751659
"miR141",-0.0134864579487561,-0.0988608009649622,-0.118320398793167,0.00391722285713072,0.00391722285713072,-0.106799569961893,-0.106893935502942,0.00478878996548369,-0.143554572240719,0.107251044926052,-0.00456570791572066,-0.0437501389123836,0.0239656831928251,0.0566994649213443,0.258390199158365
"miR200a",-0.00784714823377683,-0.10405335068507,-0.121882158430606,0.00469869917807376,0.00469869917807376,-0.111491064914886,-0.11163082147568,-0.00218160342979363,-0.141017247626165,0.10865755090148,0.00233341030183154,-0.0410382351667756,0.0567914518325169,0.0591816161351654,0.271712634956567
"ZEB1",-0.00477493670973403,-0.0347921444415531,-0.140274348959201,0.00267154269020671,0.00267154269020671,0.0014368426874707,0.00136134201564269,-0.100575280079537,-0.0264199915514607,0.115887278349331,0.000547208919145878,-0.0268669315576841,-0.00286117865274339,0.0684702259165213,0.137847686725552
"miR200b",-0.00353674074872868,-0.0760167909262981,-0.0473141588081598,0.002586006029127,0.002586006029127,-0.112053196832648,-0.112207287399678,-0.00224435939779342,-0.0164919110854679,0.0149694653710027,0.0021990024665138,0.00428397346061392,0.0243526774717061,0.0185920338840679,0.173548448637909
"FOXC2",0.0047077083257326,0.034397533897275,0.139473855398625,-0.00280986968596429,-0.00280986968596429,-0.00136134201564269,-0.00137794687533162,0.000547208919145878,0.0259730800160696,-0.1151225970661,-0.000774673384497594,0.0268695725189941,0.00299587991118528,-0.0686723288650686,-0.137394995860501
"TWIST2",0.0087127729845551,0.216577269260386,0.369099779883105,-0.0255250759145563,-0.0255250759145563,-0.0111722525606317,-0.0110245504322497,0.0451191545028023,0.124525094371267,-0.414238530843251,-0.0452510817844847,0.14866264274192,0.043740003572321,0.0981253808790839,-0.37118728246209
"miR101",0.0107742143243081,0.293697537846409,0.409991893116881,0.00995886465478558,0.00995886465478558,-0.00661376304825218,-0.00653987012262013,-0.0271547984958625,0.147249428523547,-0.373002906934514,0.0268605374389095,0.102326995621924,-0.00985738012016209,0.0733806370089761,-0.42008589991564
"miR200c",0.0134864579487561,0.0988608009649622,0.118320398793167,-0.00391722285713072,-0.00391722285713072,0.106799569961893,0.106893935502942,-0.00478878996548369,0.143554572240719,-0.107251044926052,0.00456570791572066,0.0437501389123836,-0.0239656831928251,-0.0566994649213443,-0.258390199158365
"SNAI2",0.0184746288744746,0.13125082423954,0.192632514750818,-0.000385378228448311,-0.000385378228448311,-0.00977528450579399,-0.00973337084792919,-0.0163895683370895,0.0749909850021056,-0.222210748079372,0.0163671285644346,0.12402574428568,0.0198903350165456,-0.0126725540638603,-0.180654442785596
"TGFbeta",0.0220429719895317,0.159233739623957,0.176755754041843,-0.00625610621178547,-0.00625610621178547,0.0861878076748401,0.186229751276828,-0.00619590486627017,0.196285155018561,-0.151794475486311,0.00607008476078209,0.0284273712941449,-0.0652204454329323,-0.008422766738737,-0.33429431699212
"miR34a",0.0314598626789896,0.161589093979139,0.349987476971631,0.0440188996649445,0.0440188996649445,0.00451068940459694,0.00452707120987188,-0.0321408213245578,0.151997523469699,-0.268204815006332,0.0318761275153732,0.101828893081289,-0.0346752278526939,-0.0274291754099838,-0.36207406464864
