"","miR200c","miR200b","SNAI1","GSC","FOXC2","miR141","miR101","TWIST2","TWIST1","ZEB1","SNAI2","miR34a","TGFbeta","ZEB2","miR200a"
"miR200c",0.142135818976362,0.145429854190789,0.262713595369475,0.126254775603125,0.189793688675685,-0.00918194988753202,0.0832169210941793,-0.0201692153030433,-0.0906356573523414,0.00885056659369316,-0.0936572677993772,-0.136556672608855,-0.126702713297978,-0.301889986819658,-0.152376882792775
"GSC",0.0672507223966367,0.187931002233724,0.234627739363198,-0.00589026549589706,0.23117105882218,-0.115340274605344,0.123463038504262,0.0289288243606598,-0.107210652039809,0.115455741805289,-0.0857414817187727,-0.0294422533804846,0.00577101130780355,-0.276979061651903,-0.185337652987394
"miR101",0.0736863290976415,0.184493422592326,0.219320250837389,-0.00183876729979382,0.0967783173075198,-0.108242664400937,0.119387361100217,0.0100695779885336,-0.205927756124367,0.108341888001833,-0.0802815569493713,-0.0309496175933635,0.00173144662209013,-0.263278004185975,-0.183005711235706
"TWIST1",0.113720767002209,0.119311334286043,0.239089419483768,0.0159752774729087,0.221234122439696,0.0126537614568036,0.0552592318705298,0.0532182502483149,-0.137540009520007,-0.0128904843613651,-0.0934928729796417,-0.071362254273014,-0.0160929119505047,-0.259265823261323,-0.119199812077466
"miR200b",0.110111519575046,0.0179405446662351,-0.10380528814203,-0.0505141015174844,-0.0940746128192695,0.0258432746399615,0.00709502874221778,-0.082749471220345,-0.0238670375998785,-0.0261746579338003,0.11884265554509,-0.0254143186397158,0.0504054019702001,-0.193443261638059,-0.083793329406519
"miR200a",0.110111519575046,0.0179405446662351,-0.10380528814203,-0.0505141015174844,-0.0940746128192695,0.0258432746399615,0.00709502874221778,-0.082749471220345,-0.0238670375998785,-0.0261746579338003,0.11884265554509,-0.0254143186397158,0.0504054019702001,-0.193443261638059,-0.083793329406519
"SNAI1",0.0138409925595853,0.129934053923166,0.164008047739771,-0.0224861489044786,0.110032895652514,-0.136016376450216,0.150218488661734,-0.0281721176808893,-0.25466763150181,0.136078204839339,-0.06134606440527,-0.102318236362058,0.0226499058780277,-0.184650879437427,-0.156762387210453
"TWIST2",0.157580797038593,0.0297915389410978,-0.0995238047988585,0.0491576546310742,0.0465721158833932,0.152885931615929,-0.0960429866698968,0.086589319666908,0.233199710558477,-0.152818208944665,-0.0977974482476518,-0.0352882579942493,-0.0490020297831621,-0.163169400284621,-0.00258125151202763
"miR34a",-0.0238054528462426,0.03714355632391,-0.27551600286695,-0.0191028193076929,-0.115538914015076,0.0368596267048248,-0.169866314513297,0.232981574980469,0.257057476809258,-0.0366043693950764,-0.0942591096213105,0.0797558562390031,0.0194480506855241,0.00955194845496221,-0.0151351543703939
"ZEB1",-0.00139031750691318,-0.00667645373686353,-0.16810765618239,0.00118240477408647,-0.12866200228045,0.0109338483259812,-0.114907616162778,0.101492233523499,0.125726910830553,-0.111238620924518,-0.0683867599455218,0.035611628859115,-0.00140634744476277,0.0135985791270299,0.0111333521781361
"FOXC2",-0.000956815750333967,-0.00683698811336277,-0.167947744604086,0.00167501561152489,-0.128814697583913,0.0116205133551885,-0.115299856673757,0.102017784824173,0.125589507162472,-0.0109338483259812,-0.0683290932375363,0.0352378347368597,-0.00118240477408647,0.0136563303820091,0.01144415383806
"SNAI2",-0.0518856841547696,0.0150336737437809,0.103146766974524,-0.0212249308192606,0.0275987477734147,-0.0829684781883246,0.078232702766529,-0.0706429228591972,-0.140575892244309,0.0830579023569645,-0.0428953375849042,0.0117745269393304,0.0217013779096829,0.0195186928071287,-0.0321995840273747
"miR141",-0.110111519575046,-0.0179405446662351,0.10380528814203,0.0505141015174844,0.0940746128192695,-0.0258432746399615,-0.00709502874221778,0.082749471220345,0.0238670375998785,0.0261746579338003,-0.11884265554509,0.0254143186397158,-0.0504054019702001,0.193443261638059,0.083793329406519
"TGFbeta",-0.0423899130302964,-0.203643672179666,-0.24019670860259,0.00307646626551798,-0.15490236128047,0.100628338622303,-0.0628452148560213,-0.0715508897040617,0.0708203376990456,-0.100650615997589,0.114340234089321,0.112879383510166,-0.10318616491687,0.19725457935668,0.142979782491397
"ZEB2",-0.28625711822218,-0.260127625733568,-0.0962782731169143,-0.091718039665617,-0.0734617966056687,-0.0312353245964615,-0.0255509102293022,0.00531142015804345,0.0282030626250024,0.0310785543619034,0.0436800239647961,0.0601089457926294,0.0917662458867567,0.238625413919015,0.260051587189048
