"","ZEB2","SNAI1","miR141","miR200c","TGFbeta","GSC","miR34a","miR200a","miR200b","TWIST1","ZEB1","TWIST2","FOXC2","miR101","SNAI2"
"FOXC2",-0.070813309950303,0.119332010921493,0.270098902392549,0.270374637526703,0.0291361710936349,0.0298003654811923,0.232615406856987,-0.210525598755778,-0.278057565386817,0.00763148496279363,-0.270059389785891,-0.092559512781265,-0.117070907378192,0.0116152755776601,0.137648343219587
"ZEB2",-0.0663862699430203,-0.0614325764597715,-0.0372800910167082,-0.0340848110472427,-0.0151648591048842,-0.010516764519204,-0.00805241890265377,-0.00186313284009773,0.0239905040117501,0.0298745923630981,0.0377543831866571,0.0510518242709917,0.0694612634774691,0.0775030005943588,0.086195395604371
"miR141",-0.0585009934305412,0.00162339131959373,0.2594651632034,0.160190512603105,-0.0568497128745435,-0.0559335309760044,0.221077170477305,-0.103224580745453,-0.193091482272823,0.0454407936129856,-0.259380003250793,-0.0187091534618084,0.0215464549915063,0.0751808329045296,0.14946682792812
"SNAI1",-0.0548772065810313,-0.118035783189876,-0.139875486998154,-0.0410658968379945,0.0304402245167471,0.0317522628350859,-0.119231916341877,0.106193647229263,0.0126458365165386,0.00673958355900419,0.140035313384037,0.0687927404113001,-0.076932906042656,-0.0219347743401267,0.0381271746685441
"miR200a",-0.0455004928857231,0.10323077403436,0.228437658858323,0.1382703447717,0.110526676917423,0.113339725641099,0.115821989965226,-0.091530306944851,-0.101579415845273,-0.051774696424597,-0.228069249498133,-0.0930219169725677,-0.103691028859653,-0.0893688946212939,-0.0808284874541999
"miR34a",-0.028516264644078,0.0901928628438767,0.146119984486573,0.13967667685491,0.0361637513107945,0.0364507362698703,0.0322912735157862,-0.11431307280179,-0.145806911739484,0.0310419333263509,-0.146096393237982,0.0237970353393862,-0.104023275388748,0.0373247236469871,0.156733747228496
"SNAI2",-0.0185954061432524,-0.0931809586411263,0.130491153910515,0.0748918030735102,0.216040598748313,0.214505190261225,0.120015211763631,-0.0589282811164072,-0.283289277217389,0.0629055708402531,-0.130821721904701,0.257372410650187,0.0234903837522521,0.30157490842057,0.211430602978362
"TWIST2",-0.0131462618485206,-0.107048772610647,-0.0436852046397534,-0.0142047800232157,0.0129038261767839,0.0144413996741553,0.0377587271232487,0.0272328870318919,-0.0168461759678027,0.0135051422521342,0.0438052584660843,0.0712319070655641,0.0330680934348335,0.0882388356182927,0.0735823089153661
"TGFbeta",0.0126918472717264,0.0360107453157906,-0.0413729317598745,-0.0292600865867146,-0.107131224421916,-0.00841857035983924,-0.092467002254905,0.0169940954230383,0.132048314979859,-0.0678161814761949,0.0412697027955215,-0.0914164310557623,-0.0582307427104327,-0.0867772495972366,-0.135545232971981
"miR200c",0.0129531759258744,0.0209771114523507,-0.238625230812672,-0.125264306305854,0.0834864265515328,0.0857261150257973,-0.213799880906393,0.116281172334962,0.134071916824159,-0.0584863617726381,0.238959391061488,0.000422630369039833,-0.0485958917200421,-0.0990819022381458,-0.179519518846504
"miR200b",0.0455004928857231,-0.10323077403436,-0.228437658858323,-0.1382703447717,-0.110526676917423,-0.113339725641099,-0.115821989965226,0.091530306944851,0.101579415845273,0.051774696424597,0.228069249498133,0.0930219169725677,0.103691028859653,0.0893688946212939,0.0808284874541999
"GSC",0.0615879006705801,-0.0107320671989286,0.110844870955293,0.0226836996827446,-0.0253549507122516,-0.025292484232774,0.0777637403575356,-0.0894608632672068,-0.0324939040581946,-0.108036014681817,-0.110842414206358,0.00512099687305025,-0.0458937820663651,0.099163654010484,0.0818980953802664
"ZEB1",0.0714770051421409,-0.118875792595155,-0.270059389785891,-0.270017533943513,-0.0298246348469141,-0.0291361710936349,-0.232287870689981,0.210839873059947,0.277635009384308,-0.0082020088889541,0.170136084206247,0.0932171121474343,0.117692485229661,-0.0107845789063718,-0.138103748530314
"miR101",0.0866372342684194,0.0249243358490902,0.233643380300527,0.0746717080230688,-0.0397383140276003,-0.0396573836804795,0.151333138360911,-0.162434045936258,-0.0558861713026631,-0.00637958320944891,-0.233694867461129,-0.0652641901900962,0.0724562607735427,0.0341551412505995,-0.00908070460016352
"TWIST1",0.099332176287289,0.0404590084667215,0.127927595576577,0.0174753154212063,-0.0577023198375402,-0.0577384122340753,0.0855999555104128,-0.116824965045179,0.0437327964525771,-0.0947249261370973,-0.12791333516064,-0.175599976521581,-0.0240295962116217,-0.104567767943129,-0.169344908613224
