"","ZEB2","SNAI2","SNAI1","miR200c","miR34a","TGFbeta","GSC","miR200b","miR200a","FOXC2","miR141","ZEB1","TWIST2","miR101","TWIST1"
"TWIST1",-0.112510484816615,0.150386685946073,0.0449268682249262,0.122907288072945,0.0836142606654585,0.0635199424551484,0.0635212792105756,-0.0513180119463808,0.0123055070407255,0.143668097303694,-0.128794226655021,-0.128755075331265,-0.172785254682521,-0.0808290384435926,-0.0616262669590177
"ZEB2",-0.0759663958955778,-0.0457759911836771,-0.0324180992510188,-0.0298745308685283,-0.0215446935512583,-0.017190343314736,-0.0166829094080023,-0.00116873817784108,0.000892494334917113,0.0130349111930305,0.0340212032321797,0.034256607425659,0.0358961716188005,0.0396361452805645,0.0444501354568539
"miR200b",-0.0306263062305181,-0.183635947039438,-0.0181785481137415,0.10180737132445,0.164477123204166,-0.062981167851035,-0.0624400591156527,0.00281887142773702,0.0707076470571925,-0.0079621747314125,-0.173777659907629,-0.173636960855497,0.0259315490580773,0.100631116878156,0.0473665471266488
"miR200c",-0.0116135091798603,0.199470559933926,0.0305384824281658,-0.0707015832906385,-0.153827095240986,0.0790917924211163,0.0790452069008516,0.0391511214960664,-0.0817863420888292,0.00243621877320832,0.15465397925199,0.154769685709336,-0.0392268205154789,-0.11431933974908,-0.0654332103250477
"ZEB1",-0.00823113547047537,0.0491657370875961,-0.128996491609625,-0.157793816517924,-0.125210498533862,-0.079743210289448,-0.0797982362028142,0.173381586993991,-0.165249624070693,0.122185655051221,0.134227882903602,0.0342063282625874,0.0961906855557171,0.0399746627397892,0.130190011304055
"SNAI2",0.00153639892045881,0.339048644156718,0.164469717358172,-0.0282151647499523,-0.0958992347356226,0.20584843045216,0.205643994447473,-0.237475007856206,-0.0266667818968159,-0.180582354452115,0.054091591534939,0.0540651326985249,-0.342917945000015,-0.404018086499915,-0.291034413172518
"miR200a",0.00438689042527042,-0.176372748670455,-0.118115038496597,-0.0925998180862642,-0.0783096009471166,-0.168133885984539,-0.168120746478824,0.103980783137388,-0.0884541108256914,0.0567659112029977,0.182854238701917,0.182835725668742,0.135690840102136,0.147239410520992,0.171436166397111
"FOXC2",0.00807505900189058,-0.0491263943802789,0.128913008359187,0.157590666829594,0.12508590049311,0.0797982362028142,0.0798369808754217,-0.173444324566416,0.16533123121045,-0.122218044964077,-0.134115752533359,-0.134227882903602,-0.0961669169039279,-0.0400422086888098,-0.130348324225974
"miR141",0.0116135091798603,-0.199470559933926,-0.0305384824281658,0.0707015832906385,0.153827095240986,-0.0790917924211163,-0.0790452069008516,-0.0391511214960664,0.0817863420888292,-0.00243621877320832,-0.15465397925199,-0.154769685709336,0.0392268205154789,0.11431933974908,0.0654332103250477
"miR34a",0.0126677400177985,-0.0809993746358736,0.110985578951387,0.0972447902219091,-0.00437930695597112,0.0227827823438128,0.0227664005385379,-0.0126264420148653,0.108410730756508,-0.151534580724929,-0.102674786833822,-0.102751222479255,-0.00651068028354529,-0.0177032230400052,-0.0789459091522472
"TWIST2",0.0183213128854872,-0.181414656828898,-0.123375519723003,0.0612647473981133,0.129909384143591,0.0130266323098533,0.0126536985834021,6.33075606869431e-05,0.0778212683783307,0.163090277567881,-0.138544571642842,-0.138699806077621,0.098204120620713,0.156141165994507,0.243216490629997
"miR101",0.0195678303157904,-0.114269061558642,-0.074104223708159,-0.0895718786460287,-0.0556318707057436,-0.056282349792601,-0.056796081561281,0.0797618773535069,-0.0720090533558171,0.148706158946175,0.165245283777424,0.165124919752969,0.0579942602479374,0.144324257368957,0.0729208880772036
"SNAI1",0.0736885386619014,0.121326322461456,-0.0532970341235677,-0.0165240929010787,-0.0467642163786095,0.0157663103845582,0.0154606042668673,-0.0795053809490301,0.0645636416229852,-0.130515713706944,-0.0560620408494591,-0.056160347988165,-0.0255422435202784,-0.135076850034406,-0.0420121527155922
"TGFbeta",0.0896332743096587,0.236313566806689,0.0803112226633732,-0.015274002743627,-0.0530901772518002,0.1180558779727,0.218605984444921,-0.189431332371588,0.0753803617066656,-0.0685536421000599,-0.0644573209031196,-0.0643089096564965,-0.164225643492023,-0.159187461069593,-0.147824306968375
"GSC",0.0988029076191819,-0.127040676090648,-0.0344219281146262,-0.00563160129589875,0.0669615560017617,0.00225646071932018,0.00194034247469135,-0.0681767401496356,0.0933849146286052,0.0738619217641907,-0.0891952294016494,-0.0893337900415834,0.0300519213024454,0.130055248695996,-0.0719672392485309
