"","miR200c","miR200a","miR200b","GSC","FOXC2","SNAI2","TWIST1","TWIST2","ZEB2","miR101","SNAI1","miR34a","TGFbeta","ZEB1","miR141"
"miR141",0.096216597429831,0.0739700098758739,0.103348428570348,-0.0846808012925509,-0.139470133237615,-0.0483649995425025,-0.0948549097128749,0.0183768990921233,-0.168174626887662,-0.0236340339555997,0.095910056571967,-0.0209823914871113,0.084631826771247,-0.0213881420500432,-0.0213927703083371
"SNAI1",0.0195701766284782,0.0826122458923922,0.0184794710380229,0.0103349511776273,-0.154765173398521,0.112447441291137,-0.0478821489736759,-0.0192241381357044,-0.102451985032468,-0.139873542550845,-0.0372278264731658,-0.0475236146830351,-0.0103773773184742,0.0693090774610026,0.0693715241340169
"miR101",0.0386246801675667,0.0354200863142035,0.072085297598717,0.00179489077424,0.161237032283029,-0.122708927141748,0.0441104102663304,0.0111706075519027,-0.0709043468327588,0.150243267202184,-0.0745582306843174,0.0142755187250009,-0.00186702434449986,-0.00281582595535066,-0.00277456803195401
"SNAI2",0.0106243096482833,0.0278081098084961,0.0127374172133158,0.00340979111923542,-0.00923691578377991,-0.0796004352113434,-0.0607923986546546,-0.0162788067497193,-0.0378724067780756,-0.00797337244165039,-0.00717990789800862,0.0118138529409115,-0.00336445593827962,0.0175042204064262,0.0175253204911614
"GSC",-0.000754609181073505,0.0435637130540267,0.0814809534379948,-0.0159824144445725,0.283606025485083,-0.120857135907209,0.238167336271782,0.020614593828166,-0.0330783091313986,0.187855612446278,-0.157842917257165,0.0810541307719055,0.0159578064375056,0.0515700957721395,0.0515740265704355
"TGFbeta",0.00695947262729348,0.00277554589024246,0.0615221878855325,-0.182613025693253,-0.193002248892746,0.0304578272299813,-0.115952013936293,0.0557852064591822,-0.0109765574990008,-0.0902459332011403,0.148908790203789,-0.120746864644038,0.0826323842787859,-0.00360421860677559,-0.00365473490848028
"ZEB2",-0.170586430828847,-0.10991391297094,-0.106294338553091,-0.0706150506839651,-0.0502241038867209,-0.044275224510304,-0.0436872222271128,-0.014499438969368,-0.00582308753337616,0.0074292560182296,0.0293285487612287,0.0701995572490121,0.0705922161581621,0.0755585762242496,0.0756178005350827
"ZEB1",-0.0033781766354631,0.00295484281192563,0.0139448931598267,-0.00537595322685386,0.0654945190229582,-0.102667868341268,-0.0145222934732048,-0.00294989724543361,0.000440571262107979,0.0859528154085236,-0.065820390602351,0.00465593349238595,0.00536571584762294,-0.0944420657131439,0.00551582754626876
"FOXC2",-0.00335791954403416,0.00300403860539591,0.0139356670462348,-0.00554753677697286,0.0658415538035551,-0.102850569406755,-0.0142355379919933,-0.00294989724543361,0.000469298809456604,0.0861175327228019,-0.0655393695198907,0.0048566333304831,0.00537595322685386,0.00551582754626876,0.00554252525346967
"miR34a",0.0794292164376137,-0.0845759302423622,0.0193397531887161,0.00685449886237589,0.125966290092536,-0.125447272899301,0.0485355549270228,0.00558368676983675,0.00573619594324007,0.124538461250486,-0.118292593159883,0.0235013908037099,-0.00681142078183808,-0.0702903698902916,-0.0702743278412502
"TWIST2",-0.0330976685588641,-0.0852523099076974,-0.0807260210624193,0.00772567582269174,0.000570331972918747,0.083141339194515,0.018436492330772,-0.0697947380471917,0.11670303107926,-0.0731648623639002,0.0513370097457892,-0.043585705640872,-0.00766738724329195,-0.053539518222315,-0.0535804156796365
"miR200b",-0.0910709023317207,-0.0728037559084639,-0.0581173203860505,-0.131207118648812,-0.170727212616098,0.00620968718124697,-0.100654262908768,0.0352334181068438,0.161362087967566,-0.0764091634112261,0.147169189477033,-0.096988525448699,0.131289539184664,0.017666337374484,0.0177524229787494
"miR200c",-0.096216597429831,-0.0739700098758739,-0.103348428570348,0.0846808012925509,0.139470133237615,0.0483649995425025,0.0948549097128749,-0.0183768990921233,0.168174626887662,0.0236340339555997,-0.095910056571967,0.0209823914871113,-0.084631826771247,0.0213881420500432,0.0213927703083371
"miR200a",-0.096216597429831,-0.0739700098758739,-0.103348428570348,0.0846808012925509,0.139470133237615,0.0483649995425025,0.0948549097128749,-0.0183768990921233,0.168174626887662,0.0236340339555997,-0.095910056571967,0.0209823914871113,-0.084631826771247,0.0213881420500432,0.0213927703083371
"TWIST1",-0.061653101193261,-0.10699976249964,-0.0357957020770639,-0.0227740497375411,0.230252808301057,-0.102299722352336,0.118045409819075,0.0918467301578032,0.18735028106625,0.0860744866339233,-0.0345704839180408,0.0183793812322264,0.0228074686232218,-0.0537017993374446,-0.0536299786971779
