"","ZEB2","miR101","TWIST1","miR34a","miR200c","TGFbeta","TWIST2","FOXC2","miR200b","GSC","miR200a","SNAI2","miR141","ZEB1","SNAI1"
"TWIST1",-0.108378258278618,-0.148933342416426,-0.124877675166562,-0.0146462103031064,-0.0349877558897877,-0.0188110560965625,-0.0915432101720672,0.214722193831305,-0.00687525603146082,0.018690748108112,0.0349877558897877,0.0979237259887385,0.167609070164408,0.167717708605822,0.233766270021114
"ZEB1",-0.102634280421163,-0.183817791985971,-0.177259367936421,-0.203405257226772,-0.200949934557372,-0.103772506629424,0.0730508862096529,0.110078910446302,0.175228724440827,0.103777625319039,0.200949934557372,0.15431896596061,0.273189614965788,0.173294881817256,0.216514623081788
"ZEB2",-0.0945944312549864,-0.041787427751011,-0.038623695749899,-0.0203146280925498,-0.0185964530402673,-0.00737879904240047,-0.00501136267956693,0.00377844668128525,0.00598805337783957,0.00734327866892912,0.0185964530402673,0.0323791605181869,0.0371672715762679,0.0371906626906305,0.0513340877244672
"SNAI1",-0.0728766673278476,-0.185988466002982,-0.191121077930319,0.0622481923525168,-0.0466966947222739,-0.0254416864494435,-0.0567636072708772,0.0900641016436811,0.0127430796212445,0.0252707923680884,0.0466966947222739,0.060337260700782,0.163590107234142,0.16366213730747,0.111908364825672
"miR200b",-0.0434093341373994,-0.18673249919881,-0.181506807524725,-0.0942111126563563,-0.100621303242153,-0.143095810279392,-0.0257939132325969,0.0201751663843509,0.0269550502696464,0.143025334748735,0.100621303242153,0.139129323546774,0.239436721555578,0.23961537232572,0.235616909466921
"miR141",-0.0434093341373994,-0.18673249919881,-0.181506807524725,-0.0942111126563563,-0.100621303242153,-0.143095810279392,-0.0257939132325969,0.0201751663843509,0.0269550502696464,0.143025334748735,0.100621303242153,0.139129323546774,0.239436721555578,0.23961537232572,0.235616909466921
"miR34a",-0.0371533661279191,0.112622742983335,0.0864148246791485,-0.142435526806583,-0.100269728241426,-0.0641088491562775,0.0387473628467367,-0.08240558906545,0.0974870101370672,0.0641215905603802,0.100269728241426,-0.0804408184243697,0.126857613107451,0.126807127835468,-0.158299244736379
"GSC",-0.0296091746970842,-0.0460238639649218,-0.147957437278338,0.0887732286642878,0.0736265765620385,0.0340679163829272,-0.0189218098240714,-0.157925064126793,-0.069996074936706,-0.0341581457421726,-0.0736265765620385,-0.048837564441651,-0.105730829546334,-0.105725916048464,0.040435084134262
"SNAI2",-0.00195252145555924,-0.0148443444488197,0.0673055399647329,-0.0269544465021003,-0.0238404609883483,-0.0109644645376782,4.00635565221164e-05,0.0352671391054301,0.0132737892959271,0.0108729387949938,0.0238404609883483,-0.0810299480719306,0.0491367294581989,0.0491765851738099,0.0100508612273538
"miR200c",0.0279087147358954,-0.0647975006721919,-0.0496720714160808,0.201818827507712,0.0927243209401579,-0.0396644299725849,-0.103756179897864,-0.0270245748856016,-0.0841069325368032,0.0398400215489672,-0.0927243209401579,0.0368038665763605,-0.210311262851822,-0.21029737807694,0.0916553010302233
"miR101",0.0351066997529573,0.238642438995449,0.245404916275128,0.0581400887336289,0.118678918635862,0.0625126270811392,0.0127395152965948,-0.109007234422579,-0.0921330271045417,-0.0623894722050858,-0.118678918635862,-0.107551888576609,-0.262425977367475,-0.262583848595017,-0.271377725492829
"miR200a",0.0387146455165759,-0.051002807613298,-0.0343080386162654,0.211256941026025,0.0972962755919337,-0.0331122948335393,-0.10195927145906,-0.0285511427536792,-0.11710902242515,0.0332042713735491,-0.0972962755919337,0.0266752963327688,-0.230007217855683,-0.229990556125825,0.0736565864786598
"TGFbeta",0.0656992795998862,0.132063365937389,0.120853731236154,-0.122413724461312,-0.0136087037472064,-0.0952554495734677,0.12007521260286,0.00936281196143491,0.0989264179099814,-0.00468970110085641,0.0136087037472064,-0.0719518199131468,-0.0385636316006772,-0.038672508350314,-0.191686158167963
"TWIST2",0.0913689260604405,-0.0400658983932151,-0.133335778877877,0.104716661154122,0.0207340364491414,0.0274171200510315,-0.0983388399711512,-0.0434388151002187,-0.0274458134514064,-0.0274414541181595,-0.0207340364491414,0.0316233019036626,-0.13051555838188,-0.130523474018781,0.0545040341747284
"FOXC2",0.102628061055242,0.183235948811075,0.176679882901472,0.20351940992279,0.200840546263656,0.103777625319039,-0.0732568811918264,-0.110003333982972,-0.175216730493158,-0.103589436909231,-0.200840546263656,-0.154307648195492,-0.273002731015382,-0.273189614965788,-0.216223019615469
