"","ZEB1","miR200b","ZEB2","SNAI1","SNAI2","TWIST1","miR101","GSC","TGFbeta","TWIST2","FOXC2","miR200c","miR200a","miR34a","miR141"
"SNAI1",-0.0612911140767153,0.00630642769405212,-0.102612966519305,-0.0580076105319523,0.0302308014341133,-0.0415513013651616,-0.0877610031006019,-0.00380000190364782,-0.00397882610478737,0.0476170580722469,-0.133024422735077,-0.0240507923230803,-0.0240507923230803,0.0939749418288467,0.0613507784722191
"ZEB2",-0.12771050768911,-0.0740671770697098,-0.0736900587969476,-0.0595897520710809,-0.00790329445596798,-0.00386321443073579,0.0334714567459019,0.036312264478004,0.0366091133134432,0.0439553147601604,0.051054406936074,0.0718783404716865,0.0718783404716865,0.102680599957414,0.127448228598278
"ZEB1",0.173008432224447,0.235067230159705,-0.028993930274206,0.142423181816593,0.102289897095157,0.00208643451894901,-0.121327974162132,-0.128015022146125,-0.128263278592475,-0.110908844435807,-0.147842728217891,-0.254697347024246,-0.254697347024246,-0.228055056741951,-0.272837498908491
"SNAI2",-0.0635306623335981,-0.0194291932021441,-0.0138854052239022,0.0685330209363097,-0.104978553906924,-0.115452839552632,-0.0331849892910261,0.01427104766885,0.0142222909648032,0.022888292512658,-0.0905144835620645,0.0244167173571583,0.0244167173571583,0.0648448305338427,0.0635323369434977
"miR200b",0.272251395885794,0.10343560514632,-0.00662603995411125,-0.0317968251929276,0.0814678074950834,-0.0130039069131124,-0.0244371658487112,0.0114460091645108,0.0112226375673441,-0.0673203741858926,0.0424342515189086,-0.140965344203377,-0.140965344203377,-0.237290626131757,-0.272095886407121
"miR141",0.272251395885794,0.10343560514632,-0.00662603995411125,-0.0317968251929276,0.0814678074950834,-0.0130039069131124,-0.0244371658487112,0.0114460091645108,0.0112226375673441,-0.0673203741858926,0.0424342515189086,-0.140965344203377,-0.140965344203377,-0.237290626131757,-0.272095886407121
"TWIST2",-0.211587371784421,-0.0476921390654374,0.0121723270800909,0.0621821834578287,-0.100295272789943,-0.17532883256185,0.0155892641130663,0.0651247819637392,0.0652170250554107,-0.0410066503568904,-0.0910424006545529,0.111914906102853,0.111914906102853,0.157790290938165,0.211548233357522
"miR200a",-0.197149953682185,-0.0928639479129773,0.0158398131330403,-0.134388670850735,0.0127858777711391,-0.0146562046077732,0.0603295678083127,0.143059412424947,0.143237393002369,0.0421581148612209,0.124129930402102,0.106123119763599,0.106123119763599,0.088139101223305,0.197047206348062
"FOXC2",-0.272837498908491,-0.234952826351165,0.028871023757199,-0.142318533798438,-0.102231152504779,-0.00212227895410046,0.12110163598208,0.127550086074835,0.128015022146125,0.11080584694472,0.147483354422873,0.254531238874529,0.254531238874529,0.227960302543295,0.272539552496129
"miR200c",-0.264080950481859,-0.169536164413992,0.0433367458167748,-0.155808271962313,0.00958004327947753,-0.0159854585530841,0.0723436238207479,0.169067312991722,0.169386244630457,0.0593874742346338,0.145077675246093,0.154685068750361,0.154685068750361,0.13292201217708,0.263879158420248
"GSC",0.0800750339177441,0.00952940632223974,0.0726106425101523,-0.0342857751415338,-0.0272179288393418,-0.0533009768406036,0.0764207387778507,-0.00749376955680802,-0.00769757433328529,-0.0428885718970352,0.075869528822503,-0.000269415886094428,-0.000269415886094428,-0.0595330630578783,-0.0800514491279681
"miR34a",0.128473746180963,0.0952833624674873,0.0772036589198959,-0.0249213949378934,-0.0909052899192169,-0.00336195062305937,0.0698671902492955,-0.0196858652849171,-0.0198066052571287,-0.0257862294155657,0.0677455929015332,-0.0870642362983709,-0.0870642362983709,-0.0853858277583418,-0.128447795807514
"TGFbeta",0.0624371171184879,-0.0878252194199564,0.0941006197324681,-0.0884139791468892,0.0281655179214486,-0.0182043593509652,0.0293161145119598,0.00756330539164008,-0.0923463545425407,0.0145972626780001,0.0838289317938103,0.018399170598217,0.018399170598217,-0.119996142634866,-0.0625089694979312
"TWIST1",0.101001437560365,-0.0160817942388987,0.104531903906294,0.00878356714531476,0.0556907789479778,0.0223033355320021,0.00145797122898733,-0.0177053267295671,-0.0178069201420364,0.0479476697933962,0.171873222581649,-0.000261297623855849,-0.000261297623855849,-0.074581932124606,-0.101021920703257
"miR101",-0.165453124722455,-0.123526984781897,0.121122772657178,-0.0777062384077993,-0.0574871279122307,0.0369186593660314,0.117711005547283,0.0692694565940688,0.0693750179164003,0.0194060613594675,0.163637361074057,0.145546987949716,0.145546987949716,0.0612563810893205,0.165310256376148
