"","miR200b","SNAI2","miR200c","miR200a","miR141","FOXC2","TWIST1","TWIST2","ZEB2","ZEB1","miR34a","SNAI1","miR101","GSC","TGFbeta"
"SNAI1",0.136752264843583,-0.172125807030313,0.0927434149922003,0.0927434149922003,0.0407325057663781,-0.281088306132857,-0.233804941161481,0.021293683539405,-0.242150523201168,-0.0405485663087368,0.156901623963665,0.14685857650141,0.260143650104632,-0.100882406900593,-0.100978757855974
"ZEB1",-0.23880228469741,0.147356816546116,0.347224056464094,0.347224056464094,-0.346798301529467,-0.229956207166818,-0.224737308417393,-0.298233066060782,-0.146742288730188,0.247638431258329,0.366783153490381,0.232667836947908,0.0379041417629431,-0.0417628578790991,-0.0428876899220961
"miR200c",0.130871309915502,0.147730080250268,-0.0665463290032422,-0.0665463290032422,0.267981481355678,0.0438729864203074,0.0430862434070725,0.0399699486895969,-0.13436112184391,-0.26837766026563,-0.268315048826328,-0.17287670394184,-0.159532029857629,-0.141854096450346,-0.141559054822003
"miR34a",-0.0782930372041624,0.101537678944472,0.147553236236218,0.147553236236218,-0.11058395724793,-0.362726783666672,-0.322650965735899,-0.279909745283575,-0.0973751137626192,0.111107211141666,0.197939701478428,0.350231505291347,0.107781963260696,-0.0106786561880733,-0.0111343130681281
"miR101",-0.0915794202917563,0.20945311135001,0.149413925292484,0.149413925292484,-0.212121321660296,0.199009526922719,0.156617442132987,-0.115756801454155,-0.0839387780955409,0.212393760344543,0.0455643936133347,-0.191342813691603,-0.25246490924912,-0.0227157929678498,-0.0234723157778922
"TWIST2",-0.0294312354652754,0.011349304990631,0.0784228869150706,0.0784228869150706,-0.128842467015566,0.272055405793792,0.318441186968011,0.0485902515747503,-0.0242978849799917,0.128762431131346,-0.0404281186516547,-0.261439456887739,-0.130040266888391,-0.0124845034982744,-0.0127397282488502
"SNAI2",-0.175324408863911,0.115263114959371,-0.0268916121059335,-0.0268916121059335,0.0682394357187999,-0.25146536654651,-0.30939971264066,-0.272832833733842,-0.0176534770784238,-0.0679959474393945,0.0582768821736398,0.267359762965274,-0.0765434394457093,0.19660681939241,0.196588856396182
"TGFbeta",0.168178179283712,-0.211959379629806,-0.0541067177119107,-0.0541067177119107,0.101673381419815,0.0887485564561481,0.112033215141299,0.171898523909002,0.00682311444981178,-0.102073432877414,0.0183077907117157,0.0061222149733133,0.110762772137159,-0.0117909726254514,-0.111190856473938
"ZEB2",-0.186084258120243,-0.171886394720792,-0.150960214728481,-0.150960214728481,-0.0715773991497954,0.00623800827534603,0.0151787733868173,0.0483127305997128,0.0669150026499623,0.0715370868037662,0.0948335133887893,0.116808053840318,0.144582999163697,0.17633732296166,0.17678640196912
"miR200a",-0.232685860364464,0.197530013018059,0.0865489697282611,0.0865489697282611,-0.303899807678575,-0.105298135631752,-0.138337570242898,-0.207788528595005,0.131410620901605,0.304688462891846,0.219133308734317,0.0439936039639377,-0.0787048636728494,-0.0266651100500689,-0.0278154140504511
"FOXC2",0.238789368138381,-0.146955305355002,-0.345720980280067,-0.345720980280067,0.345513607858959,0.227360387007954,0.222598590453357,0.296777896379018,0.1457054315831,-0.346798301529467,-0.365309613786879,-0.231510829646064,-0.0372488275557784,0.0399197184536272,0.0417628578790991
"miR200b",-0.0316805566061303,0.0906319085173236,-0.241666306636363,-0.241666306636363,0.235354993410856,0.0468177851504407,0.0498161139028104,0.0577311813355628,0.249385320586926,-0.235679897143083,-0.231493205974778,-0.134241919869804,-0.110946923276512,0.00840964873442867,0.00885041942616392
"miR141",-0.0316805566061303,0.0906319085173236,-0.241666306636363,-0.241666306636363,0.235354993410856,0.0468177851504407,0.0498161139028104,0.0577311813355628,0.249385320586926,-0.235679897143083,-0.231493205974778,-0.134241919869804,-0.110946923276512,0.00840964873442867,0.00885041942616392
"TWIST1",-0.0693548160306983,0.202002660890683,-0.237819227406795,-0.237819227406795,0.210673873999855,0.331696724252954,0.132815249430592,-0.0610621890443882,0.279624478772788,-0.211061498033064,-0.207088777263726,-0.209885184163565,-0.204413062686552,0.116680281972377,0.11707863508969
"GSC",-0.0371326835220101,0.119667048468839,-0.27075019673104,-0.27075019673104,0.237839253551591,0.429998581207116,0.388845281798644,0.0584741312012064,0.315736802819911,-0.238492257418514,-0.255105218928197,-0.296975465840534,-0.255392047829953,0.122997405148019,0.123631534560897
