"","ZEB2","SNAI1","FOXC2","miR34a","TWIST2","ZEB1","miR200a","GSC","TGFbeta","miR200b","miR200c","miR141","miR101","TWIST1","SNAI2"
"miR101",-0.0973085727304469,0.196178219278256,0.219569964760982,-0.0801426260553267,0.0228907454634686,0.0236868437008673,0.0356776880697845,-0.00385084525165559,0.0036608348714589,0.00121264260848587,-0.0619598546757365,-0.023637402387706,-0.215624952382121,-0.21225981860688,0.132232931568897
"SNAI1",-0.0969952268732055,0.0679863705316817,0.19575639837433,-0.164144607459387,0.0122777245356102,-0.0577152448376405,0.0734487907857448,0.00734694345209691,-0.00728072695189668,0.000550887099472755,-0.0238072901319948,0.0576444513320945,-0.207968773656262,-0.182658919190833,0.145335008115383
"miR34a",-0.0933219545588336,0.107629057166783,0.154366171402446,-0.0681310970960378,0.0291859539272241,-0.0446759511071452,0.104472713043924,0.0389463378322263,-0.0388899116140571,0.0642572340564526,0.0304272164996866,0.0445768678630654,-0.0611738290417361,-0.078019910769272,-0.00451909585000099
"ZEB2",-0.0904956336258396,-0.0369041677266965,-0.0298789202306375,-0.0265108045378756,-0.00894158740289493,-0.00683731927533879,-0.00468559465510482,-0.000668876152942622,0.000290837892426054,0.00115478615624674,0.00569648370888297,0.00687165942195628,0.00797252466525662,0.0147860455616909,0.0210409867071809
"TWIST2",-0.0660884593212235,-0.10005328900544,-0.02532453510553,0.110966605493088,0.122510982523081,0.120904950075452,-0.02663599788961,-0.0298815200708821,0.0298922723331015,-0.0393735179887281,-0.0928880329303271,-0.120879444134326,0.0199544651301927,-0.0456438474828932,0.0668668686201705
"TGFbeta",-0.0183786327626325,-0.0871173675595272,-0.0832478793147238,0.0904834926402888,0.0791907805405311,-0.0108170799771781,0.0142242692192793,-0.184622117189187,0.0845801735871993,-0.0627947096907369,-0.00168827297679129,0.0109008554588872,0.0316759390748981,-0.0379089649291847,0.0250493449172368
"miR141",-0.00858858053982394,-0.0693010790365608,-0.0764839180980575,0.0964727684739563,0.0548873865809562,0.000249902398619306,0.00352984730704478,-0.112396434850182,0.112390462347584,-0.027823205279543,-0.00353514389114235,-0.000321177576344425,0.0201278932152696,-0.0569752841554447,0.028442003329578
"SNAI2",-0.00747601302286581,-0.09970473298107,-0.0628372199740588,0.0437832450333719,0.0916328620756978,0.00920962348292768,-0.000650636469674168,-0.00516274358615514,0.00511227612056283,-0.011182130285571,-0.00761426589528831,-0.00929703811968805,0.0233755834366285,-0.0268265967545796,-0.0437835421654924
"FOXC2",-0.00357552916416596,0.064966674628271,0.0814320247324617,-0.00772732949299499,0.0189789172186643,0.00151613536684564,0.00343391746614573,-0.00154601858201808,0.00127480587376546,-0.0033311274161005,-0.00269496149819766,-0.00125022620312462,-0.0108899981174447,-0.0830885643883422,-0.0497883356243896
"ZEB1",-0.00357345604219235,0.065006652522847,0.0812546514001566,-0.00748783266017274,0.0190607870192718,-0.098557050158461,0.00337198864377727,-0.00127480587376546,0.00125049209809204,-0.00344368600192181,-0.00292126214816091,-0.00151613536684564,-0.0109670241996612,-0.0830079144092515,-0.049926843511794
"miR200c",0.00466388410264112,0.0808673602650798,0.0877192224204819,-0.0797948230954777,-0.0506516828120774,0.0191734960373183,-0.0114337076994733,0.111218841615463,-0.111200924107669,0.052872890742475,-0.0079257497659683,-0.0193456672458491,-0.0232110729882678,0.0515286164249996,-0.0336708333952091
"miR200a",0.0057092572857508,0.121166900822238,0.111818108027005,0.00511291156113833,-0.0133903945183214,0.011022017728022,-0.00885746226251907,0.104367149927855,-0.104583354521904,0.0183182064267223,-0.00275559921116461,-0.0109637016735196,-0.0314128524023767,-0.0140426523711515,-0.0587587216849273
"miR200b",0.00963395372293362,0.109600619593719,0.100582803704581,-0.0115650338173403,-0.0176260982872003,-0.00840138070791562,-0.000953601870090515,0.105544743162574,-0.105772892761819,-0.00673147903620971,0.00870529444594604,0.00870314314867391,-0.0283296726293785,-0.00859598464070648,-0.0535298916192962
"TWIST1",0.0972914695077426,-0.169309939510543,-0.294743063831814,0.0328343117179658,-0.116026914686582,-0.0786300960382883,-0.0122494587139139,0.0212903783204119,-0.0211366514462807,0.0328250440790089,0.0853718189609954,0.0785458299441125,0.139963193164747,0.18942000870715,-0.142778632460241
"GSC",0.138557750896955,-0.19123577470838,-0.122623151309663,0.107498451006164,-0.0149807281923978,0.0699331989946786,-0.0987527854771188,-0.0285324996437634,0.0285432262109464,-0.0699901248207569,0.0337876485188454,-0.0698732543206646,0.215106301539276,0.294653025277883,-0.135609420878779
