"","miR200a","ZEB1","miR141","GSC","FOXC2","TWIST2","ZEB2","miR101","SNAI2","TWIST1","SNAI1","miR34a","TGFbeta","miR200b","miR200c"
"TWIST1",0.138825902188996,-0.109542435218008,-0.109560325558002,0.0082727731158024,0.0584839994970312,-0.10112222620058,-0.182287140741935,0.0753386957898742,-0.0906353569932683,0.0159764327351453,0.0246047155350555,0.027384435754949,-0.0081792002358965,0.0136381459758115,-0.0251476485769803
"miR200b",-0.022408505401144,0.217011370331916,0.216997485557035,-0.067173643334488,-0.0795659221323435,0.121631566594022,-0.170937686405072,0.0595409277493838,0.0457374455242381,0.17864902214804,0.165159319161602,-0.232459400072072,0.0672608418724193,-0.187925153366083,-0.19503840236205
"miR141",-0.0452029112582004,0.251800119442974,0.251778829454822,0.112594132995764,0.05094383370978,0.0718017366647249,-0.162386935502845,-0.0321896939806917,-0.00931349641362483,-0.0741012839600046,-0.073779180046765,-0.140386988635383,-0.112516490461989,-0.151116885544376,-0.209949234524167
"miR200c",0.172629733823626,-0.185181720534376,-0.185152099681295,0.111720464250336,0.0891626664563062,-0.115274524210804,-0.159028782267087,-0.0624401810578234,-0.0491823266636039,-0.190047596981816,-0.174679443196521,0.212842816098333,-0.111666711726954,0.0355163312924434,0.0109565241722552
"SNAI1",0.101200973765074,-0.101755464994659,-0.101720531954805,0.00238949921785646,-0.0566704329578704,-0.00818420568974249,-0.100464754969867,0.126957128812272,-0.0867035099947589,0.0366913518783598,-0.040714663047961,-0.0271843833622782,-0.00246205981388426,0.0276134073404646,0.000796281216528913
"GSC",0.0399328069228995,-0.0439762884647765,-0.0439649874196755,0.0133640975082751,0.108742509144805,-0.000831844033228005,-0.0343230821411823,-0.167770632842759,0.0781072621914728,-0.241020562648278,-0.16473159689798,0.0776010200717097,-0.0133571567883332,-0.0215764226373952,-0.00400929025703894
"TGFbeta",0.0309047127589621,-0.0437716194724638,-0.0437669129847273,-0.01191173544092,-0.0651585642022324,0.0542437955954534,-0.0140456215531749,0.0797210473567451,-0.0144563385300678,0.150776882698983,0.142894038462238,-0.0894523575257046,-0.0880495473880146,-0.0499788068808621,0.0184939955315937
"ZEB2",-0.109360867009071,-0.0692070024392721,-0.0691875927911839,-0.0487562398027875,-0.0247565536221186,-0.0173179242619596,-0.00568522553868123,0.00809896749301679,0.0134839885817437,0.0295046855950945,0.0295483742381441,0.0474066155640652,0.0486801247167775,0.170632227440563,0.171277159599896
"FOXC2",-0.219022714344613,0.234583126558729,0.234524391602887,0.000511892968741913,-0.0978809260071696,0.208023087048633,-0.00395513084467258,0.0359509481316007,0.0685334755557456,0.140810617105052,0.140377989879427,-0.255510901251299,-0.000484218202593687,-0.221211381278035,-0.222640257404889
"ZEB1",-0.219056862013022,0.134589643078105,0.234583126558729,0.000484218202593687,-0.0977004679212592,0.208020446087323,-0.00395365004326286,0.0359379129484564,0.0686126999115762,0.140718018980911,0.140497923563155,-0.255498217618408,-0.000480379185382093,-0.221206768221239,-0.222669774880971
"miR34a",0.0602354987236707,-0.0413612882890771,-0.0413575136893026,-0.00731734454402106,0.0736761453082837,-0.176126576401916,0.0124550047833488,-0.0839050345200406,-0.00137114392345446,-0.157259465258276,-0.15109734775107,0.0800578723828914,0.00728154726582767,0.0438909428026513,0.0713585788211312
"SNAI2",0.0479455830683472,-0.113156970728778,-0.113155965962838,-0.00315735309021381,0.036243795643017,-0.0347999392193986,0.0169638954532728,-0.00677637280655175,-0.106717634803477,0.0335261184134236,-0.0219511797405403,0.0743827992265019,0.00316847304025957,0.0512471363877426,0.0653258258678958
"TWIST2",0.0803776812136802,-0.201093694184966,-0.201095013457783,-0.0210652266199163,0.00873493773805657,-0.133774687407342,0.0374436324065635,0.122333103895915,-0.123922863337588,0.168262697799267,0.115549039164749,0.0569930683471577,0.0210408925527882,0.121695963176024,0.120916920871554
"miR101",-0.0874387637152221,0.100835333204594,0.100786573840579,-0.0167506195233502,-0.0850953896106122,0.0548339805403801,0.0707540230368183,0.13397719205797,-0.0680519271087423,0.0811045834485318,0.096948205538676,-0.0909339911381497,0.0167981221183994,0.00598026007208666,-0.0135504211928024
"miR200a",-0.195424139680683,0.219970469645434,0.219933443579083,0.0680473120799156,0.0413470893858173,0.0654446942815065,0.167579533169313,-0.0292904406722522,-0.00586861527425904,-0.0627027091262288,-0.0642590560118454,-0.120770404661645,-0.0681106206074548,0.00129193652926367,-0.0258673563343717
