"","ZEB2","SNAI2","miR101","TWIST1","TWIST2","miR200b","ZEB1","GSC","TGFbeta","miR141","miR200c","miR200a","FOXC2","miR34a","SNAI1"
"TWIST1",-0.0977162440920073,-0.150262864448906,-0.0538990775123737,0.117135531188434,-0.128965768309862,0.0505272301929628,-0.0770402600901845,0.0275265739627244,-0.02754796204956,0.076773979232589,-0.084846417896601,-0.0134075024563438,0.0921593484661274,0.00532037911878669,-0.00940336660725524
"TWIST2",-0.081487605054748,0.281787398766868,0.206488392475149,-0.0659522546879892,0.167823217032881,-0.0152007070435618,0.126100461767894,-0.0204639945258671,0.0204204195684517,-0.125822974718755,0.0225855408096588,-0.102390283665675,-0.0855909436857936,-0.0984804286384738,-0.0927022325201327
"GSC",-0.0813997858139385,-0.134088710027058,-0.154589857866692,0.0628493336557496,-0.0293303972137393,0.0278967503520872,-0.0902223504838093,0.0217800515681041,-0.0216607973800106,0.0897044678083114,-0.0859985797418741,0.00209010726427536,-0.0233813319076865,0.0766740613324047,0.0803327159082471
"ZEB2",-0.0802774992430427,-0.0529412805379476,-0.0394659284400041,-0.0230698572785662,-0.0140179569867851,-0.0105380741428848,-0.00498277615200385,-0.000790660725116384,0.000902296184597787,0.00470158509636783,0.0104550942238241,0.0127478623939091,0.0175716266111996,0.0261253909190871,0.0265062652316132
"SNAI2",-0.046490578564566,0.318842903794608,0.370237389833956,-0.114535096314714,0.355732139532587,-0.241264884785242,-0.00759414806108943,-0.212842257666214,0.21299366006299,0.00745582528338049,-0.0271666111907135,-0.0192242269059872,-0.1016535713229,-0.0340723930246298,-0.113145137232581
"miR200b",-0.00636720653929437,0.20777365161619,0.149547547879571,0.0804451750601566,0.0647570912682872,-0.0466707868830875,-0.00612803586125482,0.0823009662739548,-0.0822472137505724,0.00633723313613634,-0.00650504908999133,0.000758980229278445,-0.0548574805856791,-0.0993283361613594,-0.0913242754014299
"miR200a",-0.00467243072406968,0.138056937090583,0.0849324099247209,0.0140468587498159,0.0944467548132328,-0.0803071047570249,-0.0247786832780166,0.0849774632408269,-0.0848520406862681,0.0238391468443673,-0.0149448897274122,0.00998909820474602,-0.0250434661762601,0.0259903797247805,-0.0316353273247103
"ZEB1",-0.00157912222204519,0.103001267928781,0.0961566409848678,0.0829412033391017,-0.00903546307968052,-0.000160072557239454,-0.0889973625044638,-0.0027099922448541,0.00279445062350916,-0.011695393632343,0.00680897136510892,-0.00870503552427557,-0.0870342540118834,-0.0205758444005223,-0.0872703670987443
"FOXC2",0.00209355263178294,-0.103375832060089,-0.0962573674000739,-0.0833683495246564,0.00980926474348614,0.000901852090029062,-0.011695393632343,0.00279301654329877,-0.0027099922448541,0.01037011944689,-0.00652132066681804,0.00755616905323453,0.0881401381793856,0.0199946355756982,0.0869752361711395
"miR34a",0.00750427076821432,-0.127389123542283,-0.102299367086977,-0.0241902072828215,-0.0213375276352646,0.107983229768457,0.0939458620146532,0.0234872055211855,-0.0233810271536628,-0.0940166357604245,0.0987949094111717,-0.0922561859421181,0.0581293281728904,-0.020440929724659,0.0532816579870446
"miR101",0.0136985259771157,0.0935867831067754,0.122575304613945,0.0180185047455992,0.0200707944038401,-0.0587755058011815,-0.0251734685334219,-0.00946777814994295,0.00935869811686707,0.0249917290857325,-0.00799256512659823,0.0199727360933077,-0.0541353940233419,-0.02442081122106,-0.0506153983886121
"miR200c",0.0293236169633589,-0.155553264007216,-0.0984861100646969,-0.0236320336374926,-0.0995543404535669,0.0344883810853575,0.0164472594507428,-0.0907862899048763,0.0905390282973175,-0.0151976297114064,0.0228390263534037,0.00653519397227931,0.0323804581022191,-0.0136917540244494,0.0406604599555221
"miR141",0.0293236169633589,-0.155553264007216,-0.0984861100646969,-0.0236320336374926,-0.0995543404535669,0.0344883810853575,0.0164472594507428,-0.0907862899048763,0.0905390282973175,-0.0151976297114064,0.0228390263534037,0.00653519397227931,0.0323804581022191,-0.0136917540244494,0.0406604599555221
"SNAI1",0.0749885701840877,-0.140568867817936,-0.162322605603347,-0.0455321170174389,-0.0203695615688616,0.00174877942757124,-0.0506221954879925,0.00490819554209338,-0.00502278577297882,0.0505937544289958,0.0210836221605998,0.0607566339392652,0.0671389006766577,0.106579563516176,-0.022575272979203
"TGFbeta",0.100109622603263,-0.238928250414841,-0.157570237604836,-0.0309236543293515,-0.164073382264708,0.11724302575045,0.0220912259866685,0.00274435689785181,-0.102578195705363,-0.0226701239782533,0.062897328984679,0.0370410213153103,0.0650402011674183,0.0665635561064121,0.0711216929678285
