"","miR200b","miR200a","GSC","SNAI2","TWIST1","miR101","TWIST2","FOXC2","SNAI1","miR34a","miR141","ZEB1","TGFbeta","ZEB2","miR200c"
"miR200b",0.157195907899525,0.0401749091241427,0.174071532770266,0.0849118361287374,0.0185193773598145,0.00332204596455501,0.00564429160852207,-0.0147961458761609,-0.0926845027713682,-0.0906464507915495,-0.190542203013083,-0.190557013439623,-0.17414917530404,-0.275377644622249,-0.230256379767461
"FOXC2",0.250202594659509,-0.116380644197401,0.115872580013619,0.138674262534441,0.00599076884008607,-0.101549195678922,0.0809719466861015,-0.0994122496549758,0.0584972711148231,-0.199703103198261,-0.20112775643533,-0.201235615172421,-0.116093978142805,-0.201142020944572,-0.285226964902999
"TGFbeta",0.161825318245346,0.0206190311554468,0.0371310250893222,0.0131050541252489,-0.0184811250360016,-0.0595654819917212,0.0811040441274549,-0.0159193475570084,0.106028973422337,-0.162275147585572,-0.117731962289421,-0.117705919723946,-0.137163289398543,-0.169219199744032,-0.140764054993532
"SNAI1",0.0321472924315957,0.0367593732299339,0.0202516060842224,0.124683184112215,0.0537559799183354,-0.152380278518689,-0.00632169232588658,-0.0656011781964728,-0.0244367258658292,-0.117319251146486,-0.0723832819074278,-0.0722936307431992,-0.0200918141705655,-0.145477140874678,-0.103274442321336
"SNAI2",-0.0220294501955492,0.048116721058669,-0.0158435094300597,-0.0705554264266992,0.122067206713282,-0.0616090154688182,-0.018786630987732,-0.0135379313135154,0.0896139167774231,0.00470569048532638,0.063755439097075,0.0637711804301314,0.0159880687806546,-0.0316639701333321,0.0154206033582676
"miR34a",0.116402898164187,-0.0843404139741217,0.0655010990350205,-0.1005743941069,0.00435132511989737,0.0867991411452839,0.00609173913131383,0.0819983216969149,-0.0501142104699135,-0.0245840865934478,-0.0986878530290579,-0.0986496352063414,-0.0653403146499146,-0.0309052279107852,-0.111731341954984
"TWIST1",0.0120205901681057,-0.120523385209833,0.0275037231572395,0.142679802370967,0.140251797107088,-0.131526091689967,-0.0540207867219026,0.0373834981438285,0.0834395393156992,-0.155135851095817,-0.178199956010657,-0.178317409981924,-0.0277817682861027,0.0393358367044465,-0.0750113170733799
"miR200c",0.0532155981249407,-0.166871030753344,-0.0529272958725449,0.0140452384732239,-0.0128212437846749,-0.0708894839120953,0.0768686243848643,-0.0247959334124407,0.127256484619691,-0.211631480959646,-0.209910362756941,-0.209989043147936,0.0528138183231821,0.117826916913262,-0.0435834232500064
"miR200a",0.0532155981249407,-0.166871030753344,-0.0529272958725449,0.0140452384732239,-0.0128212437846749,-0.0708894839120953,0.0768686243848643,-0.0247959334124407,0.127256484619691,-0.211631480959646,-0.209910362756941,-0.209989043147936,0.0528138183231821,0.117826916913262,-0.0435834232500064
"TWIST2",-0.0324825957262398,-0.0908060833174397,-0.00607585149724832,0.00478313755273506,-0.195825672045279,0.0654209530907064,-0.0586334863697114,-0.019964871565289,-0.117002083804198,0.0390377415748909,-0.048023975256777,-0.0480494811979022,0.00607528558871046,0.135478144254278,0.044832331936512
"miR101",-0.0205510631510213,-0.146859901214401,0.00715619215289322,-0.0854323536325043,-0.0446606413202513,0.121100787021106,0.0302518940496088,0.0533888165658434,-0.0556848986264238,-0.0190913798087049,-0.0979226214733488,-0.0978431743977173,-0.00697497854955748,0.195297275280306,0.0490354998601778
"ZEB1",-0.250268100066012,0.116383538067605,-0.116093978142805,-0.138637075591908,-0.00585635220826816,0.1014863897965,-0.0809164864985932,0.0992410458298814,-0.0585595895975444,0.199697880525895,0.201235615172421,0.101201528763374,0.116064545677516,0.201128101411321,0.285340983389042
"ZEB2",-0.282441308016366,-0.237841394448817,-0.100935448090209,-0.0402780462223944,-0.00518180420454456,-0.000956471553827292,-0.000583321701288287,0.00395604801447309,0.0426418516325161,0.0440195920435318,0.0700433862233631,0.0700478653729219,0.100970968463681,0.229839373949214,0.300681947635985
"GSC",-0.177296776193951,-0.0548125453641704,-0.0749535145319469,-0.0338981279557682,0.070635915718549,0.0940148623524521,-0.0347961118100932,-0.021751332346073,-0.0572281879298909,0.107681302209614,0.145512060290703,0.145672240321265,0.0752595371839329,0.286788177037196,0.20641340629658
"miR141",-0.261657702011917,-0.0533057259122292,-0.0185623316154032,-0.0275544157231738,0.0107320407539008,0.0705279541373549,-0.0767396865804103,0.0264196030152798,-0.112061757169225,0.22974985652397,0.242078079682083,0.242194711791087,0.0187403121928247,0.361940139811284,0.297969837283018
