"","ZEB2","miR200b","TWIST1","SNAI1","GSC","TGFbeta","miR101","TWIST2","miR200c","miR200a","FOXC2","SNAI2","miR141","ZEB1","miR34a"
"ZEB2",-0.0842268695044823,-0.0272836218112467,-0.0242124724696635,-0.0202204369804725,-0.00117362381679885,0.00137152304042497,0.00572228873426887,0.00832077950401091,0.010279586454575,0.010279586454575,0.0141482515790666,0.0318443662853004,0.044582029791028,0.0447238695270568,0.050763526634286
"miR34a",-0.0769657815903141,-0.111055652314774,-0.130123357939552,0.000113457299653496,-0.029417624734364,0.029307805965669,-0.112638956007185,0.280520848026505,0.106947213483734,0.106947213483734,-0.0812693568686749,-0.223956431642564,0.0610253055235033,0.0610045452247437,0.0155585088558494
"TWIST2",-0.0719379476077138,0.0664263001556202,-0.218544744784954,-0.104741483477022,0.00285102911038853,-0.00285838592138073,-0.0645826788434407,0.0441560819361771,-0.047539290305937,-0.047539290305937,-0.0363542605085809,-0.0331942250789335,-0.163389048050374,-0.163365740897277,-0.0400430909932543
"GSC",-0.0689719346028392,0.0683842313849653,0.185526350858401,0.078629078944468,0.00263332710150646,-0.00257338452018961,0.0326293130908408,0.00731482616974895,-0.0175036735966815,-0.0175036735966815,-0.0526941475473368,-0.114106448866809,-0.107197483314094,-0.107102652805203,-0.100800870206305
"SNAI1",-0.0533506910799192,0.0117565629090551,0.00413566279611038,-0.092152584874721,-0.00420006103621693,0.00423059199738709,0.00666297643829202,0.00155051337790801,-0.00439572482564664,-0.00439572482564664,-0.0236752741976856,-0.0943420819133417,-0.077101648935676,-0.0770722804508425,-0.0896896561239727
"SNAI2",-0.0330686707770523,0.207700896755356,0.196730292290716,0.0470230519381781,0.212409522104742,-0.212417220531697,0.264052221372698,-0.279320863442497,0.0536148967656142,0.0536148967656142,0.0165839926881567,0.184524766193487,0.0744243625025143,0.0743108239513198,0.0280201098840982
"miR101",-0.029767816406235,-0.058289567613946,-0.0119887095690285,0.0129964499005193,0.00791029435390009,-0.00781880787454612,-0.0204517458564534,0.0743337311751629,0.113085455813805,0.113085455813805,-0.000758958215844801,0.0478099152220983,0.199701006178663,0.199749083593531,0.129728295736833
"ZEB1",-0.017468279724075,-0.243047426586774,-0.0419218475225863,0.0821288331507341,-0.00693966321459467,0.00693582419738307,-0.0491523591271339,0.254044249474453,0.231806266614214,0.231806266614214,-0.100160796225241,-0.177073122662457,0.240897656350545,0.140915702096511,0.225487295903532
"miR200c",-0.0105615536295439,0.0947400094005757,0.0937174409055265,0.0721477885268935,0.0901650869320236,-0.0900277193722687,-0.0267675187994264,-0.039910954193802,-0.122170546879759,-0.122170546879759,-0.0436521548438553,-0.125897133315552,-0.253147533749203,-0.252934633867686,-0.236782477252245
"miR200b",-0.0105615536295439,0.0947400094005757,0.0937174409055265,0.0721477885268935,0.0901650869320236,-0.0900277193722687,-0.0267675187994264,-0.039910954193802,-0.122170546879759,-0.122170546879759,-0.0436521548438553,-0.125897133315552,-0.253147533749203,-0.252934633867686,-0.236782477252245
"miR141",-0.0105615536295439,0.0947400094005757,0.0937174409055265,0.0721477885268935,0.0901650869320236,-0.0900277193722687,-0.0267675187994264,-0.039910954193802,-0.122170546879759,-0.122170546879759,-0.0436521548438553,-0.125897133315552,-0.253147533749203,-0.252934633867686,-0.236782477252245
"miR200a",0.0105615536295439,-0.0947400094005757,-0.0937174409055265,-0.0721477885268935,-0.0901650869320236,0.0900277193722687,0.0267675187994264,0.039910954193802,0.122170546879759,0.122170546879759,0.0436521548438553,0.125897133315552,0.253147533749203,0.252934633867686,0.236782477252245
"FOXC2",0.0175047074387542,0.243175669565702,0.0419278215951116,-0.0821123716647322,0.00697287293397254,-0.00693966321459467,0.0492601956422369,-0.254244962534007,-0.231826523705643,-0.231826523705643,0.100248711702992,0.177204085373115,-0.240994836004756,-0.240897656350545,-0.225525346802205
"TWIST1",0.024971112531441,-0.105838288723746,-0.031394680625806,-0.00162029594860494,-0.0307038490897059,0.0305487854601475,-0.123697196886046,0.181586598184936,0.0115981214212657,0.0115981214212657,0.0733380708361597,-0.246518584212473,0.0710693368627858,0.070991812056144,0.00496135913681948
"TGFbeta",0.0624555426621683,0.0882481763688062,-0.0400725621555311,-0.086681441689094,0.00867426114536388,-0.10850003387557,0.0801442831507256,-0.148205825566399,0.0202241554876009,0.0202241554876009,0.0536548751232128,0.24802634126218,0.106997385898929,0.107052294922521,0.151672200622784
