"","ZEB2","miR141","SNAI2","TWIST2","miR34a","miR200a","miR200b","miR101","TWIST1","GSC","TGFbeta","miR200c","FOXC2","SNAI1","ZEB1"
"GSC",-0.133002462397151,-0.135309214596619,-0.156201373377691,-0.0733616591320456,0.01428458196759,-0.00556877787589201,-0.0373560213173628,-0.0809542593682483,-0.083240694116619,0.0313633656337452,0.0315608606648207,0.00556877787589201,0.230696588618829,0.223175969179628,0.135552924090971
"TGFbeta",-0.101791357823259,-0.0087993692645918,-0.307567658998217,-0.170369924759418,0.178956377743379,0.0458780719050523,-0.127902457613125,0.00613034845625483,-0.0778950955596461,0.2105412382941,0.110659003022758,-0.0458780719050523,0.202802468516989,0.302546528052391,0.00885114062969288
"ZEB2",-0.0937914664273617,-0.0451078743825817,-0.0352507281753653,-0.0322689558745569,-0.0284750163243209,-0.0231910513313387,-0.022601859889688,-0.00212819871262955,0.00241840568358803,0.013749519418542,0.0139118982686968,0.0231910513313387,0.0343256601007927,0.0398325899135706,0.0452955009807671
"SNAI1",-0.0817148644399157,0.120299058379012,-0.183174102375729,-0.0107726380753072,0.219703229088255,0.103329876663235,0.0147451710323609,-0.0657931426809994,-0.210373632596303,-0.0214041990117639,-0.0214632784041581,-0.103329876663235,0.0870477997906082,0.118321132268239,-0.120419005453911
"TWIST1",-0.0780071274080935,0.175537704781493,-0.279123373830972,-0.108765063181756,0.198886812572249,0.133641499013762,0.0145956767654394,0.0408204690327593,-0.144548539828717,-0.0294700219879115,-0.0296691985465683,-0.133641499013762,0.232901725108038,0.267354366833117,-0.175856878818202
"ZEB1",-0.0539600365535658,-0.396023676358849,0.136848274370486,-0.144685758707639,-0.349793991042472,-0.289536454935979,-0.253215238971901,-0.0327091139051393,0.121959053858014,0.145955839255049,0.14668141350804,0.289536454935979,-0.0370043206115487,-0.0717586936274167,0.296928971281478
"FOXC2",-0.053664764752467,-0.394476277249484,0.136802464368815,-0.143927802811693,-0.348880023378275,-0.288847135053354,-0.252674588715415,-0.0324211548593147,0.121675285413065,0.144793499076823,0.145955839255049,0.288847135053354,-0.0378078989257308,-0.072011495019588,0.396023676358849
"miR34a",-0.0531247914054172,0.251461941575654,-0.250573599488444,-0.0108077136557206,0.209193889845898,0.207860501441205,0.0203211654068536,0.0660948198609445,-0.0939218150613668,-0.0490063513619875,-0.0493807059491963,-0.207860501441205,0.0755106991946526,0.143710096672588,-0.251971512545207
"TWIST2",0.00504741362114503,0.0908857155742859,-0.030527271172676,-0.0686965652107198,-0.0369730614501391,0.0445439898690518,0.0156273049057496,0.0908575870907723,0.0729755040644451,-0.0168957052846365,-0.0169721029372479,-0.0445439898690518,-0.0995037406502689,-0.178738078101973,-0.0909886188539981
"SNAI2",0.0145202150228909,0.0289282063405703,0.213380413140007,0.236784944551935,-0.0763476864846638,0.00803652617953638,0.232145534898983,-0.140089279515669,0.00332689595989384,-0.214611119019923,-0.214783050555246,-0.00803652617953638,-0.178783380875189,-0.249606212591155,-0.0290444242676042
"miR101",0.0234086941890313,0.267607982371436,-0.194417126988182,0.0376313697753678,0.255101945265971,0.126493655563896,0.0648753015733511,-0.0648043751094031,-0.237025058215788,-0.0583245780315731,-0.0587433046101547,-0.126493655563896,0.0875200198190611,0.22622395453351,-0.268206392747974
"miR200b",0.0386648614563956,0.281885488691397,0.154349710603246,0.147108747800183,0.136349371363602,0.125862381927721,0.128978967001232,0.0108735081287919,-0.0132378698541817,-0.184579124703804,-0.185098732429834,-0.125862381927721,-0.158842467471254,-0.178778539348632,-0.282538998762487
"miR200a",0.0386648614563956,0.281885488691397,0.154349710603246,0.147108747800183,0.136349371363602,0.125862381927721,0.128978967001232,0.0108735081287919,-0.0132378698541817,-0.184579124703804,-0.185098732429834,-0.125862381927721,-0.158842467471254,-0.178778539348632,-0.282538998762487
"miR200c",0.0487825816884365,0.305040792184635,0.165669843973369,0.159021127598606,0.149292659542299,0.132714210292587,0.169015971507693,0.011783491495707,-0.0141088631591197,-0.193838899778308,-0.194461234549023,-0.132714210292587,-0.172680233440013,-0.192695746615239,-0.305795198286531
"miR141",0.0487825816884365,0.305040792184635,0.165669843973369,0.159021127598606,0.149292659542299,0.132714210292587,0.169015971507693,0.011783491495707,-0.0141088631591197,-0.193838899778308,-0.194461234549023,-0.132714210292587,-0.172680233440013,-0.192695746615239,-0.305795198286531
