"","TGFbeta","miR200c","miR200a","ZEB1","miR34a","miR101","TWIST1","FOXC2","SNAI1","ZEB2","SNAI2","TWIST2","miR141","miR200b","GSC"
"miR200b",-0.167381917764602,-0.0185737706626547,-0.0185737706626547,-0.2856488193056,-0.258515883222864,-0.101169161149827,0.0419179316102715,0.0698229867867123,0.0865004173103945,-0.256929819304053,0.114926100598964,0.171970980551946,0.284422330857733,0.0550616383037524,0.165259290341259
"miR141",-0.167381917764602,-0.0185737706626547,-0.0185737706626547,-0.2856488193056,-0.258515883222864,-0.101169161149827,0.0419179316102715,0.0698229867867123,0.0865004173103945,-0.256929819304053,0.114926100598964,0.171970980551946,0.284422330857733,0.0550616383037524,0.165259290341259
"miR200c",0.456909881714976,0.345105431544515,0.345105431544515,0.47584992036616,0.409748678316928,0.16465437917991,-0.0898131251497839,-0.132316038276916,-0.144443281095497,-0.201429466508831,-0.188098022126023,-0.27386451812384,-0.468905681622084,-0.341056224663695,-0.446896383859104
"miR200a",0.456909881714976,0.345105431544515,0.345105431544515,0.47584992036616,0.409748678316928,0.16465437917991,-0.0898131251497839,-0.132316038276916,-0.144443281095497,-0.201429466508831,-0.188098022126023,-0.27386451812384,-0.468905681622084,-0.341056224663695,-0.446896383859104
"GSC",-0.095584678658644,-0.0661500146266301,-0.0661500146266301,-0.259703928245003,-0.116418690875904,0.0368763534619343,-0.00450360328249811,0.0645320558278043,-0.0714084225529112,-0.154102204766787,0.100390312124918,0.102445862393063,0.258406273457537,0.0752878728217013,0.0937365542304646
"miR101",0.204064311091545,0.20162640055313,0.20162640055313,0.278452198040712,0.218195991384831,0.11530780282814,-0.0427595546084042,-0.109309250249021,-0.0942280223224264,-0.113992344936905,-0.0425069581933125,-0.170616724749775,-0.274017823712006,-0.186900282024982,-0.198819672727042
"SNAI1",0.0831484532266993,0.0891395452424837,0.0891395452424837,0.0794256902571316,-0.016737126792656,-0.0285147054866418,-0.00495197359135674,0.0244317410406567,-0.0887881153948143,-0.109064161512584,-0.0552683275339404,0.0121715035420164,-0.0785860607328392,-0.0771660888515364,-0.0825271283415869
"TWIST1",-0.0509643653011112,-0.0245256582511645,-0.0245256582511645,-0.148585450369627,-0.0617325843791459,-0.0369059622682062,-0.097318964182641,-0.0943306626146531,0.00363420347556704,-0.107682725325553,0.103115316428399,0.123169207383073,0.147948917258238,0.0524590561226155,0.0496556817378559
"miR34a",0.136648469435046,0.138913702260346,0.138913702260346,0.148863431586376,0.114043228645811,0.0979626818910822,0.0688952926678238,-0.124621195289814,-0.0599492638371235,-0.032758342129906,-0.127094712311067,-0.269377728316932,-0.146993117398127,-0.13376141081453,-0.135027884179884
"FOXC2",-0.391719973175921,-0.374439423560022,-0.374439423560022,-0.526494282861566,-0.479286349145391,-0.208467887867271,0.0482435147982506,0.202548395506366,0.193369074856415,-0.0119363018553699,0.229956212343645,0.387331480663867,0.518071690193824,0.381227492661117,0.380677741482779
"ZEB1",0.397975011886011,0.378798170861488,0.378798170861488,0.431701984384928,0.485993006560467,0.212483909292372,-0.0493845626505715,-0.205859878501662,-0.195527881163516,0.0122469739911297,-0.232739843621637,-0.394116110269043,-0.526494282861566,-0.385756591823386,-0.391719973175921
"SNAI2",-0.0562227714563738,-0.0550989384591795,-0.0550989384591795,-0.0619753361192064,-0.0541667975978824,-0.056251462885967,-0.0548156526059615,0.0515081614593478,0.0310591221659883,0.0456240034395079,-0.0135773492488338,0.113945993601881,0.0614183608665915,0.0613037918398421,0.0560337323055958
"TGFbeta",0.0938672970153704,-0.0142053028069463,-0.0142053028069463,0.0713612202951032,0.102381332082674,0.0442953651746517,-0.00985618786912963,-0.0413620287563854,-0.0234182844009886,0.108179453288792,-0.0717277404128479,-0.122754181564682,-0.0703160662517596,-0.0787842878765162,-0.193315577327689
"ZEB2",-0.472024460845679,-0.455202336435411,-0.455202336435411,-0.431002476420228,-0.376889848431455,-0.176750994641549,0.116969714351839,0.152467293785793,0.159593666421231,0.184248702307073,0.201127997629754,0.268794747467659,0.42344316501482,0.459993993333653,0.463507182721155
"TWIST2",-0.0103921614754941,-0.032126406352445,-0.032126406352445,0.160505035328993,0.109923855120924,0.0126332527771645,-0.159048688947626,0.0611904015490024,-0.0378040811909813,0.230859217447546,0.0373244483107609,0.0153309463686698,-0.160818582501792,0.0381021501470563,0.00920771490574866
