"","ZEB2","TWIST2","SNAI2","miR101","miR200a","TWIST1","ZEB1","miR141","miR200c","miR200b","GSC","TGFbeta","FOXC2","miR34a","SNAI1"
"TWIST1",-0.155300400426322,0.206968974910597,0.105928105928286,0.125554841768258,0.163838638519742,0.176422176943935,0.168934786886645,0.168479231417517,-0.0148224475999465,-0.0440928034093153,-0.0762247608553534,-0.0766458388149299,-0.438735265813723,-0.232247252823569,-0.399613587330958
"TWIST2",-0.0896232590011981,-0.105834873429617,-0.192960395781953,0.205021524788347,0.0843362148891359,0.0983357852885938,0.0804693594524755,0.0802833419853034,0.00280484368358278,0.0676642714566481,-0.00673399094344442,-0.00691677940117388,-0.125569648442674,-0.119628526064148,-0.204430561334189
"GSC",-0.0891578029145236,0.0648120741984923,0.125892879652412,-0.176677896290337,0.101057146620846,-0.0485340977859984,0.109921183051978,0.109977688277483,-0.0106484670276229,-0.0351669886997273,-0.0538551324559078,-0.053677828610118,-0.0261113155076431,-0.00143065507949373,0.128080704272805
"ZEB2",-0.0774827416965708,-0.0343331255697852,-0.0295897028924656,-0.0202299393680636,-0.0173273956191518,-0.0135754620587835,-0.0110638811273593,-0.0108394259661348,-0.00845874483237475,-0.00420794509958983,0.00868251602688243,0.00903518259206232,0.0268748971257104,0.0411677750596434,0.0714026711335769
"ZEB1",-0.0462121389923182,0.127551749595393,0.0895949502969679,0.0524411230222243,0.0396580935822204,0.034268509589669,-0.0641277192367052,0.0356196403197705,-0.00242451260745242,-0.00880266087454946,-0.0182527797804367,-0.0185637401745758,-0.152118003584894,-0.076711612898089,-0.200549596143279
"miR200a",-0.0458117980691235,0.1441981868833,0.11533695568138,0.0970839670982246,0.0389832978078239,0.0675293710413857,0.0334179896146755,0.0330764241525902,0.0041887500196323,-0.0300205377830996,-0.132755610235379,-0.132976592831507,-0.134006670864486,-0.183492708862547,-0.315684328137074
"miR141",-0.0458117980691235,0.1441981868833,0.11533695568138,0.0970839670982246,0.0389832978078239,0.0675293710413857,0.0334179896146755,0.0330764241525902,0.0041887500196323,-0.0300205377830996,-0.132755610235379,-0.132976592831507,-0.134006670864486,-0.183492708862547,-0.315684328137074
"SNAI2",-0.0244716373132123,0.197504100299973,0.082657499726671,-0.181994416805375,0.022490168711904,-0.136664477599907,0.020914827170531,0.0208528666042449,0.00175782772983837,-0.193945853957294,-0.206921559556141,-0.207002820729552,0.0470691935274142,-0.0177760330017541,-0.0184617456499901
"miR200b",-0.01925779512124,-0.00705152975274797,-0.0486583054396384,-0.0454395427975462,0.0181150648955268,-0.0325910594739751,0.0163819896778347,0.0165088039550859,0.00126385295276931,0.0265241254481712,0.0965788563282464,0.096878675958668,0.0382656838522543,-0.00602451957572689,0.139437678549802
"miR101",-0.00180858050161109,0.00133630434505651,-0.13028460005877,0.276702797019901,0.00403836608334019,0.287066313483622,0.00650725323672489,0.0061304763329786,-0.00231741501862154,0.0232508134648046,0.0102372017613082,0.0096742080422069,-0.332179059865583,-0.137725936790197,-0.327583605363621
"miR200c",0.01925779512124,0.00705152975274797,0.0486583054396384,0.0454395427975462,-0.0181150648955268,0.0325910594739751,-0.0163819896778347,-0.0165088039550859,-0.00126385295276931,-0.0265241254481712,-0.0965788563282464,-0.096878675958668,-0.0382656838522543,0.00602451957572689,-0.139437678549802
"TGFbeta",0.0377654559455331,-0.149732763054395,-0.054608548069871,-0.149719627455583,-0.029437090120663,-0.120755111692933,-0.0237048324135507,-0.0233198417167081,-0.00358993984156,0.0867057958944809,0.206718897555655,0.107115748559075,0.18526008511969,0.217274460904864,0.362017842334595
"FOXC2",0.045887251163025,-0.127034121178649,-0.0897226793604498,-0.0513520927213485,-0.039388963653236,-0.0333096709493679,-0.0356196403197705,-0.0353601386057777,0.00241235835259505,0.00883587488348034,0.018153150622303,0.0182527797804367,0.150564830144622,0.0759140362180672,0.199286765002851
"miR34a",0.111312929857133,-0.199559899899818,-0.0207213387399568,-0.137518938935472,-0.00852120058098768,-0.104306057093276,-0.00690055454036496,-0.00654904493636766,-0.0816598536295031,-0.0120249598848896,0.0122915501552293,0.0127350723647102,0.250438921731015,0.140160047844155,0.314865008604243
"SNAI1",0.156844516562927,-0.0783404499332112,0.118833766636569,-0.358186056032755,-0.150062345601789,-0.368477774456303,-0.145529614149579,-0.145077339483143,-2.98376963702841e-05,-0.0372163554168426,0.0426136909051744,0.0430288326758908,0.477029257246212,0.33386575551401,0.412552736684434
