"","ZEB1","ZEB2","TWIST1","miR200b","FOXC2","SNAI1","miR101","SNAI2","GSC","TGFbeta","miR200c","TWIST2","miR200a","miR34a","miR141"
"miR101",0.113762837717573,-0.12238804881937,0.191320492042433,0.0181573831446372,0.0960191191272006,0.202611878695082,0.0977716826429934,-0.108786673351068,-0.0238917288001957,-0.0238231139406802,0.00247005148206272,0.047945350742302,-0.117616968693889,0.0229650563689084,-0.113826599962822
"SNAI1",-0.110832244840846,-0.0933485525538966,0.129320181271116,-0.0429180712687752,0.0674979604925635,0.0465383655247229,0.0941000391695655,-0.0650208767368573,-0.0218782060722775,-0.0218540192069349,0.10465818558067,0.109173204042976,0.0104650993610486,0.188680809409397,0.110981869542524
"ZEB2",-0.118804197751503,-0.0661114818700182,-0.0373824197258125,-0.022217199443541,-0.0139424028548623,-0.00749603010029848,-0.000565209134267344,0.00610306964733077,0.00618226352009104,0.00661865667988198,0.0324028938310443,0.0514768037971415,0.0718361923636197,0.116264473079869,0.118436409804397
"SNAI2",0.0329382438270021,-0.0591633826007102,0.109809350071949,-0.00208065944209261,0.0139066558327029,0.0843510967707471,0.0303743584959681,-0.122168270216736,-0.0103802806292881,-0.0108550169581649,0.012098755485844,0.0180040141665981,-0.0454685220467783,0.0144349041569291,-0.0325929392656996
"miR200c",0.245844804053048,-0.0365387033832865,0.0829108694106567,0.0487542832996118,0.0251930357697767,-0.0353325740364348,0.000325340988166318,0.0381695996013753,-0.0976157662779463,-0.0973637266683091,-0.106495384536657,-0.111614745719627,-0.14170150013927,-0.218854396798961,-0.246012347003285
"ZEB1",0.0709077732234779,-0.015638507386084,0.107933255399236,0.197528327479806,0.0979284182987435,0.130322653753601,0.00223436158061781,-0.122083560657733,-0.00621582848472737,-0.00625933734645877,-0.177049725009143,-0.0694747738785886,-0.190531037142605,-0.155218592225649,-0.171037101069568
"miR141",0.182246672546974,0.0101083584390696,0.067599075776011,0.07577193057453,0.0194135181482272,-0.0399921579656139,0.000170906017943034,0.0415469199201061,-0.0870996888321618,-0.0873565064438775,-0.0962971577212339,-0.0932059992638702,-0.0848333868958336,-0.169482327051312,-0.182200389964035
"FOXC2",-0.171037101069568,0.0157566753385798,-0.107706240643277,-0.197620588615725,-0.0979021978930984,-0.130436708335185,-0.00223554659726729,0.122123981247443,0.00614387409274199,0.00621582848472737,0.17730612190923,0.0700372986376009,0.190484156445298,0.155534190855817,0.171230392469702
"TGFbeta",-0.118725131936655,0.0206184897680567,-0.0671276878267882,0.0551959214032316,-0.00923123333065835,0.0565240057372555,0.00142514611997953,-0.0567523219684442,0.00581634389291002,-0.0942449582946101,0.0517257917186703,0.121777778510411,0.0696742822763821,0.146401067131224,0.11883463621799
"miR200b",-0.19369185755858,0.021156358692253,-0.0186781019048075,-0.0899758558609813,-0.0184811082427379,-0.129042613885051,-0.0013313134972255,0.126654463801004,-0.0818595854715551,-0.0820542890562511,0.0858675497418405,-0.0195909619516514,0.107150078813147,0.0919122006070127,0.193905683091755
"miR200a",-0.245844804053048,0.0365387033832865,-0.0829108694106567,-0.0487542832996118,-0.0251930357697767,0.0353325740364348,-0.000325340988166318,-0.0381695996013753,0.0976157662779463,0.0973637266683091,0.106495384536657,0.111614745719627,0.14170150013927,0.218854396798961,0.246012347003285
"TWIST2",0.109351524998421,0.0588157573676258,-0.116097178685585,0.018742343039509,0.055499300094078,-0.033498509119501,0.0258925979815193,0.0853892409415073,0.0211222565401476,0.0209553135214783,-0.0834073539159684,-0.122489150907081,-0.0236967491610959,-0.0838426731102769,-0.109438597004331
"miR34a",-0.0532094810541926,0.07623185591189,-0.100642290092125,-0.0766786795836939,-0.0782807428893358,-0.162713485532866,-0.00506759817760737,0.128914728987427,0.0312111676242045,0.0315078603197395,0.0427257811472023,-0.0381088691205264,0.101663800755682,-0.0572618107571258,0.0529971598168788
"GSC",-0.116575944650876,0.0794342265608296,-0.179678202548015,-0.0330491636310987,-0.0655657962809912,-0.0868700529631016,-0.0543230858835999,0.0801976374726382,0.0184135878066805,0.0181933776921586,0.018470274116777,-0.032396092487312,0.100630854743907,0.0163644591670002,0.116667335711258
"TWIST1",0.174638317465378,0.12563130145489,-0.151820189277463,0.11932424533129,-0.180228493467604,-0.177802314979232,-0.0735645238561732,-0.0325328018798778,0.0111126521288886,0.0109549149884758,-0.157477626109531,-0.00693724337194308,-0.0347685549792395,-0.174668750098736,-0.17457842371844
