"","miR200a","GSC","miR101","SNAI1","ZEB1","TWIST1","FOXC2","TWIST2","miR141","miR34a","SNAI2","TGFbeta","miR200c","miR200b","ZEB2"
"TWIST2",0.166090268583744,0.0632256145268636,0.0366920938136295,-0.00502382596721472,0.0838391224501442,-0.0261882474559335,0.0225287397590547,-0.0896122738661126,-0.0838219719035255,-0.0316848430921981,-0.103150765496947,-0.0634265120578047,-0.0805247063649723,-0.084891894903881,-0.251477799319247
"miR200a",0.124530480277848,0.145780859349887,0.112812203171667,0.0779951927375128,0.011092927062411,0.0530709554266592,0.00795563260908867,-0.0857204810393351,-0.0110392392662025,-0.00569785685248504,-0.147528942378511,-0.14589433689925,-0.112913474260893,-0.150301755195722,-0.240106995819675
"TGFbeta",0.085113901829493,-0.196757700284579,-0.168664616879611,-0.0960723329575787,-0.0139750395177631,-0.0542338032319034,0.00990131417360231,0.155077056952438,0.0140851713307963,0.106831971176137,0.239289517984467,0.0963463303420097,-0.101271129931772,0.0704553402381987,-0.197986856619515
"SNAI2",0.0447921268690944,-0.193434184421908,-0.219728504083743,-0.00381044787557542,-0.0152558140182411,-0.148246565526274,0.0380581552563197,0.215969418823293,0.0153077269251294,0.00931896860747952,0.133312443858391,0.19310828434749,-0.0595757690251111,0.162711158395008,-0.108138523974709
"miR34a",-0.12357494188777,-0.0886519410408242,-0.162961356732085,-0.0486083099771304,-0.140476203917243,0.0102367763298085,0.0505461364670054,0.0392558941358127,0.140521970939508,0.101021527048204,0.23700008584081,0.0884887297216035,-0.124364412227991,0.0295607368731965,-0.000765882573448693
"FOXC2",0.00718459425204807,0.0122878360077467,0.125797328012339,0.0965532461583754,0.0211075418165453,-0.0651849376362722,-0.0817497357990028,-0.0159943348752944,-0.0212602527017345,-0.0254783735738692,-0.150886924196591,-0.0121605320834649,0.0169672097525387,-0.00973185107253379,0.0111076344809033
"ZEB1",0.00690736148649207,0.0121605320834649,0.125720301930122,0.0965356088519449,-0.0788974708906674,-0.0651610413461712,-0.0818006342334903,-0.0158939783455176,-0.0211075418165453,-0.0253507911489079,-0.15085512666602,-0.0121541337214456,0.0170789131424183,-0.00962575076622682,0.0112874037720437
"SNAI1",-0.0152095877760747,0.0237530802464449,0.133940029760064,-0.0668224296767094,0.102587322080431,-0.0169829561667998,-0.0387467508670517,-0.0098287663016387,-0.102629365385035,-0.1171737215014,-0.130474821666547,-0.0236226297759905,0.118196284117578,0.0412422869598185,0.137788539221791
"miR101",-0.0763935510255308,-0.0265768959109825,-0.108498624489817,-0.022571585313981,-0.00554703502554636,0.00489888341378535,0.0321077832416485,0.0119275795466952,0.00546486015332658,0.043203264819493,0.0941125172742304,0.0267422753159686,0.0703458582291627,0.0962501260911264,0.152113403520896
"TWIST1",-0.148086338941462,-0.0463866209408315,-0.0152912351076907,-0.0451478481817873,-0.139812879863553,0.134319023005269,-0.0795417030909738,-0.127867716359836,0.139785136872547,0.116230510310536,-0.0498492304272127,0.0465550521246621,0.0012299772710374,-0.0199722815259088,0.155085098226146
"miR200b",-0.129557341408305,-0.162917455863829,-0.200757829997712,-0.143148900610505,-0.0279604122485051,-0.00305405933264069,0.0166241713452934,0.0806923133238407,0.0280390926395004,0.129035687609487,0.257161174375516,0.162921039365388,0.0994601179527893,0.12565161376172,0.23054948722594
"miR141",-0.129557341408305,-0.162917455863829,-0.200757829997712,-0.143148900610505,-0.0279604122485051,-0.00305405933264069,0.0166241713452934,0.0806923133238407,0.0280390926395004,0.129035687609487,0.257161174375516,0.162921039365388,0.0994601179527893,0.12565161376172,0.23054948722594
"GSC",-0.160809227242761,-0.0484546407542854,0.0901444078113727,0.0139226341732017,-0.0708581398480415,0.101572914586812,0.0543710277928716,-0.0386499125494965,0.0708203059144425,0.0131482883646072,-0.0693266466851949,0.0488149272167267,0.0942816855896609,0.0574139779129377,0.278951506724196
"miR200c",-0.172188721515688,0.0609752409685465,0.0814411284521192,0.0539912448261776,-0.0153430814734276,0.0519536990920927,0.00977778503276446,-0.0750303052840684,0.0152495906558921,0.0219621927541349,-0.108386617767393,-0.0603839632113407,0.155989712724372,0.080724563494397,0.337900760515347
"ZEB2",-0.381551582039282,-0.129073741281674,-0.086006436498696,-0.065273124297647,-0.0522563984428624,-0.00242540507393731,0.00472707879895626,0.0280425699295517,0.0520827069766377,0.0664126048898193,0.107205934302502,0.129801908937837,0.333230288021436,0.335817791195035,0.398222914742124
