"","ZEB2","miR34a","FOXC2","miR141","ZEB1","miR200a","miR200b","GSC","TGFbeta","miR200c","SNAI2","miR101","TWIST2","TWIST1","SNAI1"
"ZEB2",-0.0850619300742572,-0.0484547397246294,-0.0148063111074897,-0.0121412783107834,-0.00996391394192045,-0.00928927368042355,-0.00640309091287393,-0.00156328876743698,-0.000443612333694593,0.00269606883228687,0.0073434268318299,0.0106821772051754,0.0255576410669262,0.0294413492120828,0.0314160667488404
"SNAI1",-0.0783879654648983,-0.103844157759116,-0.0205261051439951,-0.106690083927787,-0.106123117599527,-0.013811886204311,-0.0414450845547103,0.0285218154499495,-0.0296237055940001,-0.0958975204031941,0.0572353579940382,0.0256789113284816,0.031398010154013,0.0157737512571739,-0.0887252711125173
"TWIST2",-0.0502608839485409,0.0272296039262012,0.0396514548113148,-0.0474051912288384,-0.0468458195545052,0.00408686494919926,-0.0074910152887605,0.00836032837062292,-0.0098152792214664,-0.0490467996590283,0.0649313908016264,-0.0651177454013576,-0.0883715413736752,-0.0113148380253948,-0.0698797900733906
"GSC",-0.0136731413002402,0.0296544064445568,0.0396330825680762,-0.0148871968092724,-0.0158271489518032,0.0117067996521221,-0.0486720683738469,0.0142281229113683,-0.0144117365025599,-0.0140857175117956,-0.060476973972616,-0.0323252071266487,0.0155674340722871,-0.104997369555549,-0.0247362509478493
"TGFbeta",-0.0133335134561088,-0.116703487340657,-0.0586791385522544,-0.0270143225156699,-0.0272612562389096,-0.00980552934756259,0.085183197700321,-0.190479788836361,0.0912025093629144,-0.0209139928878841,0.101155748597499,0.000911779414493909,-0.0598658754923801,0.081668193641061,0.103081714616786
"miR200a",-0.010055222359841,-0.0162769552955512,-0.0638431214939676,-0.0153043532746213,-0.0159245398859958,-0.00287102195527117,0.0564564601626397,-0.112220262779721,0.11353540785181,-0.0128298808437483,0.129809028340193,-0.018112029466537,-0.071257268443048,0.0696420074186593,0.0939740438337399
"miR101",-0.00359724263073339,0.0399897914057093,0.017391540943647,0.000782237253962506,0.000564354501479359,0.00244377167884024,-0.0356491106658251,0.0084830425162721,-0.00962486415282446,-0.00117772827564386,-0.0806762315847631,-0.0124896670238472,0.00562805036456902,-0.00199604498451691,-0.00855534399310773
"TWIST1",-0.00154471848805212,0.0467443116187514,0.0867606496908043,-0.00282013553687509,-0.00298685276319826,0.0199461789110898,0.0137017990531304,-0.0056190750077035,0.00457373226361195,-0.00230647880834058,0.0224059130356805,-0.00293342995356243,-0.0800583243444374,-0.0793383578753223,0.0143526390103719
"FOXC2",-0.00101137793291063,0.00451191250402957,0.0568648820948344,0.0165904785048248,0.0163865080218099,0.00832406011547795,0.00931235536961277,-0.00594636497151847,0.00713084496266254,0.0106219104074986,0.0871975834315826,-0.0660543301218141,-0.0971812747962986,-0.0567389411894431,-0.0412647646046428
"miR200c",6.30658104704304e-05,-0.0987451537574209,-0.0629546819531196,-0.00794694701111247,-0.00786178705850583,-0.00539862508305167,-0.00216939819884911,-0.104797123482344,0.103400752374923,-0.00418595043240574,0.071337716515277,0.0188711649504917,0.0171935413196777,0.101262418052662,0.108365318678204
"miR200b",6.30658104704304e-05,-0.0987451537574209,-0.0629546819531196,-0.00794694701111247,-0.00786178705850583,-0.00539862508305167,-0.00216939819884911,-0.104797123482344,0.103400752374923,-0.00418595043240574,0.071337716515277,0.0188711649504917,0.0171935413196777,0.101262418052662,0.108365318678204
"ZEB1",0.00026299976029693,0.00423660306069183,0.0554474378131964,0.0163865080218099,-0.0824219714737113,0.00828991244706917,0.00913060093185214,-0.00713084496266254,0.00600985193687714,0.0104349663923116,0.0870795553096309,-0.0657592609760926,-0.0967798486771912,-0.0563566005478277,-0.0402171086026675
"SNAI2",0.0022460547188739,-0.0288392532383653,-0.0611371613856225,-0.00183984455572024,-0.0029112599694996,-0.0024531341681267,0.0102087430584687,-0.00219702861836726,0.00300878497170795,0.00059372819186133,-0.0726610022482989,0.0197914540616957,-0.00325429556657138,-0.0154546800667818,0.0657933924179901
"miR141",0.010055222359841,0.0162769552955512,0.0638431214939676,0.0153043532746213,0.0159245398859958,0.00287102195527117,-0.0564564601626397,0.112220262779721,-0.11353540785181,0.0128298808437483,-0.129809028340193,0.018112029466537,0.071257268443048,-0.0696420074186593,-0.0939740438337399
"miR34a",0.0751209602993832,0.072132696733781,-0.000954517662490708,0.125560184337879,0.124859524254743,0.0864323238319629,0.098335275643168,-0.0624412443184045,0.0624418510519332,0.145125442058033,0.0402828464117982,-0.017423320232744,-0.196627291237564,-0.0533827712994226,0.00691163997149599
