"","ZEB2","ZEB1","miR200c","miR200a","TWIST2","miR101","TGFbeta","miR200b","SNAI2","GSC","FOXC2","SNAI1","TWIST1","miR141","miR34a"
"TWIST2",-0.0888080763897412,-0.0208599936143184,0.0320573704534016,0.0320573704534016,0.0144524858157075,-0.142317347713693,0.0138078492977621,-0.0437614416729496,-0.0172128547233166,-0.0138129424746028,-0.336328298092959,0.34059976358109,-0.359172929397119,0.0203718626720938,-0.106906067459751
"SNAI1",-0.0867447160509145,-0.177490922318952,-0.0474540668839615,-0.0474540668839615,0.200855627912881,-0.144398279334482,-0.0122699707429916,-0.0309135859681934,-0.244482167259328,0.0119293720982491,-0.457217409373644,0.348146529969773,-0.421343958966632,0.176032390619537,-0.13365005088649
"ZEB2",-0.0682670246661325,-0.0450869021938387,-0.0371269212512637,-0.0371269212512637,-0.0345428465359163,-0.00886326700723592,-0.00575625839569869,0.000710763735213882,0.00156663407280446,0.00548224408606252,0.0126238351761066,0.0139653016523719,0.0224959452849303,0.0420306291448816,0.0623514696866154
"miR200c",-0.0320499029580432,0.00470771861026285,0.01745803091301,0.01745803091301,0.0221054979024553,-0.181735090823035,-0.0826474798372124,-0.0388561608667223,0.0979516674153965,0.0825435582920065,-0.128982740171531,0.269037218169628,-0.115482382693795,-0.00606379829035763,-0.154166279082692
"miR200a",-0.0282517202686119,0.067909493677382,0.048925033133681,0.048925033133681,0.0433161983091384,0.097785529875582,0.0959970394009468,0.0449466434885237,-0.0421214208852752,-0.0958763948484664,0.0333314296408002,-0.155640052412211,-0.00263222399744231,-0.0688545840209839,-0.0433981670742462
"miR101",-0.0218264441076686,0.164085336772172,0.095596461092948,0.095596461092948,-0.102397668785549,0.104116724588352,0.0162077057732069,0.0232438178890018,0.20609355992772,-0.016309748384794,0.322337922313453,-0.321033951654766,0.296738722237863,-0.165564825446702,0.0167205172726486
"FOXC2",-0.0194792195908002,0.0178804240268626,0.0196462680973234,0.0196462680973234,0.0353698718010074,-0.121809026575848,0.00415913222473063,0.00417318811526854,0.0875540199935819,-0.0037274058728183,-0.157427664360621,0.159630616714385,-0.131381766983725,-0.0174415137204797,-0.0580792162521112
"ZEB1",-0.0186319050241567,-0.0829577006191149,0.0206446533177495,0.0206446533177495,0.0355494571700817,-0.122004554323013,0.00377395083116738,0.00383828019188219,0.0870565772695576,-0.00415913222473063,-0.158302192007726,0.160026868198858,-0.131919433510997,-0.0178804240268626,-0.0586410265795727
"miR141",-0.0181980355062495,-0.0293270305837502,-0.00499256995473697,-0.00499256995473697,-0.0305621088020994,-0.0963921530081766,-0.0862877488369106,-0.0795771602169426,0.0422210573624145,0.0858111431295871,-0.0385051592012567,0.151209481262744,-0.00725952572120777,0.0275905080719018,0.00822234606022844
"TWIST1",-0.0135874602304617,0.181209236002659,0.112773494096192,0.112773494096192,-0.195219737618998,-0.0264849808897378,0.0312898520132745,-0.016677255989383,0.279546198903548,-0.031375404360617,0.404196323512318,-0.298908947604943,0.283640453225341,-0.182188019096547,-0.00747190521783599
"TGFbeta",0.00647056383528769,0.138726313026977,0.0686003296184369,0.0686003296184369,0.0143898739351671,0.165645260010717,-0.0949773984156671,0.134741621799015,-0.0216966327292403,-0.00499679013695602,0.168937652140823,-0.317287068349618,0.13773185568035,-0.138530209371291,0.112246975217774
"miR200b",0.0282517202686119,-0.067909493677382,-0.048925033133681,-0.048925033133681,-0.0433161983091384,-0.097785529875582,-0.0959970394009468,-0.0449466434885237,0.0421214208852752,0.0958763948484664,-0.0333314296408002,0.155640052412211,0.00263222399744231,0.0688545840209839,0.0433981670742462
"SNAI2",0.0301322130950294,-0.0151655652288941,-0.0219408399781775,-0.0219408399781775,-0.215911015085593,-0.159422101165364,0.195643950610787,-0.193020564540125,0.100930233691919,-0.195620855329923,0.0969344244773532,-0.0870369842367438,0.179023797164996,0.014983702593795,0.0372952486680593
"GSC",0.0339259960246118,-0.0865053541285174,-0.0643404410468404,-0.0643404410468404,0.0259005963093945,-0.113585075298672,-0.00847552954333218,-0.0124381747119336,-0.0276699287381463,0.00862885635659527,0.0162420996727857,0.161451261194029,-0.0408882123362794,0.088099784187332,-0.0198513405305966
"miR34a",0.0949366533150954,-0.03033885732019,-0.0974299490942555,-0.0974299490942555,-0.08455043945725,0.195689736505579,-0.0283223941855839,0.0475685177097261,-0.0558729554776227,0.0281870926086834,0.355274701006714,-0.362958243764994,0.26189114298993,0.0296207397130976,0.145971044238324
