"","TWIST2","TWIST1","SNAI2","miR200b","ZEB2","miR101","miR141","TGFbeta","miR200c","miR200a","SNAI1","GSC","ZEB1","FOXC2","miR34a"
"miR101",-0.036455371267944,0.0131686315497187,0.0375798233892686,0.0518619763999741,-0.104487082157414,-0.0148131321297353,-0.00389826771608368,0.0458763597215588,0.0498147460104832,-0.0542153574455005,-0.0271522888370044,-0.0452113233908704,0.00361491784548354,0.00745767228293441,-0.00158836891135966
"SNAI1",-0.000424130553837577,0.00583694681371721,0.0496241891948978,0.078775092053391,-0.0742904137218377,-0.0205170670035903,0.106662782384719,0.0632917323240702,0.0942246964845699,0.0130983067490705,-0.103171648262878,-0.0640169417783591,-0.106037697370684,-0.0234800408775706,-0.0111569003678847
"GSC",-0.0379402124986898,-0.0317867454724308,-0.0623165970821596,-0.0340056567530807,-0.0681703991190502,0.0592734846735463,-0.116165761390809,-0.00687923091212547,-0.0231115286354618,-0.095442079630524,-0.076829473965638,0.00623248200844374,0.116567685516575,0.15480552259287,0.0174795044128064
"ZEB2",-0.088539435479698,-0.0877466838429826,-0.0821537314827203,-0.077757775724579,-0.0616443655508591,-0.0560091494848736,-0.0472180902844935,-0.0430033355931771,-0.0429748196081178,0.00197999462130501,0.0245618060910122,0.0402099119366083,0.0499817255622754,0.0691330642155849,0.0927517670119496
"SNAI2",0.0281175562817046,0.089646482211826,-0.0655901176340674,0.0400349613546052,-0.0480216546642777,0.018858596971406,0.0199035373277855,0.0293964588308166,0.0337300309468639,-0.012471405769065,0.00295606561135727,-0.0275069227038096,-0.0218042195638586,-0.0435436484472555,-0.0153000865847684
"miR200c",0.116106938854226,0.116463400116335,0.105913285370435,0.116927108568256,-0.0405330254969839,0.060632412526612,0.0565502955865074,0.155394044103435,0.0483669724110695,0.0103243091274478,-0.0165452593234071,-0.155526633661112,-0.0559014137737112,-0.116893360696961,-0.134167437170839
"miR200b",0.116106938854226,0.116463400116335,0.105913285370435,0.116927108568256,-0.0405330254969839,0.060632412526612,0.0565502955865074,0.155394044103435,0.0483669724110695,0.0103243091274478,-0.0165452593234071,-0.155526633661112,-0.0559014137737112,-0.116893360696961,-0.134167437170839
"miR141",0.116106938854226,0.116463400116335,0.105913285370435,0.116927108568256,-0.0405330254969839,0.060632412526612,0.0565502955865074,0.155394044103435,0.0483669724110695,0.0103243091274478,-0.0165452593234071,-0.155526633661112,-0.0559014137737112,-0.116893360696961,-0.134167437170839
"TWIST2",-0.0432165965502021,0.127742481063366,-0.0350347850280522,0.00749417496745445,-0.0274652504072922,-0.00257327983211694,0.0306606287546385,0.0114873911389324,0.029095241848197,0.00491391688369846,-0.00394500213640598,-0.0127872830504017,-0.0295137409192134,-0.0863452677255872,-0.0255930830625342
"TWIST1",0.0457057639771827,-0.0165213596732704,0.0502632399150442,0.0111904213226244,0.0194150165174793,0.0158853105970015,-0.0239271226480982,-0.00590994370676122,-0.0217892927768184,0.0147678080537547,-0.00844466506039982,0.00710500305870219,0.0229125588742218,-0.0972957158346159,0.0181881969520928
"miR200a",-0.116106938854226,-0.116463400116335,-0.105913285370435,-0.116927108568256,0.0405330254969839,-0.060632412526612,-0.0565502955865074,-0.155394044103435,-0.0483669724110695,-0.0103243091274478,0.0165452593234071,0.155526633661112,0.0559014137737112,0.116893360696961,0.134167437170839
"ZEB1",-0.126251563299338,-0.0459954804944811,-0.103864884051725,-0.0587228276746365,0.0444931246487308,-0.0202411587917233,-0.05056800750504,-0.0354411569188956,-0.0483822631890599,-0.0121565061317367,-0.0615121652204121,0.0345607423050367,-0.0486454987332741,0.113668650810947,0.0519806481746654
"FOXC2",-0.125086899361665,-0.0446572882488273,-0.104443167955169,-0.0588759811602622,0.0447570034599434,-0.0187089322639406,-0.0518612444418519,-0.0345607423050367,-0.0488215526860474,-0.0131190073616316,-0.0604774432431524,0.0356511280912768,0.05056800750504,0.114712839906343,0.0522380513127454
"TGFbeta",0.0876535007849198,0.0648201188934458,0.0515621059892541,0.0641772371038968,0.0618800600539755,0.0237601587038456,0.0110096935330652,0.0697126571543442,-0.0273353274642961,0.039684242133171,-0.003505904713947,-0.171617864613852,-0.00955538882249847,-0.089689511180474,-0.0554062969608153
"miR34a",-0.209784542743647,-0.101356358040232,-0.0800996070693624,-0.14115992220789,0.111572176390384,-0.0196039081559739,-0.155192024891518,-0.104670340999173,-0.177291067791072,-0.0869422243476353,-0.0168903923083795,0.104088483545148,0.155475591699575,0.0969340437498341,0.0694094009684559
