"","miR200c","miR200a","miR200b","TGFbeta","ZEB1","SNAI2","FOXC2","miR101","TWIST2","miR34a","SNAI1","TWIST1","miR141","GSC","ZEB2"
"miR200b",0.189966820371894,0.189966820371894,0.14210289778955,0.158267198537127,0.0353422954388765,0.0868945115571538,0.0612596731611895,-0.00501862546537503,-0.0174724235279468,-0.0337478627503686,-0.0778680195140382,-0.0922426690675965,-0.0354367119080708,-0.157778647824608,-0.355292918752227
"miR200c",0.16349051092905,0.16349051092905,0.0812819207170099,-0.0679768224113089,0.0195439339781776,-0.00150940527951599,-0.0143786012817053,-0.0621600057188201,0.0483144012787734,-0.118146356167516,0.125629978402299,0.077016293304656,-0.0196439043573245,0.0684749291279853,-0.314286321241101
"miR200a",0.143984786599661,0.143984786599661,0.150981787311282,0.146763161626916,0.0103176978629499,0.0173268067149172,0.0228573830747625,0.0613522432595741,-0.0501451496306729,0.100705075752227,-0.140839847913721,-0.0974135879904338,-0.0100724001733765,-0.146551735034946,-0.284521362780826
"SNAI1",0.0471778463097013,0.0471778463097013,0.0847691826530046,0.0262946707050047,-0.0520006840344733,0.0732694218389396,0.0416492343483254,-0.102963667170055,0.00500434767584949,-0.0402513773227535,-0.071169928448036,0.0152399340946605,0.0522541804298782,-0.0261182255398004,-0.140823369627905
"SNAI2",0.0571245598152427,0.0571245598152427,0.0469082125675863,0.0159441955476706,1.32241609575766e-05,-0.0938531203508856,-0.022352567833397,0.00930367557967521,-0.00794782652727325,0.0118216764276684,-0.0277109233233842,0.0413757687823907,6.0793596605799e-05,-0.0157619994430746,-0.117097067168544
"ZEB1",0.0474858382170033,0.0474858382170033,0.0289422150992321,0.012542165342607,-0.0812676705467803,0.103276946065378,0.0979019259190627,-0.0990701664881013,0.0136376556608659,-0.0308511827743625,0.0942348419183871,0.00576408833449339,-0.0184185339816994,-0.0123450957924118,-0.0857267164248513
"FOXC2",0.0473845527598586,0.0473845527598586,0.0284790641969182,0.0123450957924118,0.0184185339816994,0.103250537946768,0.0981379095698686,-0.0991756329699054,0.0133286631876056,-0.0312622816992381,0.0940796336217982,0.00597915494540204,-0.0188104563234087,-0.0120240685050924,-0.0851263995333497
"TGFbeta",0.0627592624807395,0.0627592624807395,0.0676129914576565,0.0961464179589166,0.0787019447265963,0.0251516997395671,0.0440779446108103,0.0395135091894278,-0.0727370968344184,0.0632567792266457,-0.104717728701683,-0.079580602267537,-0.0785447480361985,-0.195936699948979,-0.0573204890987469
"TWIST2",-0.00943401802672425,-0.00943401802672425,0.0235796495783206,0.0113923501676243,0.0176825667466662,0.124314621868659,0.0712280900938454,-0.122824497896576,-0.0879598121811568,-0.0573452056382752,0.116090719461216,0.0360052100958766,-0.0178461565759523,-0.0113182161491644,0.0354975651748453
"miR34a",-0.120513911970539,-0.120513911970539,-0.0483675255166117,-0.0341065450142091,-0.0779534165331677,-0.141498481818904,-0.112400002541189,0.135617264073322,-0.0152016280731835,0.0956727788117103,-0.123312196803994,-0.0393247942146813,0.0780359859032342,0.0338935815456349,0.0773375464423102
"GSC",-0.16449658507516,-0.16449658507516,-0.0514774736741855,-0.0319459502490008,-0.108048954204182,-0.0369382233494466,-0.161911541276979,-0.0431442555789362,0.00515024023324515,0.0320249283601926,0.0283784715320828,0.120012310871661,0.107876490428945,0.0315541150595507,0.239297524872876
"miR101",-0.0899081724344212,-0.0899081724344212,-0.172041171800442,-0.0406771872678923,0.0845398069069028,-0.0577166675984528,-0.0296309761602879,0.0825639903342056,0.0119375419585868,-0.0207494535309155,-0.00520824828583674,-0.00625094070328886,-0.0845762911862701,0.04049069559844,0.269956913467021
"TWIST1",-0.102227930869225,-0.102227930869225,-0.136358637556988,-0.0435633187694314,0.0569261739410872,-0.0753119121672958,-0.111892396559258,0.0555710677279553,0.0797302478954105,0.0064961879211856,-0.000228658153332534,-0.0901402977132384,-0.0570145885198994,0.0433213660371033,0.282641168182919
"miR141",-0.189966820371894,-0.189966820371894,-0.14210289778955,-0.158267198537127,-0.0353422954388765,-0.0868945115571538,-0.0612596731611895,0.00501862546537503,0.0174724235279468,0.0337478627503686,0.0778680195140382,0.0922426690675965,0.0354367119080708,0.157778647824608,0.355292918752227
"ZEB2",-0.406327975183452,-0.406327975183452,-0.339886277047734,-0.118394195490036,-0.059417732724389,-0.0459040983585973,-0.0202805200309054,0.00182910766511668,0.00500316272058775,0.0384437317714687,0.0426774949332636,0.0503470893507664,0.0589185563902245,0.117369178998434,0.446020621965477
