"","miR200a","miR200b","FOXC2","TWIST1","miR34a","TWIST2","ZEB1","miR141","miR101","SNAI1","SNAI2","GSC","TGFbeta","miR200c","ZEB2"
"miR101",0.100327775646681,0.159627057765718,-0.076596285100375,-0.00429082236786107,-0.0683104954537845,-0.00886642641279371,-0.0997411532044102,-0.100333426038625,0.106538809093962,-0.0052754785017584,-0.120027446403261,-0.00384671532360066,-0.00462610975348156,-0.200953857388777,-0.312399032870914
"miR200b",0.143438564392508,0.0992729354684649,0.150559259394095,0.118723322473599,-0.00752963557349148,0.0660478861619688,-0.00166201959991719,-0.00243771568996458,0.0174116834970874,-0.114242242631628,-0.148680709449966,-0.118789952935676,-0.119696578830058,-0.144921653484341,-0.294687567857321
"TWIST1",0.125930920247359,0.0199600041105533,0.0211416895447983,0.0203391687426117,-0.0392730553338429,0.166695494125689,0.0157832157866124,0.0161449117908438,0.165477479640246,0.00875349211763028,-0.252706552064352,-0.00573296467905633,-0.00567281068483111,-0.127665813541511,-0.282432852242468
"miR200a",0.133867289146169,0.0261795400693124,0.147942480305428,0.145845171141302,0.125078846153038,0.11657399579743,0.0288979402183056,0.0294894316282582,0.0171223939354902,-0.0797652315935302,-0.11279124693593,-0.12892863837697,-0.128526091701862,-0.103712703746881,-0.242261433105062
"TWIST2",0.099907668940932,0.0291188429698293,0.0751796211505332,0.194623825196761,0.00934129777774966,0.169858130020461,-0.0178833379465512,-0.0183916977386338,0.0927639153144714,-0.0145986723127729,-0.208717611238642,-0.000633841524015337,-0.00127048862911021,-0.1204485580811,-0.229755420859933
"GSC",0.109358472432137,0.0287976265524879,-0.15272998025985,-0.108216106500247,0.0201950050175167,-0.0109681594695263,0.08116815304454,0.0815484577796779,0.0391646390624422,0.0195194569823153,0.0362700452356091,-0.0449381339189746,-0.0446283254197476,-0.0301314942314443,-0.146094653684137
"SNAI1",0.020050744890969,0.0444149194003042,-0.0906095801900751,-0.00723237107010189,-0.100761301773637,0.00487219719010519,-0.0968856497668771,-0.0968170202549505,0.109796015764364,-0.0896844010456441,-0.109429919640115,0.0200545094432173,0.0200350806497454,-0.116492000965621,-0.141386716561997
"miR34a",0.100255090177435,0.0407461595315704,-0.0519589282227605,0.0327836083192033,-0.00540338112830917,0.0136963017877013,0.0299366106181663,0.0304523153123529,-0.01513045231003,0.0160289956079852,0.0727161918790841,-0.0465520113773714,-0.0461643086525311,0.0142072597324791,-0.107058857331152
"TGFbeta",0.0533228069669995,0.143688380993387,-0.133953849344656,-0.127897548231022,-0.0864013744543136,-0.15920644091022,0.00503718703154459,0.00483606312227312,-0.0392693966736729,0.0751806051261365,0.151691122796136,-0.0181553786523655,-0.118305407690244,-0.0481213625019871,-0.101300292721443
"FOXC2",0.0163060985974335,0.0407956755679902,0.0569281307981177,-0.0315497512497079,-0.0290537101174095,-0.0317516868950467,-0.0122495518083216,-0.0138268523497512,0.000840244253011104,-0.0550027391000705,-0.0634556691674092,-0.000878615177572865,-0.00239519236249565,-0.0355608649073911,-0.0604042805129617
"ZEB1",-0.0165671256898464,-0.0399265756676322,-0.0560875354406719,0.0320396251967776,0.0284157979926026,0.0329401194845093,-0.0869925268611053,0.0122495518083216,-0.000843799302959556,0.0559104724710301,0.0642700093147557,0.00239519236249565,0.0018692470045073,0.0341121934832018,0.0613493279726469
"SNAI2",-0.0484284490261164,0.186466952014925,-0.00420762412620615,-0.127241754283311,0.0329942770529403,-0.340806518023307,0.0290627180702432,0.028996738440198,-0.315943334226641,-0.03705809741887,0.292293607955854,-0.207911907235973,-0.207659569908011,0.0779050646602752,0.132661694078607
"miR200c",-0.154361412854809,-0.117666849184429,0.120993672996508,0.0902136212905441,-0.0351277304098473,0.043200091057929,-0.0306161592445833,-0.0315001565787065,0.0148368248990072,-0.0982527821941914,-0.128301280571253,-0.0370122160753722,-0.0376727748627152,0.122106231525624,0.283122787446113
"miR141",-0.163932688101147,-0.190760244583581,0.118376893907842,0.117335469958247,0.0974807513166819,0.0937262006933905,-5.61994263604909e-05,0.000426990739516286,0.0145475353374099,-0.0637757711560939,-0.0924118180572165,-0.0471509015166661,-0.0465022877345191,0.163315181263084,0.335548922198372
"ZEB2",-0.383998161926429,-0.303494038409346,-0.0714952467453081,-0.0699182599175051,-0.0657771503254742,-0.0602907739139259,-0.0572585244049392,-0.0568359912965587,-0.00641341938979531,0.044108595206482,0.0565316362274908,0.120752786865723,0.12148349169142,0.33102885206773,0.399160290569583
