"","ZEB2","SNAI1","miR200a","TWIST1","miR200c","miR200b","miR101","FOXC2","GSC","TGFbeta","miR141","ZEB1","TWIST2","SNAI2","miR34a"
"miR101",-0.0870074885317631,0.0384136983228828,0.0981739214616962,0.0125733149467292,-0.00953957419897402,0.0181985383545193,-0.0814393506423582,-0.0371662454062663,-0.0471902415966437,-0.0471814448197828,-0.106956662170744,-0.107124762635492,-0.0448390982265863,0.0245350373907895,-0.0827828069883876
"ZEB2",-0.0863808146325107,-0.0340493712041248,-0.0110484528613395,-0.00461679354342134,-0.00399514420215634,0.0011918974861782,0.00133168174924316,0.00249515854255007,0.00329779728632365,0.00399551890808241,0.0131051781310891,0.0131235924126087,0.0150450665542262,0.0309991042117919,0.0544039863248139
"TWIST2",-0.0761387204733089,-0.11362471731207,-0.0216511590147386,-0.0500848717544378,0.0967158208122865,-0.104261755946357,0.114551288285023,0.0831855696443469,0.0352956459906315,0.0354976753386482,0.11995715238751,0.120139212036232,0.149562583347982,-0.111465853114213,0.114221508849912
"SNAI1",-0.051907034718347,-0.0760858477777558,0.0669979093798473,0.00280893254253768,-0.00533929033721531,0.0179711534540891,-0.0839903442332057,-0.0376397492630627,-0.0316980442209489,-0.031297969677823,-0.077596617816746,-0.0776504085152832,-0.0541348842415563,0.0418797046867744,-0.0946692338969893
"miR200c",-0.0115750013628854,0.0820197386745701,0.0151443904038442,0.0203786799769206,-0.00366467689441581,-0.0300725795985107,-0.000938283338662447,0.0149904840285801,-0.0997567837414026,-0.0993924610829223,-0.0183083107947769,-0.0182805412450139,-0.0191247042202156,-0.0804668369965027,-0.115164232690105
"miR200b",-0.0101196366196988,0.0163445836742845,0.00654240190017655,0.0173662482184164,0.00360842425541226,-0.0642315416256674,0.00597733035288158,0.0444670479741944,-0.0891416092127553,-0.0891690827247063,-0.00368815192816483,-0.00335028907271459,0.0194216719630602,-0.0285855292173191,0.0090858010802384
"miR200a",-0.00410757625167123,0.0704970305612807,0.000250252826551097,0.0189310382120175,0.00439590103018459,-0.0040594804399997,8.79626959945439e-05,0.0161521535974365,-0.0892423384272146,-0.0892530889318911,0.00473716904106956,0.00450483047471885,-0.0128453324624822,-0.0706932800539358,-0.0878065623668209
"miR34a",-0.00332823971776098,-0.120090342455077,-0.118522585651507,0.0121411695549714,0.121396986349938,-0.0409806958012798,0.0473633786990203,0.107687174599691,0.0398781074313109,0.0401080594386888,0.133290820255037,0.133296953979671,0.0794766491384636,0.0421092333729975,0.126470045017807
"FOXC2",0.00136531362107021,-0.100711598838912,-0.0110671342894437,-0.00291780898251628,0.00983693062371068,-0.00289949649878748,0.00942676980807586,0.0878406404449462,0.00505077655576561,0.00459691039093471,0.0182944771265618,0.018652226403054,0.0206944685171262,0.0821139246882785,0.0275195825782402
"ZEB1",0.00150539743443,-0.100340039583441,-0.0112992226798153,-0.00269079422655714,0.00999262084069306,-0.00307848310247055,0.00975027935338497,0.0877774029960374,0.00459691039093471,0.00452268939151056,0.018652226403054,-0.0815192081836233,0.0209110273445394,0.0821349433949274,0.0278844235478667
"miR141",0.0101196366196988,-0.0163445836742845,-0.00654240190017655,-0.0173662482184164,-0.00360842425541226,0.0642315416256674,-0.00597733035288158,-0.0444670479741944,0.0891416092127553,0.0891690827247063,0.00368815192816483,0.00335028907271459,-0.0194216719630602,0.0285855292173191,-0.0090858010802384
"TWIST1",0.0189372046383486,0.0279401793554768,0.0423284358502267,0.00138466106046189,-0.0789043144945792,0.0805063694221028,-0.0672457303615795,-0.136011198203437,-0.0366839167359349,-0.0368830932945917,-0.117044784083452,-0.117392997512616,-0.129029040418736,0.0740735766646314,-0.0953398873703356
"SNAI2",0.0219687736098349,0.0140230579388494,-0.0153563152770789,0.0803358534879303,-0.00669513643977312,0.0208162862487332,-0.0444529967729197,-0.0267761166613358,-0.000123482719144522,-0.000119205815280767,0.00806108984227538,0.00825835888845107,-0.0884705527656425,-0.0208539413972715,-0.00245264098328074
"GSC",0.0242400624270215,0.0365333920011141,0.0228507415887909,-0.110147571078084,-0.057459638903999,0.0596699416658082,-0.0426400944066898,-0.0472532425765295,-0.0154490823674692,-0.0156036711298126,-0.0835086040891108,-0.0838943136719057,-0.00914810987544702,-0.0432693265941086,-0.0619876268652474
"TGFbeta",0.0660840004710279,-0.0223802133728088,-0.0356102754209616,-0.0281831594360322,-0.0349603588208921,0.100097080209957,-0.00618838160981204,-0.023537049933753,0.0175445928723303,-0.0822731137805703,0.000669028485493281,0.000860111887593629,-0.0426567832800989,0.0376122762894613,0.0599141296979721
