"","ZEB2","miR101","SNAI2","TWIST2","miR200a","miR200b","TWIST1","GSC","miR34a","ZEB1","miR141","TGFbeta","miR200c","FOXC2","SNAI1"
"TWIST2",-0.133321107789021,0.126002320639297,0.0953928729353232,0.0993459202688706,0.131506820435357,0.0264765729080386,0.259030741236323,0.0914376449785898,-0.00128997708982401,-0.12991771774937,-0.129941464660073,-0.0916249607046221,-0.131506820435357,-0.00994753928133203,-0.165256759696091
"miR101",-0.0981638513621355,0.0763943039954757,0.0287572718671533,0.0217503757121662,0.0443463914636857,-0.0524312935631954,0.0389523425363329,0.00910681881466461,-0.0128810260695714,0.00867295994627422,0.00864875075155387,-0.00878661613692574,-0.0443463914636857,-0.0216808525349199,-0.0210619063655167
"ZEB2",-0.0818238146370826,-0.0339582762346116,-0.0326771679237709,-0.013357477027839,-0.00864388651565363,-0.00749269002149481,-0.00667629885609461,-0.00522959910697717,-0.00156729945148389,0.00265562780961061,0.00266110232573803,0.0051788557163038,0.00864388651565363,0.0298032203794229,0.0351557154628773
"TWIST1",-0.0758601593208618,0.0340793376599725,-0.0332743607246429,-0.084735438102151,0.103500909792378,0.00980961374573845,0.0222479495174128,0.06966416549122,0.0317678081737319,-0.12208425627731,-0.1220845155576,-0.0695211326605067,-0.103500909792378,0.0511388028855284,-0.0326811452325245
"SNAI2",-0.074905960828705,0.0893262315276462,-0.0168916423021625,0.102401292943768,0.0435321361236103,-0.00404206404856827,0.14385070647523,0.0233207206578459,-0.0280985839596946,-0.013510611489704,-0.0134178381012648,-0.023217219584343,-0.0435321361236103,-0.0311929267318788,-0.0955537231092944
"GSC",-0.0649594938130548,0.109584994003212,0.0618173157253058,0.0388714281025438,0.0547168848041202,0.00378876956000322,-0.0493539565827061,0.0414720975102195,-0.0191209400272527,-0.0463165076902046,-0.0463258433361576,-0.041171122654555,-0.0547168848041202,-0.170083611947251,-0.0657678456274111
"miR200a",-0.0288679061281604,0.0650666000576,0.0608428694838194,0.073999846634123,0.0121783532854422,0.0124955262566868,0.0258274257708979,0.10382945667119,-0.0938642927138986,0.00331781404357472,0.0032465388658496,-0.10364669809169,-0.0121783532854422,-0.065946072260442,-0.0692053973160888
"miR200b",-0.0246908078778537,0.0760540238626926,0.0711603907730115,0.0785386626227999,0.0129338380597366,-0.0103536571340598,0.0286614324684648,0.111473747118393,-0.0908967558226946,-0.00361613242002987,-0.00366426630628579,-0.111216929506678,-0.0129338380597366,-0.077835025994518,-0.0810867653898696
"miR34a",-0.00571075522832526,0.0687597124411908,0.0796393653604603,-0.00854406344366828,0.0745176542249643,0.0702690241468209,-0.0139665246889473,0.0697178271768811,-0.00428263287740102,-0.0524939727695041,-0.0525284159924461,-0.0697633321915337,-0.0745176542249643,-0.0939957753396775,-0.0450166012539292
"FOXC2",-0.000157353277093124,0.119122622357046,0.116221416527544,0.0159935741827739,0.00537708874957075,0.017649864475961,0.0107902264764055,0.0079289295061728,-0.0178647210832894,-0.00553031400636389,-0.00551856701519549,-0.00826656165318115,-0.00537708874957075,-0.133430070904587,-0.122482466537863
"ZEB1",0.000352522902894608,-0.119415321469469,-0.116247824646155,-0.0161414680161292,-0.00527348819626276,-0.0177993275161499,-0.0107842524038803,-0.00826656165318115,0.0179490299372113,-0.0943814623466911,0.00553031400636389,0.00805413603413963,0.00527348819626276,0.13368764783063,0.122448367745431
"miR200c",0.0277945449268055,-0.147206265337522,-0.141061739060011,-0.0690342989314089,-0.0135135316102894,-0.0625186345885391,-0.0358421296070581,-0.12393949837801,0.0112937268532021,0.0011138081204115,0.00117490112989017,0.124048197925295,0.0135135316102894,0.134662071933174,0.154225669170405
"miR141",0.0288679061281604,-0.0650666000576,-0.0608428694838194,-0.073999846634123,-0.0121783532854422,-0.0124955262566868,-0.0258274257708979,-0.10382945667119,0.0938642927138986,-0.00331781404357472,-0.0032465388658496,0.10364669809169,0.0121783532854422,0.065946072260442,0.0692053973160888
"SNAI1",0.0996208910286691,-0.110306529477245,-0.0586860185187449,-0.050897939347673,-0.0754609611320187,-0.00113256305094721,-0.0470773472973853,-0.0453341005532139,0.042277764270552,0.0611362040180815,0.0611161097916165,0.0456088792037454,0.0754609611320187,0.0499845939190764,-0.0422937809811506
"TGFbeta",0.113609832585017,-0.129189055715141,-0.114746752877236,-0.140597549016309,-0.0860822481319221,-0.0844157581571928,-0.0669155596155941,-0.244614709011599,0.0850199946075566,0.0648884145565021,0.0648943761076349,0.14490508779459,0.0860822481319221,0.117816126749022,0.143218556476213
