"","ZEB2","SNAI1","FOXC2","miR101","SNAI2","ZEB1","miR141","miR200b","miR34a","GSC","TWIST2","TGFbeta","miR200c","miR200a","TWIST1"
"TWIST1",-0.0957895112240583,-0.250815839528232,-0.360030188177115,-0.126010864709332,0.000531379936876781,-0.0816523759882618,-0.0816515981473925,0.00975957388070386,0.0535183276522962,-0.0335221732413655,-0.0711235387236271,0.0334165695626146,-0.086597262238674,-0.0101107724188231,0.225355659098099
"ZEB2",-0.0899144341397077,-0.0470060262264813,-0.0378250445354018,-0.016596798491791,-0.0136732082582604,-0.00796014953270671,-0.00792680475265784,-0.00668181501882448,-0.00319175131434785,-0.00181121831610445,-0.00174400628440152,0.00176554926449842,0.00273614349401564,0.00868373271232901,0.0135587279638529
"GSC",-0.0640521910382789,-0.129475256206936,-0.153944560371099,-0.149475667004186,0.0741837725868942,-0.0675964557250356,-0.0676450993539486,-0.0162860257398344,0.0269714620680369,-0.0232882305802181,0.0237193188490998,0.023230811897062,-0.0663899155419158,-0.00323612841132139,0.00830539088720845
"miR141",-0.0209524043131277,-0.170013680507717,-0.155922697422697,-0.0842064158419517,-0.000370425542331055,-0.00885498531877054,-0.00884572880218286,0.0604507165809553,0.111589424829708,0.0877121445769729,-0.0449189371546673,-0.08750788498812,-0.0149848135714403,-0.00576835026143568,0.0722778997157682
"miR200c",-0.0121378106063641,-0.197499580569256,-0.16233788624087,-0.0772124592961188,-0.0433590764485995,-0.0199311707345282,-0.0199302450828694,0.0180174590687014,0.00607204529559645,0.0786966460036357,-0.00929069304775298,-0.0787312865187043,-0.0161856059854446,0.00512157387252376,0.0667131512187277
"miR101",-0.00888708334778543,0.285403329232928,0.288868692274197,0.241655118822212,-0.0981242505979342,0.122702489270626,0.122723970668758,0.0950267142750267,-0.0390859109528768,0.0261912842552428,-0.0158900741513684,-0.0262176745858257,0.058700719870948,-0.0664705479173994,-0.247497308110058
"SNAI2",-0.00651123882249188,-0.00376020556892547,0.0167577825518725,-0.00734244598860432,-0.0897278766002502,-0.00691351179962685,-0.00685021154542107,-0.00410428308164813,-0.00402722084191798,-0.00175285661153992,0.00791705737679109,0.00166646315349207,-0.0066062984651216,0.000775685253856835,-0.0755224756478814
"ZEB1",-0.00498808433965364,0.0505538650751487,0.0610504034264458,-0.00742303943612863,0.0712908562720902,-0.0855957494676889,0.014441845836407,0.0102720938590814,0.0110503373368097,0.00306853630228737,-0.0174014787566972,-0.00317091009459654,0.00760122071545216,-0.00916841543379916,0.00596146397303836
"TWIST2",0.00334718814210302,0.272220956677436,0.272845626732963,0.172424697051537,-0.101376345895563,0.0117425678306103,0.011737290739343,0.0326625512749103,-0.0925569243270983,-0.00672413094592609,-0.0645462419506966,0.00651870614668215,0.00788941177865339,-0.00507427372612442,-0.291827008602225
"FOXC2",0.00489716313309666,-0.05048919495157,-0.0611722511938554,0.00743133455267501,-0.0710596504989521,-0.014441845836407,-0.0144514570109993,-0.0102112015093748,-0.0109585675223638,-0.00334528396376963,0.0171928428132137,0.00306853630228737,-0.00760758722990125,0.00917246685208495,-0.00582704734122045
"miR200b",0.0209524043131277,0.170013680507717,0.155922697422697,0.0842064158419517,0.000370425542331055,0.00885498531877054,0.00884572880218286,-0.0604507165809553,-0.111589424829708,-0.0877121445769729,0.0449189371546673,0.08750788498812,0.0149848135714403,0.00576835026143568,-0.0722778997157682
"miR200a",0.0209524043131277,0.170013680507717,0.155922697422697,0.0842064158419517,0.000370425542331055,0.00885498531877054,0.00884572880218286,-0.0604507165809553,-0.111589424829708,-0.0877121445769729,0.0449189371546673,0.08750788498812,0.0149848135714403,0.00576835026143568,-0.0722778997157682
"miR34a",0.080166657154655,0.104194910923551,0.109720649229842,0.0265818820129695,0.0570772884389451,-0.0126815242018656,-0.0127112491750896,-0.0716068537206858,-0.0495335550402018,0.00663492711040083,-0.00356573583602274,-0.00672169000500515,-0.0158945400040229,0.0784193182995555,-0.0364000346659917
"TGFbeta",0.0832679428060775,0.263919941821288,0.224780467508561,0.142523396537482,-0.0246132463292574,0.104249954240393,0.104182494582837,-0.0531985139196773,-0.117396824231387,0.0222935103902637,0.0575452726654311,-0.122237047849127,0.0949356348063344,-0.00952159880989126,-0.135145661205609
"SNAI1",0.0983633043138451,0.216683611939344,0.321605356229181,0.265409381997785,-0.117927369202191,0.137958719413212,0.137922549805575,0.0538728703900022,-0.116370770354786,0.0348838650154373,-0.00354364147543431,-0.034890605617254,0.121771987412904,-0.0231709505052629,-0.278283030573976
