"","miR200b","miR200a","miR200c","GSC","miR34a","miR141","TWIST1","SNAI2","TWIST2","ZEB2","ZEB1","miR101","FOXC2","TGFbeta","SNAI1"
"TWIST1",-0.00298081727755562,0.0118234276598353,0.251044718941192,-0.0912621326504025,-0.28712393586886,-0.223475855374773,0.215498240081528,0.0343191958596232,0.197413311813212,-0.293393659624307,0.222894808245394,0.204946548145211,0.157863760273784,0.0900964819178606,0.455452835056063
"miR200c",0.0225264274408896,0.0831190387114621,0.176139182943427,-0.13239802443374,-0.237437430158837,-0.0882401225510112,0.084758851076133,0.0610187507818639,0.131791392855242,-0.26516281900431,0.0869960467216273,0.20075534631091,0.241770057856652,0.130404403066515,0.351245155951978
"SNAI1",0.0205312328261835,-0.00329303985151969,0.223491021582616,-0.0756269924086647,-0.378753529278371,-0.212008843023934,0.349772899620956,-0.0691656830766987,0.130277266433659,-0.241359044036309,0.214307313389587,0.265087063849697,0.263037979475275,0.0780127689458193,0.41854513467822
"TWIST2",0.0571880670248711,0.0305457021963889,0.118850775852864,-0.0116172522065019,-0.111999718039499,-0.0864174140208732,0.051963894527726,-0.0943988295922391,-0.0482114039932634,-0.15120828446713,0.0852802008527715,0.0291775395279513,0.0958805901260253,0.0101543786361284,0.161298003112168
"miR141",0.154585515377088,0.125788252266197,-0.00160679639273462,0.20233297184719,0.276095342607471,0.120627757316933,-0.0955518112591774,-0.070710180861636,-0.152797725712045,-0.116200565691594,-0.119477172305085,-0.227750576490058,-0.278623592834854,-0.200284403456063,-0.398964265410406
"ZEB1",-0.0221888320875655,-0.00741900953428471,0.105139303997569,-0.0477112244032732,-0.168544779065118,-0.0965763089268605,0.0641922653416382,0.0934547534245556,0.172594424288442,-0.116142999557739,0.00307829145256316,0.19440705116541,0.239681681310194,0.0553111988098251,0.309502970182504
"GSC",0.088290747241044,0.100465389922294,-0.00516602996302221,0.0698989005415095,0.144542837086491,0.10551243629239,-0.0590574463863114,0.0448873432806752,-0.045179238810197,-0.0953925755550233,-0.102757438036682,-0.143270773664323,-0.256325398166904,-0.0663231678223247,-0.23738581326669
"TGFbeta",-0.107010580674179,-0.0577184379092734,0.130602541535113,-0.271225497784769,-0.329382643436764,-0.179797853451327,0.157374828504181,0.00512275658203801,0.156106505579654,-0.0834907870101688,0.181623029395526,0.214516003529097,0.273779080450492,0.173001648007392,0.437768619759299
"SNAI2",-0.00849929117759774,-0.00960086211964795,0.0825713845251898,-0.0358546929177992,-0.128648275835416,-0.0888548617793231,0.0289314383921957,-0.0941070463375496,0.0604495901194038,-0.0770507513767134,0.093864289833058,0.100950797599289,0.144184344945793,0.0417439895381898,0.203914892019636
"miR101",-0.0997091697870253,-0.113549555349716,0.108098693233131,-0.116921829351159,-0.297176197701666,-0.210905792517276,0.315463902249577,-0.0482219491686063,0.146524652200709,-0.00642615996235049,0.210149169938622,0.266375031680812,0.277640328162718,0.115431655350912,0.497491646872374
"ZEB2",-0.218411279193441,-0.211746877234455,-0.150061598683759,-0.0960527975642104,-0.0925180038067625,-0.0649279459753527,0.0266339821872597,0.0313040061701816,0.0566613608566938,0.0603633949674307,0.0667141312827468,0.0753955383678509,0.0900077797336162,0.0980114924442023,0.12403541292148
"FOXC2",0.0249013094835872,0.0108806570724693,-0.107304497684302,0.0547516849113819,0.170072037684392,0.101767411115005,-0.0617279604249765,-0.0936697909618099,-0.167080097073336,0.113928016809076,-0.0965763089268605,-0.190952727632165,-0.23412141293663,-0.0477112244032732,-0.30538759868204
"miR34a",0.0618403428671762,0.0884959146566645,-0.25687914958686,0.138354877178991,0.295667796645802,0.228419477211037,-0.141542835192697,-0.0218001924980314,-0.26866907901997,0.200464524277181,-0.227860836444416,-0.198335881548088,-0.280267969106593,-0.13722453261502,-0.430836794882493
"miR200b",-0.0225264274408896,-0.0831190387114621,-0.176139182943427,0.13239802443374,0.237437430158837,0.0882401225510112,-0.084758851076133,-0.0610187507818639,-0.131791392855242,0.26516281900431,-0.0869960467216273,-0.20075534631091,-0.241770057856652,-0.130404403066515,-0.351245155951978
"miR200a",-0.0225264274408896,-0.0831190387114621,-0.176139182943427,0.13239802443374,0.237437430158837,0.0882401225510112,-0.084758851076133,-0.0610187507818639,-0.131791392855242,0.26516281900431,-0.0869960467216273,-0.20075534631091,-0.241770057856652,-0.130404403066515,-0.351245155951978
