"","miR200c","miR200a","miR141","ZEB1","TGFbeta","GSC","miR101","SNAI1","FOXC2","TWIST1","miR34a","TWIST2","SNAI2","ZEB2","miR200b"
"miR141",0.0149983448980232,0.0149983448980232,0.236691401015937,0.236620125838212,0.153777016753108,0.153735209234921,0.19378416029096,0.166875858046564,0.073024859213236,-0.0928286511518717,-0.109362350671904,-0.176146611868352,-0.220953348273991,-0.273403668695587,0.0379088840608953
"TWIST1",-0.0277730886663763,-0.0277730886663763,0.199683820889534,0.199733343424881,0.0358524917247245,0.035607865481542,0.0181679780329146,-0.148636520744718,-0.293462286373851,0.197431364709798,-0.181859174913588,-0.212362311062923,-0.152085658894244,-0.163680457716079,0.0642271632866931
"miR200b",0.207630636345862,0.207630636345862,-0.247853821967423,-0.247933428010077,0.134162772629319,0.134388533227524,0.0773968414902202,0.0441087588662844,-0.00172623179351519,-0.0804750976490722,0.218549921881539,0.0409906116255483,-0.110236303481207,-0.160219111001717,-0.140836660787895
"miR200a",0.207630636345862,0.207630636345862,-0.247853821967423,-0.247933428010077,0.134162772629319,0.134388533227524,0.0773968414902202,0.0441087588662844,-0.00172623179351519,-0.0804750976490722,0.218549921881539,0.0409906116255483,-0.110236303481207,-0.160219111001717,-0.140836660787895
"ZEB1",-0.19097281796062,-0.19097281796062,0.291164937059945,0.191151904021192,0.0226316659943807,0.022506258098802,0.159384733368793,0.168662018152403,0.139741676040697,-0.0142083306482806,-0.230620870701141,-0.242224371396318,-0.151417810033562,-0.143097039236447,0.213639360187158
"TGFbeta",0.0780410032471849,0.0780410032471849,-0.0600529863155057,-0.0601286038851382,0.120814733405503,0.220922818841394,0.126404825249665,0.0852876699078469,0.0253638626729711,-0.0643925535991559,0.134706084105035,-0.0971579635308625,-0.166843076732177,-0.0874977317995297,0.0708191603936349
"SNAI1",0.0344250525901922,0.0344250525901922,0.0231157659448356,0.0230690855110476,0.0212243396805226,0.0213357578634943,0.180343334362508,0.0785840393684365,0.203570540974289,-0.19694775912676,0.144467416467276,0.0293481877562946,-0.0816533075156466,-0.0780965232316078,0.00390083324418326
"GSC",0.0985504896543852,0.0985504896543852,-0.146044436130342,-0.146042962080981,-0.00139795988075694,-0.00135694653564542,-0.162946222690952,-0.106662244241242,-0.132630670843896,-0.0221676555986622,0.0283091374895764,0.0731986957806186,0.1182941594011,-0.0359862300255042,-0.123816243845446
"SNAI2",-0.0565129712861909,-0.0565129712861909,0.0452276579349775,0.0452192848854794,-0.210716975031411,-0.210700722796729,-0.206594409949307,0.011459135137919,0.0633938293381776,-0.126156008662351,-0.0238779553398491,0.20380203590094,0.122697882180719,0.0677972365492662,-0.163761080390291
"ZEB2",-0.168138969326826,-0.168138969326826,-0.0751023596189062,-0.0750660287391515,-0.0711601864983549,-0.0711297404639509,-0.0656513498034085,-0.0584907893820643,-0.0196738967276518,0.0382578682085603,0.0442186252117925,0.0606670625098015,0.0729191831520952,0.106521331103853,0.159235115415627
"miR200c",-0.16767396719012,-0.16767396719012,0.202121067054649,0.202078487078346,0.0981798683896392,0.0981977858974333,0.170735821474653,0.14569291423129,0.0646078118204425,-0.0775248256880895,-0.0911288199079832,-0.154117324860853,-0.196159679862137,0.128888504759582,0.185222897974466
"FOXC2",0.191081048706255,0.191081048706255,-0.291155325885353,-0.291164937059945,-0.022506258098802,-0.0221963007179418,-0.159163135255339,-0.168607930412683,-0.139672269084577,0.0141097584516141,0.230670859136653,0.242100246214752,0.151319183794671,0.143019741402859,-0.213674419418808
"miR34a",0.0984345618711636,0.0984345618711636,-0.212793824923099,-0.212759853525129,-0.0444386280191262,-0.0444016172738754,-0.189525831105644,-0.222851049605025,-0.170128278166993,0.0366222675295972,0.0212900230259751,0.249598301009159,0.168840264273903,0.164994495120112,-0.116490302540588
"TWIST2",0.00506749140969052,0.00506749140969052,-0.229257074069869,-0.229252676493813,-0.0213259690032303,-0.0212382531798617,-0.0461732783282071,-0.124504076109635,-0.0548076443199601,0.0314453610507169,0.0733404025220178,-0.0361452567617154,-0.038941118588264,0.224120528970781,0.012639491103721
"miR101",-0.0117659284127956,-0.0117659284127956,-0.205457734712715,-0.205383061281113,-0.0403310580149266,-0.0403416141471597,-0.237949818655903,-0.239821964736344,-0.241888604914124,0.209961634713456,0.0264371013076894,0.0647221883033453,0.136250353522441,0.232879871769318,-0.01701386777224
