"","miR200b","miR200a","SNAI2","SNAI1","miR34a","miR101","ZEB1","miR141","TWIST2","FOXC2","TWIST1","miR200c","ZEB2","GSC","TGFbeta"
"miR200b",0.245254795572484,0.247645635228577,0.114674866662096,0.144562573261278,0.0683581493581986,0.0140698964812012,-0.168943069217416,-0.169108760864335,-0.020561956617311,-0.0991419715608187,-0.139671553446118,-0.0808086186961073,-0.338343795430989,-0.244579490604093,-0.245615122554593
"miR141",0.245254795572484,0.247645635228577,0.114674866662096,0.144562573261278,0.0683581493581986,0.0140698964812012,-0.168943069217416,-0.169108760864335,-0.020561956617311,-0.0991419715608187,-0.139671553446118,-0.0808086186961073,-0.338343795430989,-0.244579490604093,-0.245615122554593
"miR200a",0.0565239773324316,0.00934536027096517,0.182866578267767,0.0738312953240777,-0.211609565584466,-0.0554901078423329,0.225483665580306,0.225439234300685,-0.193252331467962,-0.0717884349576326,-0.0414542100056567,-0.23660756702064,-0.24952853231841,-0.2157661510984,-0.21613286275792
"miR200c",-0.019652227774402,0.00951960504860123,-0.062394086440963,-0.0981605661753367,-0.0697805565985934,-0.0186069116003283,0.150457597962127,0.150278021540326,-0.00978328184076419,0.0538011404580405,0.0893629123475654,-0.156589333937365,-0.163959767218458,0.0433078563408615,0.0436052869702438
"miR101",0.178822959132356,0.18258790752689,0.0485474075305328,0.0629383535709497,0.123150103179642,-0.0428430167057948,-0.206595353786983,-0.206839832556201,0.0741273385343461,-0.0298409555901708,-0.0721331222564533,0.0252841494241564,-0.16379031144443,-0.0689364050865426,-0.0693498535990076
"SNAI1",-0.0103736945530634,0.00576343038552191,-0.030793321317963,-0.115256880209874,-0.0961586556413727,0.0555158970737494,0.113708746102753,0.113608893254319,-0.0425622292092566,-0.016250873625606,0.0210678617049812,-0.123520138117125,-0.137703970999974,-0.0422431659565783,-0.0422118419834296
"FOXC2",0.225175128095132,0.243490508011527,-0.102789779444509,0.106472136710779,0.178261638155768,0.104897608556853,-0.193178273408107,-0.19331816939384,0.191133819035276,-0.0856638939717284,-0.12126112135608,0.148921995115279,-0.112005473960823,-0.0327075740997855,-0.0334824675519358
"SNAI2",0.196770674941504,5.07607326351605e-05,0.0884471745434777,0.0297104421811846,-0.0443140850907823,-0.180042786033752,0.0522943886836909,0.052227069365726,-0.210706441005523,-0.0675977710692983,0.0994937570924972,-0.0529138524309391,-0.0538077893906,-0.219362940333086,-0.219459598360406
"miR34a",0.0182969512592198,0.133544067666988,-0.0996872369862339,0.0775063278018753,0.0245541869534109,0.0914848899037553,-0.128232735643748,-0.128162433722949,0.207483610992582,-0.026224280034084,-0.121553710992314,0.100467683290776,-0.037525221984272,0.00967413914565666,0.00938836765363824
"TWIST2",0.0499215426318014,0.00192871309815381,0.155366157215813,0.0111046088779687,0.00993403887817182,-0.0664866812801274,-0.0579481785355486,-0.057892769077242,-0.132226139990741,0.0656612132467853,-0.0951313334476186,0.0549444279946461,0.0514010614383954,0.00175999664618453,0.0016394581276199
"ZEB1",-0.225367031257844,-0.243624204814958,0.102480966139129,-0.106529751911786,-0.178174344917637,-0.104661790243605,0.0931802784909924,0.193178273408107,-0.19069277849652,0.0856808601165576,0.121195406558302,-0.148636659513151,0.112166288993919,0.0334824675519358,0.0339572260137696
"TWIST1",-0.0815012445105176,-0.0289829814192166,-0.187770557039339,-0.0234734777062575,0.00234531047703946,0.115796850662662,-0.0614947424629368,-0.061319728267341,0.142744353697092,-0.0753483755763487,-0.0919541470336983,0.0826755828151435,0.112757481832077,0.0638404232615263,0.063839086506099
"TGFbeta",-0.113809659660968,-0.000564799175048913,-0.156841712084201,-0.0735908508719755,0.166035045869256,0.0436148702031242,-0.146483412045344,-0.146639981204043,0.191588992760981,0.0607423005447888,0.027096073672527,0.153382066028198,0.161797196153386,0.262264411051927,0.162608025945132
"GSC",-0.0119526530600453,0.00730494331425646,-0.0959428080597693,0.0065667528614877,0.129467272811909,0.00410758737062848,-0.194707184801648,-0.194704236702926,0.115930758699142,0.0351698772367702,0.0697307212286143,0.20119735617857,0.209691498746793,0.0849779187886286,0.085093387129481
"ZEB2",-0.323482469961188,-0.307009804414092,-0.151870718348927,-0.134285135662558,0.00553235141675083,0.00920985217250837,0.0379805466482892,0.0384478712522577,0.079086081198653,0.113421917966864,0.126098152180924,0.27750077028867,0.279512430967417,0.283857015179395,0.2849048661968
