"","miR200c","miR200a","SNAI1","SNAI2","TWIST2","miR141","TWIST1","miR34a","FOXC2","miR101","ZEB1","ZEB2","miR200b","GSC","TGFbeta"
"GSC",0.166550725368108,-0.0228395694337732,0.00693593337155249,0.04495402863584,0.0781526667733076,0.178600136553276,-0.0622039946356113,0.119094699360918,-0.146321543331581,0.0673510009067564,-0.178872344335274,-0.151673488281013,0.0314170610418309,-0.0551722392838605,-0.0553192563517218
"TWIST2",0.00846064841825551,0.131361819549878,-0.0841945387932919,-0.123711329809014,-0.121628913296624,-0.123822776861114,0.158587638585598,-0.0181564816960249,0.121804520493339,-0.0224924597375171,0.123853999651113,-0.140721544190384,-0.129486322475025,-0.0683915429950306,-0.0683841861840384
"ZEB1",-0.245319444239251,0.335131267170325,-0.0912191587494625,0.196367502273689,-0.0929706461095361,-0.357755174437041,0.00138345267505839,-0.308730912388771,0.0991568442616937,0.146351364049732,0.258588286375806,-0.106697673693189,-0.281596210799795,-0.0251502571397932,-0.0252910211042183
"TGFbeta",0.140787072769574,-0.0436986678972934,-0.0635177166704282,-0.12141444408154,-0.0464823344395402,0.175662518020478,-0.0365025575975762,0.187107960354974,-0.0293041444890546,-0.0290905364957836,-0.176157326764504,-0.0974490215256249,-0.0704329674794867,-0.0376192975674107,-0.137582193611806
"miR34a",0.121794320704782,-0.113124072896926,0.024831345811069,-0.204480989727583,-0.0400106433381113,0.134177891429768,0.00593449079725137,0.0580701833666465,-0.0622904235264154,-0.133881227616553,-0.134557238707102,-0.0101866622146826,-0.024970245153266,-0.0379915111223453,-0.0378452883419282
"SNAI2",-0.130167972890719,0.0947240561159043,-0.0523419794365085,0.0803717122173876,0.139909709027938,-0.221396817933875,0.132450734267933,-0.118883318581704,0.0618952055617179,0.21329589538921,0.222077714319062,0.0326491372853023,0.120301947053055,0.210609153720913,0.210717787079052
"SNAI1",-0.0804505639629624,0.0328414729140876,-0.0929366419443927,-0.0233915250297978,-0.0559479837590208,-0.112068931831613,-0.0240239984474003,-0.11051644891054,-0.0951740069474621,-0.0639204816889541,0.112199389732662,0.0357651369431674,-0.0378672735799301,0.0120922175307196,0.0120474123539374
"ZEB2",-0.194816741715502,-0.155349243230818,-0.117017842993189,-0.107722916169821,-0.0594810626704622,-0.0480089387966082,-0.018145603419159,-0.00654201625699854,-0.00543748799340874,0.00503414594858264,0.0480392974769512,0.0500084173766892,0.141419796672789,0.172716751011238,0.17329268849538
"TWIST1",-0.0698346920758504,-0.0186855751431762,-0.0131022107738436,-0.11484355303959,-0.105679067149128,-0.0583747793408933,0.00366807494144105,0.00896416922327194,0.185447665156103,-0.0341446069298662,0.0582858462015016,0.0872103817953482,-0.0228435723661525,0.0194740292326928,0.0196143885525516
"FOXC2",0.2447516669052,-0.334072689449653,0.0910945217840199,-0.19573855789781,0.0928491618892799,0.35625476329235,-0.00132072491354336,0.307749796079857,-0.0989671319149674,-0.145679459609475,-0.357755174437041,0.106371601222768,0.280972525520982,0.0250949076074967,0.0251502571397932
"miR200b",-0.186115883479499,0.0555435376164716,-0.134428926835051,-0.05012615983594,-0.0797979954911006,-0.239365457236049,-0.0243347995166021,-0.122483255181865,0.00754254601724034,0.042267918769825,0.239757007887708,0.125744124979665,-0.0719549155911832,0.142127196748662,0.142450906389475
"miR101",-0.207970607025697,0.0672815158161086,-0.029292646167959,-0.00756290100230832,-0.0747946489729932,-0.268434720455422,-0.0230463684719387,-0.175141203182295,-0.0754382024778423,-0.0387397936123497,0.269054271255519,0.13389927823006,-0.0587703258660535,0.0577200415956077,0.0578431964716611
"miR200a",-0.254465842275935,0.0859892950296187,0.0353390918834875,0.165487004163818,-0.0343303709726707,-0.331781050542635,0.0181132541274377,-0.278321727020399,0.0289147849793824,0.0648414233158165,0.332707627853062,0.165579015111096,-0.0264580113743856,-0.0161671377828096,-0.016187444291643
"miR200c",-0.0142902679819349,-0.232082722744459,0.0956605447847026,0.0167040482844065,0.0591560442731205,0.216746384909016,0.0167227470786342,0.119031417960424,-0.010310657499557,-0.0405911061979631,-0.217120348179158,0.249459245777044,0.211623747171758,0.00620350154163802,0.006230975053589
"miR141",-0.0142902679819349,-0.232082722744459,0.0956605447847026,0.0167040482844065,0.0591560442731205,0.216746384909016,0.0167227470786342,0.119031417960424,-0.010310657499557,-0.0405911061979631,-0.217120348179158,0.249459245777044,0.211623747171758,0.00620350154163802,0.006230975053589
