"","ZEB2","TWIST1","miR141","miR200a","SNAI1","miR200b","GSC","miR101","TGFbeta","miR200c","FOXC2","SNAI2","ZEB1","TWIST2","miR34a"
"GSC",-0.138937237380782,-0.129579165464986,0.0718629464107302,0.100752953983922,-0.0241221576833096,0.0085077948250448,0.00723857057044013,0.0919536153696636,-0.00730103704991768,-0.0325964676704788,0.034332470093913,-0.0647712794030501,-0.0717764688482182,0.0261333671119689,-0.0114648726296411
"miR101",-0.11715167713963,-0.021230053973704,0.0240415574570697,0.0709963315057579,-0.0142138679090914,0.0173962642624762,-0.00139316837099006,0.0984294584349437,0.00141252128008417,-0.0441910541532068,-0.0998138806377928,-0.0821943816548466,-0.023934150466409,0.0273809755606383,0.0178001885529211
"ZEB2",-0.0886413170181871,-0.0246787979626053,-0.016740882868792,-0.0129942669295502,-0.00185433708766062,-0.00161429280031009,-0.00115767021943701,-0.00110196689569016,0.00131243756099078,0.00247314450468619,0.00433525966203192,0.00446475189738724,0.0170190878247221,0.0205426334707234,0.041535052761787
"miR34a",-0.0782591257913237,-0.0138341063209323,0.0217110699548809,0.0827020703861747,-0.0114243152087868,0.034871405330757,-0.00496089956377373,-0.0178994806623124,0.00518357076880719,0.0217736374395367,-0.0875560251844607,0.0729544809171873,-0.0217492877775974,0.0187466272652129,0.00934835161983835
"TWIST2",-0.0521492818728972,0.0319791257816531,-0.0612853819865152,-0.00347467581710128,0.0948607752233198,0.0617324749656413,-0.0312104450920626,-0.0849939265383358,0.0310310520855604,-0.0570779818060348,0.0342665542761031,0.0805815295765715,0.0614881102427004,-0.0967758770251005,-0.0222880696027477
"miR200a",-0.0172159608081941,-0.013883319567559,0.0273021555898431,0.022152113561417,0.0785865838704201,-0.0394248525953419,0.119899641647747,0.00293934988055377,-0.120017897199188,0.0057101096030881,0.0900035409565734,-0.083678009866075,-0.0271494230661465,-0.0195274353054281,-0.121731350678219
"ZEB1",-0.0121917768223699,-0.0665900718192504,-0.0182372462348202,-0.00526677939046381,-0.0836950249497789,0.0195499893449811,-0.00890421398834959,-0.00460479603363269,0.0089835536773892,-0.0155728057711211,-0.1088377046562,0.0940296611114736,-0.0819452163077252,0.0127761371717809,0.0207356545649441
"miR200c",-0.0043987472235768,-0.0744734243012703,-0.0121401210988712,-0.00494660639605672,0.0236970788852296,-0.0210722359605172,0.104740596743551,-0.00113184618166976,-0.105095363397875,-0.00789834745328188,0.0438729849930078,-0.020464230070803,0.0122188014898665,0.0202196610585383,0.0210003446375443
"FOXC2",0.0123146833393769,0.067199427216825,0.0178389164433827,0.00508446556760339,0.0837385303056409,-0.0194272820342087,0.00945217435808447,0.00463916151646772,-0.00890421398834959,0.0153233541595248,0.10871585688879,-0.0941218200560111,-0.0182372462348202,-0.0124935543116198,-0.0205588298005239
"TWIST1",0.0156427530316594,-0.0265948698756781,0.066875503764205,0.0132884010343526,-0.00990985331518243,-0.0225252285455879,0.0160451139091506,0.0312527975170049,-0.0159916436920615,0.0468142819775203,0.0108400666877076,0.0145833987384541,-0.0669348789505627,-0.0579070240871507,0.00256065134809115
"TGFbeta",0.024779614349153,0.0569772051509212,-0.076538478316651,-0.0474258260533284,-0.0377627556089135,0.0942371873864361,-0.207280457188259,-0.00214138365960601,0.107112682780309,-0.0258025578773014,-0.0693834778288778,0.043609242715976,0.0767540354549809,-0.0288893939012806,0.102286525574921
"miR200b",0.0252066394126916,0.0656815490412088,-0.0130591870485826,-0.0180137017458094,-0.0247662882046265,-0.00991370774462223,-0.105042985167554,0.000702297772281589,0.10563426292476,0.00561563660550807,-0.0427581345489946,0.021926867648004,0.0125611864561655,-0.011094159886236,0.00276761264535307
"miR141",0.0252066394126916,0.0656815490412088,-0.0130591870485826,-0.0180137017458094,-0.0247662882046265,-0.00991370774462223,-0.105042985167554,0.000702297772281589,0.10563426292476,0.00561563660550807,-0.0427581345489946,0.021926867648004,0.0125611864561655,-0.011094159886236,0.00276761264535307
"SNAI2",0.0556698281885542,0.0685403070050175,0.0138519255427297,-0.0206285029053036,-0.0142451835192388,-0.0186283503055036,0.00765683814181881,-0.00408738775761266,-0.00805801172423902,0.0339805934130663,0.010799076221235,-0.0818907043637645,-0.0137249901123382,-0.00991913785353927,0.00147701572210163
"SNAI1",0.11655910262221,0.0386083726924608,0.0732056707878273,-0.0235056854785904,-0.072679974600155,-0.0404404276518163,0.0232954544477475,-0.0934700494660091,-0.0232649234865773,0.0909649952364847,0.125182583488311,0.0570225874294125,-0.0731691920382446,-0.0698449960754207,-0.0981934438667635
