"","ZEB2","miR34a","SNAI1","miR200c","miR200b","GSC","TWIST1","miR200a","TGFbeta","FOXC2","miR141","ZEB1","miR101","TWIST2","SNAI2"
"FOXC2",-0.102924829007332,0.271254110099466,0.113980065138284,0.281169794943886,0.228432705640875,0.142680206605333,0.123778415355806,0.197470041709599,-0.143028908658801,-0.154897549778578,-0.268030923617417,-0.267970052844998,-0.164806873981765,-0.29396158013757,-0.21168390013299
"ZEB2",-0.0790930240822785,-0.0456269771669688,-0.0308764179636288,-0.0265297982720025,-0.0151268484967743,-0.0148491405946095,-0.0131905557740518,-0.00470431321853402,0.0149633132236246,0.0321342354295042,0.035922903771828,0.0359383319536416,0.0384959266087467,0.045729846175408,0.0457545171260982
"miR200c",-0.0535798033029097,0.231260850161978,0.131872093952983,0.141948148885121,0.113082892913156,0.19029607574826,0.0704652370326323,0.0913136488776687,-0.190376107283074,-0.146613710480781,-0.231629463990291,-0.231563742722519,-0.171085192935421,-0.216157428010027,-0.208058579882491
"TWIST1",-0.0504041869072348,-0.0982006769650825,0.0119463201285383,-0.0427133215205427,-0.112612767971332,-0.0464038834700056,-0.115999987136206,-0.0991986169089702,0.046458690442522,0.000939415374819348,0.135241102861613,0.135227361006255,0.103478441968516,0.199163634652546,0.183678729685153
"GSC",-0.0486938787450411,0.104214143950952,0.0999162516796437,0.0809087961479631,0.0266549979310825,0.0413828653120499,0.0205434485778865,0.0254763013173028,-0.0413418519669383,-0.144114673457971,-0.10559396981351,-0.105567928274799,-0.121387392961324,-0.07438003153071,-0.0406294144002125
"miR200a",-0.0425620081410373,0.15385485144446,-0.0443126181783001,0.148582182381197,0.050932344506067,-0.0328485177589005,0.0358444614694379,0.108016377639985,0.0326394801679691,0.0456908265503048,-0.25315264803254,-0.253148019774246,0.0367543688775841,-0.0639320117090043,0.0294887498578695
"miR141",-0.0316505917671381,0.135010623180575,-0.0543370110951712,0.133351176330816,0.0756947750171909,-0.0444790910782262,0.030579014565049,0.102872375042131,0.0442581084820988,0.058610159369403,-0.233736214018709,-0.233749173141931,0.0497144053970053,-0.0469184469997668,0.0453067983255651
"TWIST2",0.0134349686027242,-0.0281915850705406,0.100052808794541,-0.0791021374741152,-0.102743014441492,-0.0592891427449461,-0.0471910655666733,-0.0669770330976182,0.0594028903610564,-0.0132462506059299,0.144979244451028,0.144965172207648,0.0560084523953983,0.172207811524694,0.20188638646485
"TGFbeta",0.0149641032236216,-0.0724680554725638,-0.0723299404456925,0.00887983620125281,-0.0948651091762958,-0.19756628713536,-0.0258557688852461,0.0217756786397972,0.0975178906715282,0.0892399193097664,-0.027233022322455,-0.0272352186833987,0.110164348611724,0.15014398584053,0.146345865625047
"miR34a",0.0248455970630207,0.0804415187502004,-0.0101593042171124,0.115774419921868,0.147249956473214,0.0813707918016986,0.0868401325502086,0.130097354783061,-0.0814017352116624,-0.0978116212187248,-0.138688421378163,-0.138661055529798,-0.121736091485392,-0.308044849551655,-0.221670204009379
"miR200b",0.0316505917671381,-0.135010623180575,0.0543370110951712,-0.133351176330816,-0.0756947750171909,0.0444790910782262,-0.030579014565049,-0.102872375042131,-0.0442581084820988,-0.058610159369403,0.233736214018709,0.233749173141931,-0.0497144053970053,0.0469184469997668,-0.0453067983255651
"SNAI1",0.0528421150297256,-0.024682222192202,-0.0981709383267302,-0.10714560905731,-0.0686801795685086,-0.0605633047487817,-0.012854146353517,-0.0408528298346728,0.0605748034224691,-0.0711039268904309,0.140548495739432,0.140534893493824,0.0184490674801941,0.065082004205751,0.136483211045616
"SNAI2",0.0574381752544372,0.0736283192454237,0.115244830052566,-0.00491153214328101,-0.214030569515345,-0.2133903704032,-0.0745724096614014,0.0532439756058677,0.213389515022427,-0.036171135775981,-0.0480304798005112,-0.048062297388604,0.2527446173652,0.335909173212907,0.312636191721847
"miR101",0.0642306856479682,0.0712432358039247,0.0209622119230418,0.0152248255682385,0.0705772957329226,0.0133417322401438,0.0246429776309165,0.0837366557983403,-0.0133364541740272,-0.108814599531369,-0.0991707943176336,-0.0991622699532954,-0.0259384505210107,-0.0408992214265312,0.0695607042851221
"ZEB1",0.103054843371106,-0.271144433979763,-0.113888351144845,-0.281124071794661,-0.228619073135432,-0.143028908658801,-0.123784389428332,-0.197449784618171,0.143272046415535,0.155028651806803,0.267970052844998,0.167954513452639,0.165220444792435,0.294542591625751,0.212103735324773
