"","ZEB2","TWIST1","miR200a","FOXC2","ZEB1","miR101","GSC","miR34a","TWIST2","TGFbeta","miR141","miR200c","SNAI2","miR200b","SNAI1"
"miR34a",-0.153877418399536,0.289913452814312,0.15259916429397,0.134503701825252,0.082780319797334,-0.0749918063088712,-0.0295307563386649,0.0856608012611869,-0.257220407076606,-0.0297607083460428,-0.0826165965321165,0.0249518761851118,-0.141503852557296,-0.0332329993676134,-0.315656061257147
"TWIST1",-0.151900556509057,0.299266782673541,0.0834969973579321,0.0385334526626447,0.00119278676883656,-0.0611517183512475,-0.00761636628554356,0.0826695086347306,-0.183345943207311,-0.00808289392964579,-0.000979917650934031,-0.0626022001684673,-0.159514805572877,-0.0178871784902831,-0.318427926648845
"miR101",-0.150675300793865,0.319199855359011,0.0768733518110017,0.141867187073282,0.00783002760272019,-0.123209598328737,-0.0103395617728064,0.0934205268477785,-0.14245880219031,-0.0106140212108683,-0.0076810217140893,-0.0684164530710291,-0.169183699390244,-0.0312084260458322,-0.318949588110296
"GSC",-0.0945171687244749,0.0469206019410275,0.0463671807953309,-0.010524725899662,-0.0142242371072915,-0.101987666014105,-0.00827108798714427,0.0556828932057699,-0.04762403334073,-0.00868690020912111,0.0143814690391314,-0.0487714512503612,-0.0343651592044118,-0.0302343718808281,-0.144576345491396
"ZEB2",-0.0661878686048609,-0.0329688843928067,-0.022358069069901,-0.0211262289085046,-0.0106674331242831,0.000493994485039149,0.00590808095873079,0.00750544288119598,0.00773129029211009,0.00809258392721915,0.00946950945894525,0.0151944487144947,0.0274033045449763,0.0274279616069309,0.0290846172733921
"miR200a",-0.0386239418709812,0.117920100102233,0.0283781375498845,0.0620873495491874,0.0157792860330556,-0.00301389161999837,-0.102404871316439,-0.0089349402906728,-0.0341372057976093,-0.100791101114449,-0.0166540268505911,-0.0114513177425181,-0.0983196148933837,-0.0237424784555381,-0.105950952098237
"FOXC2",-0.00361523602853503,0.0906583555067465,-0.00182816396830026,0.082716518837048,-0.00656949742971921,-0.0168832428926019,0.00214959361186775,0.019998481902394,-0.0973903977638587,0.000876554369049349,0.00726470572523079,-0.006320348987967,-0.0744685092654002,0.00605014947146511,-0.106008421348272
"ZEB1",0.00263405701445261,-0.0901027667618991,0.000604056871951746,-0.0814964987861495,-0.0929342445562151,0.017130911372344,-0.000876554369049349,-0.0192755148276128,0.097126301632867,-0.00160084894963672,-0.00656949742971921,0.00679089228315913,0.0750845190525723,-0.00483137986597372,0.106697452119492
"miR200c",0.00932014118851825,0.177273938907597,-0.00694908509942981,0.0797127965142324,-0.00054687076294141,-0.0162026752683746,-0.0783360770061333,0.117395582540489,-0.127802512765208,-0.079347818946241,0.00110133610654331,0.00546933226125982,-0.133957455879522,0.0786524909436467,-0.168493582366655
"miR141",0.00932014118851825,0.177273938907597,-0.00694908509942981,0.0797127965142324,-0.00054687076294141,-0.0162026752683746,-0.0783360770061333,0.117395582540489,-0.127802512765208,-0.079347818946241,0.00110133610654331,0.00546933226125982,-0.133957455879522,0.0786524909436467,-0.168493582366655
"miR200b",0.0369179197689879,-0.190169916290139,-0.0226533419189756,-0.0874092469010944,-0.0100543075983285,0.0164697874128696,0.0917346316700063,-0.110664679254452,0.130672273784565,0.0912198019460554,0.0103264491860063,0.012506197563162,0.144071205205895,-0.0186801712237488,0.179453266792872
"TGFbeta",0.0446389281319222,-0.212749962533558,-0.0560601239316912,-0.0823794989020256,-0.0772605549932877,0.0240227597992129,0.0195475304194098,-0.0947882306601558,0.162708326471114,-0.0796974847448156,0.0769339247443773,-0.0175124442425014,0.141785279613229,-0.0711258091546042,0.193351795062499
"SNAI2",0.0563066385448768,-0.16394406110389,-0.0284218220414273,-0.032701944640358,-0.00117339342553336,0.0387554601932341,0.00270975775008185,-0.0492445929810306,0.0518735737496877,0.00248137108375733,0.00121257929718456,0.0271059876635189,-0.0476043085189903,0.00735828667994118,0.1350959690257
"SNAI1",0.158454373916112,-0.352405210426006,-0.13165500094298,-0.143290301905584,-0.110112122191296,0.133030503995585,0.0279778586023019,-0.142070146341535,0.166536033185313,0.0277276633231023,0.11027256686107,0.0203352715573874,0.176344462571284,0.0387961454508214,0.249997759391026
"TWIST2",0.167625960739324,-0.330361013752429,-0.0600814569030846,-0.0545352601146082,0.0464170600549008,0.0965312251614161,0.00741877917773446,-0.128928725996807,0.0366389282845062,0.00739557692768212,-0.0464544394513774,0.104368904971648,0.0410093523740465,0.0360452393753368,0.280822719532959
