"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.087648840729268,0.0135460483877525,0.0227651973422592,0.0154674296240769,0.00313267869548074,-0.0025746963695416,-0.00330456110420526,-0.01830206965709,-0.0308708276872186,0,-0.011700247639983,0,0,-0.00249843641961169,0.0245338905982163,-0.0139329965705079,-0.0134559677132921,0.0245398477582335,-0.0247115841781173,0.00231844224664111,0.0261572054321081,0.0214866052002462
"ZEB1",-0.0323020783441102,-0.0619860116269539,-0.0170286510236621,-0.0174085264187883,-0.0344182239876556,-0.0104220715430013,0.0342390018118984,0.154943632109457,-0.101067885080114,0,-0.026355411542519,0,0,0.0360815775119,-0.0105876645700766,-0.0107073387838779,-0.0377959356092899,-0.0282838616044964,0.0277470490622801,0.0099421943915521,0.0973046460625382,-0.0139674428928784
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.0629082439160174,0.1038541004686,0.061569280384124,0.133932801548186,0.0448610319623846,-0.0370678759189055,-0.0449307623819512,-0.145841648277186,-0.0917841357636229,0,-0.0102247321440528,0,0,0.0225499558904944,0.106782678719219,-0.0854978628711248,-0.104077497332249,0.12299666986699,-0.122802665235912,0.0375302231943389,0.0111521717242784,-0.0804345173856885
"TWIST1",0.158217904901946,-0.133353184153813,0.231766725622588,0.235128794746051,0.256762861691458,0.0234863112746578,-0.356497403815431,-0.33770310024183,0.220326925558301,0,-0.00546073756704817,0,0,-0.146016222032058,0.0949191745685982,-0.00569762725902308,0.133447302899,0.0939329236806317,-0.0937372771241342,-0.0236333543716528,-0.346523383885109,-0.0602323547588468
"TGFbeta",0.00637532128372461,0.0292888061202718,0.0296168575473968,0.107435076167944,0.0623833882298088,-0.110964406752308,-0.0622596815271548,-0.142451340692496,-0.0569209993073892,0,0.0676882323833885,0,0,0.0140660890187699,0.124483029873052,-0.0193866102779393,-0.0295100110438855,0.101240743479192,-0.100952396273485,0.0114015881422549,0.0491660577267279,0.0120168655539249
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"SNAI2",-0.0447908400797558,-0.115195239203087,-0.296480399988773,-0.373122508632421,-0.181046612930461,0.239335167242781,0.181326109836031,0.263317160406561,-0.0324846523307997,0,0.0853986636293192,0,0,-0.0358645898433838,-0.302603730461077,0.0810535697994264,0.114934334980725,-0.268732929315719,0.269182823178786,-0.238745809890356,0.0946787311922151,-0.14799205172633
"SNAI1",0.181400293870418,-0.125345785810944,0.20325192313016,0.170809335208142,0.256304338743253,0.0310494432034938,-0.25619073701429,-0.227073719389321,0.0966467009153799,0,-0.0847140206496756,0,0,-0.149427750403124,0.0781359925728126,-0.0182043059113203,0.125372372018267,-0.0325028263312699,0.0326668736120397,-0.0310680789849873,-0.231580191707733,0.119406670164649
"miR9",0.0126275193149496,0.0134559677132921,0.0227098182872008,0.0154989009065316,0.00330456110420526,-0.00231844224664111,-0.00318948630558615,-0.0182881410359163,-0.0307562801499907,0,-0.0118099455260751,0,0,-0.00216705150683036,0.0244953796867914,-0.0138294387852637,-0.0136661454089803,0.0247115841781173,-0.0245900036310048,0.00287519215017454,0.0263989508955556,-0.0785865243454198
