"","miR200c","GSC","ZEB1","SNAI1","FOXC2","miR101","TWIST2","miR141","SNAI2","TWIST1","miR34a","TGFbeta","ZEB2","miR200a","miR200b"
"miR200c",0.118315440329901,0.142607699527818,0.0194033891151931,0.129589461966084,0.0595429554300944,0.0118582130063535,0.0830325608566689,-0.0193580321839135,-0.153125974992969,-0.165909320783433,-0.0197721151840152,-0.14254200199924,-0.21746121099205,-0.0976431936830562,-0.038386231506791
"miR200b",0.118315440329901,0.142607699527818,0.0194033891151931,0.129589461966084,0.0595429554300944,0.0118582130063535,0.0830325608566689,-0.0193580321839135,-0.153125974992969,-0.165909320783433,-0.0197721151840152,-0.14254200199924,-0.21746121099205,-0.0976431936830562,-0.038386231506791
"miR101",0.0934306098372161,0.0315009303325502,0.00479246487356043,0.00219347954740511,0.076207221615873,-0.00651092206216567,0.00877238290559999,-0.00481735601742783,-0.0867339965123928,-0.0139501664866755,-0.0401119581170748,-0.0316575129606752,-0.178465694335815,-0.0878607100806522,-0.056414822004698
"miR200a",0.084232497834624,-0.0863757836299878,0.00351292505944821,-0.0550051968230649,-0.0116293314290362,-0.00327115890703194,0.0160705651373062,-0.00355457938409276,0.0619977778326586,0.063635625425954,0.0843602809140475,0.086183469046331,-0.163086443156973,-0.0807015637184796,-0.0813127511517835
"TWIST1",0.0461065894544058,0.0257032689422386,-0.058989484441794,-0.012098803245355,-0.0393099343336537,-0.0100353446313193,-0.0751615339286581,0.0589700384200611,0.0351014460837754,-0.00691442535317616,-0.00485842904981569,-0.0258382812403885,-0.157801573319533,-0.0969889163926371,-0.0423746610151299
"TWIST2",0.137695735609939,0.00121588277647588,0.128962772312853,0.00713464436514401,0.0603992641336433,0.0413300998430744,0.0681972244823969,-0.128998392678908,-0.104291211407433,-0.16039846105892,-0.0797001778792669,-0.00121984413624091,-0.148081162189459,-0.00902721909870032,-0.0534851411373429
"miR34a",0.010703965610407,0.0465109019046537,0.00733965456804371,0.0933979892879152,0.14947018027255,0.0317357479906624,0.210070323423845,-0.00734107004295914,-0.149530886965678,-0.137741623666873,-0.0625033765375282,-0.0466498438827263,-0.114383539628967,-0.0823525301917704,0.0456826280891925
"GSC",0.0345764056497569,0.0341044630804839,-0.046970435389372,0.0229825837109372,-0.0411456009362396,-0.0250125588796419,0.0321626362667388,0.046911964764719,-0.0740527266352651,-0.133554746747136,-0.00954765325993126,-0.0341568339673186,-0.108004126890325,-0.0734806350732883,-0.00841106737665489
"SNAI1",0.0880172874524796,-0.0110413039942755,0.105205695600433,-0.115637123149189,0.0536425833873913,-0.0189331997159303,-0.032555050920392,-0.105257013163405,-0.0437979917404175,0.0236361661682534,-0.0897949117653305,0.0111416200095489,-0.0589568246848852,0.0202432266168711,-0.0395230251412483
"FOXC2",0.00300254247489394,-0.000424505369424872,-0.00698414236853803,-0.100594881732165,-0.107707456892623,-0.00956654197016212,-0.100118750011337,0.00702365497519537,0.117663771678267,0.111263400596149,0.0199495528963698,0.00049645976141026,-0.0206920213866498,-0.0109852812387011,-0.0195123088428933
"ZEB1",0.00305058072028256,-0.00049645976141026,-0.106948050876606,-0.100627804704169,-0.107708999269426,-0.00948477582134773,-0.100092340398238,0.00698414236853803,0.117689101914485,0.111314180212614,0.0199547755687367,0.000435035486024758,-0.0206455242223845,-0.0109904902050685,-0.0195390645723099
"ZEB2",-0.210554493961571,-0.0600450130620579,-0.0315224880622389,-0.0287239728849636,-0.00306673120960027,-0.00144337436673223,0.0044784236432956,0.0315777309067975,0.0316282745248348,0.0329105026072039,0.0414528521906879,0.0600602360792599,0.0957244415085736,0.183753899840206,0.205442438370665
"SNAI2",-0.0646841247503746,-0.0197789249031155,-0.0180603007808501,-0.0533978475477395,-0.0730206680726129,-0.0245606103449882,-0.090613661368692,0.0180124069377209,0.00606234991575845,0.133136653690254,0.0297441401004493,0.0198858474997094,0.111801600370268,0.0470467582495562,0.0196091423776297
"TGFbeta",-0.0687219827675583,-0.210469820699381,-0.0192057106739981,-0.0849196175401324,-0.0384501805815094,-0.0164120599586128,-0.0772618035319989,0.019157076967388,0.117851193036111,0.11984050334965,0.104910160517102,0.110689218002084,0.117902709436647,0.046988704284646,-0.0577662042664755
"miR141",-0.084232497834624,0.0863757836299878,-0.00351292505944821,0.0550051968230649,0.0116293314290362,0.00327115890703194,-0.0160705651373062,0.00355457938409276,-0.0619977778326586,-0.063635625425954,-0.0843602809140475,-0.086183469046331,0.163086443156973,0.0807015637184796,0.0813127511517835
