"","ZEB2","SNAI2","GSC","TGFbeta","TWIST1","ZEB1","miR141","miR34a","miR200c","miR200a","miR200b","SNAI1","FOXC2","TWIST2","miR101"
"SNAI1",-0.176688977609557,-0.112661254980452,-0.011731430727125,-0.0117675127721443,-0.248889921952701,-0.0799860749121933,-0.0799665989696195,-0.222795267914345,-0.0442774812464629,-0.0442774812464629,0.00406555215046249,0.19552551233694,0.135043100032235,-0.0355643050632206,0.252898283201347
"ZEB2",-0.0889134146484418,-0.0283675171554402,-0.00301377039887294,-0.0028970606003242,-0.000485179979044515,0.00174206205509967,0.00185205006093252,0.00609036208096378,0.0061770890229727,0.0061770890229727,0.00753395458232972,0.0135711257262553,0.016890074560143,0.0186751971258972,0.0208331102375251
"GSC",-0.0422246426822548,-0.108271070995584,-0.0342376980077218,-0.0343317132142082,-0.349277730673893,-0.0980878662357818,-0.0981630427531928,-0.156763741794147,0.0375691885921974,0.0375691885921974,0.0747251761416171,0.299541637814221,-0.0267540769734128,-0.0204240895759159,0.250536381120908
"miR200b",-0.0358860474735281,-0.0767418793712702,-0.109582700553927,-0.109677066094976,-0.0155724100118778,-0.00158259963540471,-0.00164924655483599,-0.106534205900854,-0.0160641529403104,-0.0160641529403104,0.0169527803729465,0.133171837076114,0.120470530298021,-0.0169663449089323,0.105057714060065
"miR200c",-0.00665649649475165,-0.110797859971594,-0.10847191587616,-0.108126705225994,-0.00313426299396504,-0.0086764076549655,-0.00855329598434939,0.0075472074088836,0.00108089803419128,0.00108089803419128,0.00106469288525987,0.0413070388128002,0.0608918548796613,0.0702566579148737,0.07607086146616
"SNAI2",0.0057691040477317,-0.0328883448628811,0.0101886895452867,0.0101929664491505,0.015557604681716,0.0193551546096633,0.0195410363085215,-0.0176258486845978,-0.00773814170001351,-0.00773814170001351,-0.0222567160075302,0.0853690113246991,0.0591291837828645,-0.0867954668213295,0.0114185981044496
"miR141",0.00665649649475165,0.110797859971594,0.10847191587616,0.108126705225994,0.00313426299396504,0.0086764076549655,0.00855329598434939,-0.0075472074088836,-0.00108089803419128,-0.00108089803419128,-0.00106469288525987,-0.0413070388128002,-0.0608918548796613,-0.0702566579148737,-0.07607086146616
"miR101",0.0165475613440309,0.117237220271571,0.00294988503894481,0.00288830760091811,0.228187433689093,-0.00509380872319697,-0.00506823563018252,0.105524124070286,0.0103312437264214,0.0103312437264214,-0.014038756093046,-0.234796788139992,-0.101821123530802,-0.00483336191991229,-0.225493705582671
"ZEB1",0.0347952474653685,-0.0606019464918408,-0.00286721649352217,-0.00302205685438978,0.0139315067887145,-0.0971473239599923,0.00271532786237742,0.0213821731069521,0.0130998494074878,0.0130998494074878,0.0148217150738987,-0.133979758695204,-0.123542129548035,0.087289911614457,-0.0367036783312893
"FOXC2",0.0348737299400838,-0.0607835696749353,-0.00337643219064952,-0.00286721649352217,0.0140270919491183,0.00271532786237742,0.00293424906142485,0.0214754351135028,0.0129325837096889,0.0129325837096889,0.0146519545838076,-0.13380220981047,-0.123336993433282,0.0874008319894735,-0.0367024933146398
"miR200a",0.0358860474735281,0.0767418793712702,0.109582700553927,0.109677066094976,0.0155724100118778,0.00158259963540471,0.00164924655483599,0.106534205900854,0.0160641529403104,0.0160641529403104,-0.0169527803729465,-0.133171837076114,-0.120470530298021,0.0169663449089323,-0.105057714060065
"TWIST2",0.0729396015358923,-0.0819987895264796,-0.024388820774576,-0.0244403184515214,-0.0103791846347153,-0.0201554332671299,-0.0200907888991055,0.0531167566696096,0.0473716434509316,0.0473716434509316,0.0588582566120243,-0.128611256874679,-0.0862720831600486,0.107733204731264,-0.0254094063028023
"TGFbeta",0.0946952269223112,0.0944689538286003,0.188766236343951,0.0888549631943093,0.00427858061136446,0.00383864170220338,0.00383581780956151,0.0924198224429606,0.0454131648880248,0.0454131648880248,-0.0689409866912297,-0.0745771586216838,-0.0832717383895961,-0.0667614897790353,-0.0843176904234087
"miR34a",0.102926417741915,-0.0680700043443799,-0.0552410943176184,-0.0553848901639207,0.0668842871333349,-0.0651986668229447,-0.0652321663959431,0.0757836372681596,0.120692769031105,0.120692769031105,0.101002817813329,-0.245946090486013,-0.160236292934631,0.207389454303746,-0.0809846278761421
"TWIST1",0.120778625086095,0.127709306306927,0.00327948579791732,0.00320195398313816,0.197486033801047,-0.00191417979038357,-0.0019559239170368,0.101060220855392,0.0502217453200055,0.0502217453200055,-0.00562909862467834,-0.203216954465624,0.0228923139001626,-0.0822275383957081,-0.147800162449353
