"","ZEB2","SNAI1","SNAI2","miR141","ZEB1","miR200a","TGFbeta","GSC","miR200c","miR101","TWIST1","miR34a","miR200b","TWIST2","FOXC2"
"SNAI1",-0.120693733532506,0.0273025070881411,-0.148065193803267,-0.111634059590587,-0.111651989823433,0.116893089374964,0.0321632117804011,-0.0321223716635111,-0.000976941489384889,-0.190612715969084,-0.0960595077124894,0.183390942425103,0.0451029397559895,0.158296269178628,-0.147957673274805
"TGFbeta",-0.094553639557323,0.0688623611033258,0.0126058585727822,-0.0808867607317843,-0.0808895846244262,0.0869257099242254,-0.0767870026288819,-0.022954882897349,-0.00826742119960285,-0.0299041248838038,0.0126557852084528,0.128093164206043,-0.0769874188609113,-0.0034531475907231,-0.0753456242623409
"ZEB2",-0.0857868540774883,-0.0497178726652916,-0.0257950275593713,-0.00883708907073313,-0.00865941613823391,-0.00781736342144775,-0.00142497657601026,0.00151885184875598,0.00994633660368967,0.0120631947815867,0.0249934472080229,0.0260021187234252,0.0268169327963228,0.0304308572048863,0.0428548122878376
"TWIST2",-0.0488729736200157,-0.176927966312313,0.0287407179538941,0.147823602061814,0.148019733953915,-0.0493823859024593,0.00407408986990787,-0.00413464208345911,-0.100178785633827,0.103700616100588,0.238124497094584,-0.162775827948364,-0.0732482355812326,-0.038928879710889,0.199021595674817
"miR200a",-0.0201058415400158,0.134927372906142,0.0605584103589442,-0.00558841679037495,-0.00560785547520907,0.0128721629325276,0.0933957445044629,-0.0935785030839629,-0.00644612178142911,-0.0374172713535721,-0.047090452485751,0.0102005255614986,-0.0686260899503066,-0.0320074673884686,-0.128792017902116
"miR200b",-0.0126055426878988,0.0425367402469858,0.0158617305475113,-0.0167026583195767,-0.0169849820755009,0.0144696474178838,0.0897804347795287,-0.0900659204037149,0.00198767727489709,-0.0135963750731925,0.0396277638298303,0.102430039779147,0.0111536866142459,0.0520307610606336,-0.053838811554217
"miR141",-0.0126055426878988,0.0425367402469858,0.0158617305475113,-0.0167026583195767,-0.0169849820755009,0.0144696474178838,0.0897804347795287,-0.0900659204037149,0.00198767727489709,-0.0135963750731925,0.0396277638298303,0.102430039779147,0.0111536866142459,0.0520307610606336,-0.053838811554217
"miR200c",-0.00093902192847104,-0.117616323439272,-0.0532337463699906,0.0269172164579858,0.0271838041357109,-0.0130471365107856,-0.0874752204063473,0.0877654840326119,-0.0144085851495919,0.0326095092424298,0.0373990368898908,-0.0266510242419038,0.0117429400129208,0.0209144856819694,0.111045600647572
"SNAI2",0.00387738080310335,0.0967760770862064,-0.0819297125027418,-0.0193276798207315,-0.0196482001555195,0.00786533444413232,-0.00017847900895093,-0.000390349204928479,0.0112201128415729,-0.0430503120223631,-0.139329155713573,0.0495472415753992,0.00885429151433188,-0.0334540675369308,-0.103835232109777
"miR101",0.00588778343456586,0.178192263320226,-0.133264201313693,-0.0133377860788887,-0.0136163623054595,0.00514854148522791,0.00702455373449622,-0.00713187441219991,0.0100030256914372,-0.206998793679701,-0.161273198216609,0.103631813992537,0.0363291498478748,0.0922563604399475,-0.197745623675409
"TWIST1",0.0109155452739164,-0.116741055930451,0.146638478242306,0.130617184949405,0.130879317322364,-0.063797211213521,-0.0132486802335156,0.0134425097704635,-0.0740163164084464,0.115403385330401,0.0208101129321193,-0.125470663987201,-0.0884132397642603,-0.189493696138786,0.224418147229391
"ZEB1",0.0132537790955419,0.111428548945811,0.0657021525373544,-0.0118708173467287,-0.111945506684199,0.00243872485669482,-0.00123509736185178,0.00113144389713875,0.0107185987749484,-0.0233475758550952,-0.0973678135186681,0.0263422068429211,0.011090061447159,-0.0696258270768924,-0.120108082801994
"FOXC2",0.0132605907820266,0.111141648761207,0.0656638877124295,-0.0118889717876253,-0.0118708173467287,0.00252148954453304,-0.00113144389713875,0.0011259089439091,0.0106555124044983,-0.0231330878415386,-0.0967465099760431,0.0262414838758463,0.0110264012633748,-0.0697129788001197,-0.119899861933636
"miR34a",0.0246092606153618,-0.198877940947338,-0.0115966110655737,0.144971733090091,0.145181695202546,-0.137459211554713,0.00796359281073034,-0.00786105484437978,-0.115746138252715,0.0883254934242755,0.162043398519107,-0.168171760310313,-0.0346301173808741,0.0817482102964558,0.21776966520586
"GSC",0.0625716955619136,0.187801405365242,-0.133314535056218,0.0244165323743029,0.0241566083369799,-0.0400200275998017,-0.000598099236197938,0.000524275214997193,0.0272776740016037,-0.210859158149624,-0.258043136802307,0.0813249480061926,0.0505779587932342,0.105020268352668,-0.110659672699934
