"","ZEB2","TWIST1","SNAI1","miR101","SNAI2","ZEB1","miR200a","TGFbeta","GSC","TWIST2","miR34a","miR200b","FOXC2","miR200c","miR141"
"SNAI1",-0.0954985035427836,0.147586518802375,0.0155294202862191,0.0445805744116307,-0.130808729144288,-0.136365269870259,-0.0236633660570564,0.0162226563007162,0.0162627034056277,-0.00794588085004479,0.192280773751046,-0.0263900626499376,-0.140093784552411,0.0236633660570564,0.136360014457183
"ZEB2",-0.0821043117630084,-0.0775166341807247,-0.0717619665880153,-0.0584214727709145,-0.0441749836586114,-0.0397202168289122,-0.0271305489721531,-0.0141039572695238,-0.0135889118541891,0.0107723164336975,0.0123024841866638,0.013284594411138,0.0189941095392432,0.0271305489721531,0.0396968257145496
"TGFbeta",-0.0679132074983353,0.0856931697977884,0.0475971280867668,0.0327057505075203,0.0157281854663745,0.0151103846558232,0.0444508076251888,-0.057158417445572,0.0423963350871763,-0.063244874966122,0.0702398965679172,0.0404054846352856,-0.00481654024477575,-0.0444508076251888,-0.0150887348122355
"GSC",-0.0648349291414172,-0.0622295205223376,-0.12410877011262,-0.0769143147291991,0.0690776120598117,0.182931361607302,0.132511540717681,0.0807707011324836,0.0805151564437118,0.0456397572594989,-0.171020567935901,-0.11381941573936,0.175978736555706,-0.132511540717681,-0.18291858651284
"FOXC2",-0.0218865199777892,0.044168040996845,0.144195590472326,0.120509526006513,0.0991436176654454,0.248969726564676,0.238076680741971,0.120022392702897,0.119562991584837,0.105238617068631,-0.209794105009666,-0.223014049384909,-0.113703800257326,-0.238076680741971,-0.248919534875139
"ZEB1",-0.0217873062833377,0.0441262224891683,0.144183832268039,0.120226307027286,0.0993414090844237,0.148995291371461,0.238199959612667,0.119928976617415,0.120022392702897,0.105463098779973,-0.209867968518855,-0.223198571656747,-0.113760868199024,-0.238199959612667,-0.248969726564676
"TWIST2",-0.018310737678238,-0.194611758096036,-0.0672057895377844,-0.0389991989130592,-0.0264236639051418,-0.0594974792406532,-0.0210581709389503,-0.00689827768267545,-0.00617448066274981,0.0634119314174676,-0.0154821697530768,0.00757999506392625,0.110806535148785,0.0210581709389503,0.0595014370591037
"TWIST1",-0.00931317705257306,-0.167297195497475,-0.176096661104281,-0.0608267635163911,-0.0113122061915117,-0.142205756260111,-0.060742574732526,-0.0241570044129348,-0.0235568012261099,0.0526062648640156,0.0135328427160464,0.0370715509582229,0.0969758585645006,0.060742574732526,0.142186310238378
"miR200a",0.00582552926347847,0.0677174216848684,0.0147728325534085,0.00755258816221292,-0.00055059759129146,-0.229658056268048,-0.117813764485294,0.022965115736757,0.0233270493941982,-0.0785157688327456,0.197358319411987,0.133905390989233,0.00595750840852804,0.117813764485294,0.229651576706436
"miR141",0.00582552926347847,0.0677174216848684,0.0147728325534085,0.00755258816221292,-0.00055059759129146,-0.229658056268048,-0.117813764485294,0.022965115736757,0.0233270493941982,-0.0785157688327456,0.197358319411987,0.133905390989233,0.00595750840852804,0.117813764485294,0.229651576706436
"miR200c",0.0105548618050479,-0.10621090977872,-0.115975996354257,-0.0908108539345664,-0.0652684282730943,-0.219892233841845,-0.115756698873736,-0.147521569400755,-0.147486928885686,-0.026490727569353,0.113697680858666,0.0524499111406502,0.0460651459218853,0.115756698873736,0.219855207775494
"miR200b",0.0204971075490331,-0.136865963604316,-0.137910135996414,-0.108062405362066,-0.0784267559210429,-0.240880721844422,-0.131502298445541,-0.166130408365058,-0.166346612959107,-0.0223623429157166,0.121241382060693,0.0946077136641814,0.0535780648403335,0.131502298445541,0.240835364913143
"SNAI2",0.0411830903633007,0.0476143240008561,-0.0247978575824765,0.0173483463913522,-0.0367538671125671,0.0207121252915861,-0.00928728762808116,-0.0145069595090916,-0.0132025038306463,-0.0701680000643465,-0.0235228511858242,0.0192360036471621,-0.0145716010589222,0.00928728762808116,-0.0207124602135661
"miR34a",0.0668854851218545,0.0052958508805665,-0.0488327685476068,-0.023022385144107,-0.0128832701886213,0.215229072605273,0.143105082655944,0.0620129759673529,0.0626664279777644,0.00706038078668281,-0.153447793415029,-0.0956137801621799,0.0685573975873466,-0.143105082655944,-0.215214446031147
"miR101",0.0953314546864434,-0.164092649290222,-0.117489963815712,-0.038445027041075,0.14294139922394,0.225540955827749,0.0661651982707467,0.0131993924288307,0.0129548420320961,0.0411999394950016,-0.196779379343764,-0.0276733036739254,0.14558396119413,-0.0661651982707467,-0.225527657819381
