"","miR34a","ZEB2","miR141","ZEB1","TGFbeta","GSC","miR101","TWIST1","SNAI2","SNAI1","FOXC2","miR200c","miR200a","miR200b","TWIST2"
"GSC",-0.0411049710128424,-0.105333455097573,-0.0620005480560287,-0.0620295376934617,-0.0317978420339092,-0.0319385493563687,0.0551053212437854,-0.0714238544506096,0.0041429628844029,-0.0172316423639474,0.0614166260062439,0.0807253036881814,0.0807253036881814,0.0838116983679281,0.02558432770525
"miR101",0.0245541440618368,-0.104387411455582,0.102251902446558,0.102259062912602,0.0203123350787834,0.0203580783184604,0.0334809601210612,0.0359872453943703,0.082112801923238,-0.0481390783196526,-0.0499541255709632,0.000622563444283072,0.000622563444283072,0.0174963691018469,0.0136719445811491
"TGFbeta",-0.131870186772119,-0.0906020633241464,-0.0754410191553832,-0.0753296322789536,-0.117036806821036,-0.0171142411631665,0.0464525239784574,-0.00442690312319671,-0.00218839347956875,-0.0875117666743929,0.00307978895928732,0.0820686777633132,0.0820686777633132,-0.0142315315607721,0.00828381945192934
"ZEB2",-0.0869408496915309,-0.0802639452280956,-0.0799649550393425,-0.0797852913737061,-0.0174524645287679,-0.0174017211380945,-0.00425092380783169,-0.00150268091316383,0.00427472720607798,0.00483662250725735,0.0126429673077583,0.0221843450560667,0.0221843450560667,0.0235500714756434,0.0495152538268818
"FOXC2",0.128269251300721,-0.0496317352984697,0.141363884273251,0.141343594015778,0.0751111547749321,0.0754598568283998,0.107821512845096,2.99442920292806e-05,-0.0803974801395987,-0.137990762838582,-0.104682609335466,-0.145618557588528,-0.145618557588528,-0.158971885591361,-0.157431215867841
"ZEB1",0.128307302199394,-0.049523044474996,0.141343594015778,0.0414939752321618,0.0749396786728142,0.0751111547749321,0.107557254132261,0.000116568343645267,-0.0803710720209886,-0.137784994263559,-0.104517575017582,-0.145547368381507,-0.145547368381507,-0.158844565223793,-0.156884536876688
"miR141",0.0768761575610421,-0.0420311898887421,0.185166220432536,0.185206949105522,0.131568663315255,0.131760977898912,0.103095378843182,-0.00894589120838379,-0.0594201735697202,-0.146776632964586,-0.0235017113667284,-0.0721290321644839,-0.0721290321644839,-0.0705022269016917,-0.0662663255349929
"miR200b",0.0404619317394404,-0.0316536088637295,0.13955083936773,0.139701720588109,0.123150213431009,0.123478701073901,0.100613375274208,-0.00956156613524761,-0.0577037142390834,-0.143300827870927,-0.0183156332594024,-0.0530912623180542,-0.0530912623180542,-0.0869361929709781,-0.0497778496489751
"TWIST2",-0.0346503508299542,-0.0119652002952807,-0.111681203425623,-0.111694396153791,-0.0360351855451291,-0.0360832877708474,-0.00134504530736656,0.0301607447024772,-0.0562119648565956,0.0336519248446043,0.0262254222508406,0.0599620746749233,0.0599620746749233,0.0191890476805055,-0.0629043796241437
"miR200a",0.194305180701965,-0.0080069013791373,0.204222421966659,0.204053953364764,-0.0384958447566139,-0.0385233182685649,-0.0285292305404846,0.00986393482775032,0.00817782228356914,0.0475919163107448,-0.0256043941099778,-0.0982314727347589,-0.0982314727347589,-0.0439456966494989,-0.0931676802283099
"miR200c",0.157890954880364,0.00237067964587525,0.158607040901853,0.158548724847351,-0.0469142946408594,-0.0468055950935751,-0.0310112341094587,0.0092482599008865,0.0098942816142059,0.0510677214044036,-0.0204183160026518,-0.0791937028883292,-0.0791937028883292,-0.0603796627187853,-0.0766792043422921
"miR34a",-0.0990907329989864,0.00368460338882876,-0.110400458825903,-0.110379698527143,-0.0488436498651402,-0.0489025030174242,0.0367513967912056,-0.00560653657214918,-0.00905984330520382,-0.0821919743256113,-0.0956658317355521,0.105358696092053,0.105358696092053,0.0369834412411573,-0.107130165423098
"TWIST1",-0.0919750363231995,0.0317896649215163,-0.130297467280598,-0.130293578076251,-0.0155136353106711,-0.0156259227665582,-0.046036490447208,0.105422787265692,0.10427962617519,0.0220303403509444,0.115753047373744,0.044446781244128,0.044446781244128,0.0636176261878135,0.150588495515304
"SNAI2",-0.00744071994128184,0.0350567667855215,-0.027086730344053,-0.0269497472542638,-0.00320958816785856,-0.00292645713207798,-0.0205234324774216,0.0352694220407689,-0.100292610629841,0.0355667134458159,0.0527603136853242,-0.00422090282932972,-0.00422090282932972,-0.00363774491478408,0.00227423074354198
"SNAI1",0.0994174020791748,0.0501709623834249,0.090561888732446,0.0906401016446868,0.0177494932439209,0.017861704438871,-0.007099814895334,-0.0353261170275977,-0.0924842986584359,-0.0987155363593206,0.0140576150128737,-0.0747272799615776,-0.0747272799615776,-0.0799786900572506,-0.0960321988865523
