"","ZEB2","FOXC2","miR101","SNAI2","TWIST2","miR200b","GSC","miR200c","miR200a","TGFbeta","miR34a","miR141","ZEB1","SNAI1","TWIST1"
"ZEB2",-0.0925461783833077,-0.0399629314707961,-0.0297866193175259,-0.026000575931628,-0.0214716456915892,-0.00596778376878303,-0.00413793535795104,0.00340690552698616,0.00340690552698616,0.00415062120561938,0.0152298262446832,0.0235916054150905,0.0236279362948452,0.0332622776222046,0.0372680563920834
"TGFbeta",-0.0899214014306987,-0.154366848832694,-0.147468787157831,-0.199841009179219,-0.0932453760511638,-0.157007163375489,-0.196588673002007,-0.0446346125951276,-0.0446346125951276,0.0965660879855526,-0.192943403752271,-0.171076595490411,-0.171351140608371,0.0912841549391274,0.129441233256218
"SNAI1",-0.082465891689614,-0.0498552851014327,-0.0132832734017144,0.0525249152571715,0.0820417365255833,-0.0142197594310539,0.0181255951443392,-0.0467189568353512,-0.0467189568353512,-0.0181386798419836,-0.132162701611114,-0.16449604730784,-0.164542109457737,-0.122560149443968,-0.0423898572193891
"ZEB1",-0.0538255546020953,-0.106750880786179,0.0159984670574138,0.125174014628107,-0.0742319603158748,0.226110872030061,0.0107427664263009,0.210123132611913,0.210123132611913,-0.0107670802019744,0.171590101084676,0.178860100324156,0.078807466898422,0.0950358441412877,0.0867069523750726
"FOXC2",-0.0537393719600494,-0.106493303860136,0.0159569914746818,0.125068921094862,-0.0742821385807632,0.225948492430844,0.0107925810053677,0.20999522354889,0.20999522354889,-0.0107427664263009,0.171577417451785,0.178739426687608,0.178860100324156,0.0950017453488553,0.0864381191114368
"miR34a",-0.0275141251766758,-0.105869533402798,0.0389153345566265,0.140144464688976,0.0229191989079539,0.119734465036315,0.0281743535729171,0.111319100851489,0.111319100851489,-0.0282198585875697,0.00643582870513093,0.0969139762319346,0.0968012100636723,0.0677153928302255,0.035185203675994
"miR200c",-0.0144776155907862,0.126987160421313,0.130348066452856,0.187622905955139,0.00498250627117704,0.168996533845183,0.121603683174785,0.122821199894989,0.122821199894989,-0.121714771723109,0.214808591770581,0.22949500763155,0.22962274756046,-0.0719546512030539,-0.0919888380887566
"TWIST2",-0.0130923306836323,0.112138680449511,0.146996957817843,0.213820637397349,0.164331668517157,0.0523056822338332,0.0232747302903475,-0.015489547973715,-0.015489547973715,-0.0232945370891727,0.0100585432254357,-0.0448164943621371,-0.0447562475701689,-0.0523697749279315,-0.220902389115476
"miR141",-0.00367765350764437,-0.110799067925907,-0.120577569077131,-0.178862851248199,0.00305003390372053,-0.130670666712796,-0.114727218974438,-0.120986439350971,-0.120986439350971,0.114730802475996,-0.222069904958729,-0.243369254238706,-0.243575674558611,0.0608299429478561,0.0771347020487052
"SNAI2",0.00415495630510484,0.176190271634151,0.371567701431577,0.317309842664944,0.346172012641323,0.256194001479089,0.217020836837251,0.00474618576761718,0.00474618576761718,-0.217249223503575,0.0557091954411516,0.0106402124414916,0.0107041825396572,-0.120739950976083,-0.264500112490049
"TWIST1",0.00452747496271077,-0.0487863790386844,-0.134349585725149,-0.246512355934585,-0.161423224370592,-0.108565775433484,-0.0234032837247064,-0.0534387757461162,-0.0534387757461162,0.0234901728274762,-0.0448390332369123,-0.118208905685369,-0.118169754361613,0.0208975251898988,0.0373461975819332
"miR200a",0.0144776155907862,-0.126987160421313,-0.130348066452856,-0.187622905955139,-0.00498250627117704,-0.168996533845183,-0.121603683174785,-0.122821199894989,-0.122821199894989,0.121714771723109,-0.214808591770581,-0.22949500763155,-0.22962274756046,0.0719546512030539,0.0919888380887566
"miR200b",0.0289731165432809,0.172191906954391,0.116767418482477,0.0998557707514074,0.0819193578064661,-0.0213079199862438,0.1116293811386,-0.0879866680613184,-0.0879866680613184,-0.111783471705629,-0.0592430095159814,-0.152368559644932,-0.152345418353463,-0.132611113344037,-0.159579461194179
"miR101",0.0824075501846651,0.04307298708824,0.0151184000348354,-0.0364044712695112,-0.0772362929268135,0.048209691831848,-0.0155071795343659,0.0719436268531485,0.0719436268531485,0.0156743182947241,0.142253845004094,0.224743313460042,0.224955740619348,0.034903676767494,0.0564737692859618
"GSC",0.101601263604251,0.13014973575149,0.0932801560173839,0.0889371284450074,-0.0245334237534463,0.0729010542041316,-0.00908217249685828,0.0715315248612813,0.0715315248612813,0.00921152227759463,0.150405669622118,0.225005413256284,0.225212271516611,0.00918514783069119,-0.0800454520768233
