"","miR200c","miR200a","TGFbeta","miR200b","miR141","FOXC2","miR34a","miR101","TWIST1","TWIST2","SNAI2","SNAI1","ZEB1","GSC","ZEB2"
"miR200c",0.309184785651979,0.309184785651979,0.255937774127639,0.0809275697109992,0.263324419255026,0.184667753855971,0.119590974712293,-0.00611072759883657,-0.0275804419760988,-0.0378915117220574,-0.179562486567549,-0.196545897824339,-0.264014955392466,-0.253533244581669,-0.364538811776
"miR200b",0.309184785651979,0.309184785651979,0.255937774127639,0.0809275697109992,0.263324419255026,0.184667753855971,0.119590974712293,-0.00611072759883657,-0.0275804419760988,-0.0378915117220574,-0.179562486567549,-0.196545897824339,-0.264014955392466,-0.253533244581669,-0.364538811776
"miR200a",0.309184785651979,0.309184785651979,0.255937774127639,0.0809275697109992,0.263324419255026,0.184667753855971,0.119590974712293,-0.00611072759883657,-0.0275804419760988,-0.0378915117220574,-0.179562486567549,-0.196545897824339,-0.264014955392466,-0.253533244581669,-0.364538811776
"miR101",0.232006955355506,0.232006955355506,0.137501657987165,0.0976517641878643,0.144058354924099,0.247647311117942,-0.0131776171885295,-0.0881862245313956,-0.179921040443834,-0.0685163267445522,-0.153873276785563,-0.234922460213021,-0.144627441487314,-0.13558747934222,-0.330282273284211
"TGFbeta",0.0109288563363656,0.0109288563363656,0.176725983495491,0.241570254993698,-0.163521757529626,0.273901296752329,-0.286100729699862,-0.0892034902844206,-0.0722965567403675,-0.235142754192162,-0.152354825975773,-0.338246155601039,0.163561605792461,-0.275138579481811,-0.206241250927546
"TWIST2",0.0685928057015541,0.0685928057015541,0.0468834635978483,0.0249755148158507,-0.0192116450298474,-0.125510228246368,0.100539626269704,0.0533783690302128,0.0477981837474249,0.143425740759366,0.102761530365616,0.226915786994857,0.0188202607608565,-0.0464358299443994,-0.154254712611096
"ZEB1",-0.248871609452932,-0.248871609452932,0.00017490610457726,0.239543255300873,-0.287490607276446,0.150446075812318,-0.304463830249579,-0.123063361203682,-0.0260239595282204,-0.157283002482301,0.0766070208210445,-0.175769551264361,0.187826458659703,-0.000137795604865186,-0.00223932388327761
"FOXC2",-0.248750645678399,-0.248750645678399,0.000137795604865186,0.23918159164807,-0.287055968603215,0.149941718597851,-0.303913957458955,-0.12288442368961,-0.0257013596118575,-0.156474868321467,0.0765870799967878,-0.17528981652945,0.287490607276446,0.0001666268227653,-0.00215195660010395
"miR34a",0.161396097304547,0.161396097304547,0.00487196986846765,-0.0820381180410247,0.213330515329574,-0.20803526679183,0.231544489577182,0.116682339794771,0.0894701714752942,0.134477062874779,-0.0193541688277608,0.256738774893009,-0.213457908071962,-0.00530578434148924,0.007373153933208
"SNAI2",-0.0776004520112735,-0.0776004520112735,-0.0404984485338887,-0.0293570656152085,-0.0740391782361772,-0.105565152219318,0.0135080821729079,0.0144942529294101,-0.00480939051959219,0.116694696491413,0.0200510124728979,0.152700736789856,0.0744414195340669,0.0393257214944471,0.0847676872396277
"TWIST1",-0.187050506084309,-0.187050506084309,-0.0577086241760056,0.02426154222983,-0.218922984922332,0.100984976650922,-0.211176451825988,-0.0890977310980466,-0.166250675308933,-0.013868861804216,0.0481605577220101,-0.196957376095867,0.219206896839632,0.057334332656382,0.144191904429968
"SNAI1",0.000110394542727481,0.000110394542727481,-0.0865517214818042,-0.173643108241931,0.177448548156671,-0.28050630449647,0.274045755581445,0.127538152851612,0.187970480867287,0.180421776233828,0.127609050532723,0.190123930486623,-0.177481317202906,0.0856877349312874,0.208660110890184
"GSC",0.0321993449658723,0.0321993449658723,-0.0863768405168808,-0.217570692347343,0.250335654899233,-0.314743762984921,0.268634811812653,0.183554860347951,0.111134253404614,0.14660193933877,0.038773547179477,0.315275364497017,-0.250440803753651,0.0851723101196823,0.223397443328608
"miR141",-0.309184785651979,-0.309184785651979,-0.255937774127639,-0.0809275697109992,-0.263324419255026,-0.184667753855971,-0.119590974712293,0.00611072759883657,0.0275804419760988,0.0378915117220574,0.179562486567549,0.196545897824339,0.264014955392466,0.253533244581669,0.364538811776
"ZEB2",-0.533118362479305,-0.533118362479305,-0.373230833122158,-0.29209597705668,-0.285891449577567,-0.216118653967172,-0.162016647802782,0.00590296368063708,0.0244425414629729,0.0338085133770624,0.20708540675348,0.224091673515968,0.287505436468589,0.368374690634717,0.491314743880591
