"","ZEB2","SNAI2","miR34a","miR200b","TWIST1","miR200a","ZEB1","miR101","TGFbeta","TWIST2","GSC","FOXC2","miR141","miR200c","SNAI1"
"miR101",-0.114870938978897,0.0808740656759873,0.0637901021699675,0.0225523571400579,0.000341234431033502,0.107388343399731,0.101215073853876,-0.00190207901647816,-0.00700351722865534,0.0310548579903008,0.00706685402205424,-0.0717913555189588,-0.101410452284506,-0.107388343399731,0.0146591049931201
"TWIST1",-0.103407941290056,-0.0315262961806692,0.0392840756672626,0.0227904353706542,0.0911729459192673,0.0528255909972365,-0.0152885516460565,-0.0147087505787872,0.00867277365388308,0.0836818171421062,-0.00832388048737682,-0.192703605966619,0.0153790404671868,-0.0528255909972365,0.000369132247241309
"ZEB2",-0.0689345961188727,-0.0325940827669712,-0.0300538910728091,-0.025814347511777,-0.0238064839006577,-0.0219524950004392,-0.0113917193624446,-0.0053031215098795,-0.0052072377502351,0.000510744720780051,0.00513112266422505,0.00524621757678082,0.0108089322365158,0.0219524950004392,0.022155820724932
"SNAI2",-0.0631793488529676,-0.0622256664596094,0.0232592580730662,0.0370444990368519,-0.0269098942069726,0.0347499910197958,0.00936370115197756,-0.00915372989161282,0.0113529529303127,-0.0100353675127007,-0.0119867900829212,-0.0215792454874829,-0.00877457338928988,-0.0347499910197958,-0.0553121129906408
"miR200b",-0.0411187767085157,0.085649429928893,0.013564335696963,0.0843545604094824,0.104661766660419,0.0186974605836284,-0.00194262044942773,-0.0293084869585429,0.123791286355387,-0.0453442283536192,-0.123677808806024,-0.0622505674672382,0.00207776559160783,-0.0186974605836284,-0.144191541065825
"TGFbeta",-0.0344003142636258,0.094802877381192,0.135835339422628,0.089342132405372,0.0912369828207568,0.0457462598259143,0.0661377577732882,-0.00619681290646226,0.0880355112892789,-0.051301855033823,-0.187416036552233,-0.0542124927398815,-0.0666595503803373,-0.0457462598259143,-0.108710372629931
"miR141",-0.0299722264179477,0.121007329289407,0.115151897173022,0.0373086599303636,0.0842426285788873,0.024286056704592,0.0185826768789805,0.0236498780964726,0.108958207199932,-0.0061383000512949,-0.109494537933236,-0.0229066214543612,-0.0184965912747151,-0.024286056704592,-0.0731602929690765
"GSC",-0.0289150121205207,-0.00150412614459918,-0.0633135405075927,0.0574436098341304,-0.193241503583788,-0.00498943433488853,-0.0555590377650762,0.084949952746508,0.0219376278370734,-0.032961784415772,-0.0216757734028998,0.0119810324936094,0.0552868299830783,0.00498943433488853,0.0693292870203642
"FOXC2",-0.0164510689155915,-0.0623342465186394,0.00201085535360181,0.016351344681783,0.024300503562031,-0.00205053495913672,-0.013774159975921,-0.0827381138402412,0.00811533273339564,-0.020060371423375,-0.00736257909416389,-0.0990535722804951,0.0138307591151869,0.00205053495913672,-0.106640126151956
"miR200a",-0.00376126435108082,-0.075550291183491,0.000759458605090656,-0.032023009977514,-0.0945461440525574,0.0103903972925075,0.013398609875424,0.0310526298857162,-0.116361892236817,0.0450575207971304,0.116308139713435,0.060126480834074,-0.0141196925176041,-0.0103903972925075,0.137010039779707
"ZEB1",0.0163909483783567,0.0623768228731334,-0.00183104620497201,-0.0163411959568319,-0.0232371186525382,0.00186706358819465,-0.0859381106300652,0.0826658278246226,-0.00789906809714252,0.0194714370512636,0.00811533273339564,0.0991507420190622,-0.013774159975921,-0.00186706358819465,0.107145728936299
"miR200c",0.0299722264179477,-0.121007329289407,-0.115151897173022,-0.0373086599303636,-0.0842426285788873,-0.024286056704592,-0.0185826768789805,-0.0236498780964726,-0.108958207199932,0.0061383000512949,0.109494537933236,0.0229066214543612,0.0184965912747151,0.024286056704592,0.0731602929690765
"miR34a",0.0689602158127494,0.0662608449607213,-0.0691819020772829,0.0626057319978828,-0.00543156760587896,-0.109420048702965,-0.0722177047522299,0.0605076387888456,0.0413823546081021,-0.00712677106164018,-0.0410468309667301,0.0719885877819974,0.0718855399720768,0.109420048702965,0.0584582333807838
"TWIST2",0.0693241022872777,0.0411032522390403,-0.00904360621434911,-0.0254016743420255,0.0379325135146908,-0.0225521442263889,0.0214099580291371,0.0287024788058903,-0.0126690461303645,-0.0693974200592458,0.0122802669648533,-0.036475502428461,-0.0214666867602605,0.0225521442263889,0.0146470359167675
"SNAI1",0.0720606245632805,-0.0683973265854572,-0.0803413018448104,-0.0339266911953532,-0.0124590000548982,-0.0639480825971371,-0.0580719148336688,0.0190202446064452,-0.0064244508466843,-0.0140797195345895,0.00669685046128048,0.0876226893862021,0.0582388514843013,0.0639480825971371,-0.0910211804666471
