"","miR200b","ZEB1","miR141","TGFbeta","FOXC2","miR101","TWIST1","SNAI2","miR34a","TWIST2","SNAI1","GSC","ZEB2","miR200c","miR200a"
"miR200c",0.211645957781652,-0.165739738363704,-0.166121106847117,0.191957363678446,0.211104405858433,0.145990116402691,0.132307282607608,-0.0114051810067665,0.231348658909045,0.104534814653813,-0.307266756783073,-0.192293018324455,-0.310814180044029,-0.069411005685261,-0.069411005685261
"miR200b",0.0551690976636105,0.20761237492263,0.20755220756481,0.0916056269364811,0.128805665072727,0.0232937478390728,-0.00384164901681345,-0.106528388618151,-0.0927145131266584,-0.101615211589211,-0.153371265274441,-0.091621155443236,-0.269722984966455,-0.23653422752432,-0.23653422752432
"TWIST1",-0.00129079800537606,-0.0241877964878573,-0.0243711076527259,0.00238314663097494,0.0393866072156187,0.328111343647734,0.336044401592344,0.325883862040211,0.10746528011558,0.279811257933773,-0.331451172739132,-0.00266520202611984,-0.259874103986342,-0.11017566232734,-0.11017566232734
"miR141",0.129809936604407,-0.172323009832104,-0.172324861135421,-0.0370772867370683,-0.106535235240712,-0.0200276649663949,0.00359048265059678,0.092432374774666,0.0742630368716714,0.0856168903599759,0.131188769382915,0.0370760922365487,-0.209417812106632,-0.0191440474270397,-0.0191440474270397
"TGFbeta",0.130411551813484,0.0111071303875974,0.0108049738749165,0.110196869329248,0.203355725804662,0.179503113384133,0.161043812471754,0.0245955563744437,0.186246252996537,0.0411738848557508,-0.336682425338427,-0.210490474543161,-0.188701752359401,-0.0949021558479762,-0.0949021558479762
"miR34a",-0.0102807889633471,-0.0458558259685279,-0.0460228520085481,0.00891120251308421,0.0837533584818041,0.206084328573809,0.226973879456513,0.212969988262784,0.0957625264535721,0.309578377369861,-0.193724009910924,-0.00911445824519923,-0.147142268283085,0.00765462684956198,0.00765462684956198
"TWIST2",0.0850107666886896,0.0645140265976063,0.0646059359371783,0.0229197565747535,-0.0853149784922844,-0.188119761724201,-0.113123572107323,-0.199616990661849,-0.0986895317802467,-0.20125733835409,0.170567936222428,-0.0227607362756143,-0.145679225732371,-0.104428178869705,-0.104428178869705
"FOXC2",0.188480260095819,-0.167863834637285,-0.168234398813233,0.0920618542717477,0.148134119243421,0.165347497834801,0.163761991055712,0.132515681020315,0.225420255073272,0.229754274981291,-0.203819002123548,-0.0924326961381339,-0.0503385797804378,0.159917888682809,0.159917888682809
"ZEB1",-0.188338177946503,0.0677134534209014,0.167863834637285,-0.0918647847215525,-0.148138746373829,-0.166254035571657,-0.164610309354296,-0.133073485158305,-0.2254135402088,-0.230359055121262,0.204227011812308,0.0920618542717477,0.0506060125150338,-0.159447345387617,-0.159447345387617
"SNAI2",-0.242747656696444,0.0428371832984786,0.0429279471550382,-0.220466235657107,-0.0750424315224013,0.201539550215072,0.136657226839244,0.122380553123637,-0.0321053093317304,0.200290839307187,0.0223892027577049,0.220489330937971,0.0576829061093757,0.00680867261927672,0.00680867261927672
"miR101",-0.179842669948501,0.197792332180278,0.197739481121381,-0.0822653257866237,0.108124999819449,0.298888998564251,0.287993365799429,0.22248682188811,-0.0126313570174173,0.102907889442598,-0.272541426843444,0.0821280960675927,0.0963256196408131,-0.0503549090747421,-0.0503549090747421
"GSC",-0.109902100864732,0.0894699819674496,0.0896734007792675,-0.0447980942929556,-0.232410520762534,-0.192351482149344,-0.0957629016360527,-0.0726700639101238,-0.123240790984358,-0.100025261829336,0.215598303233099,0.0449943273749507,0.179766419844621,0.0402811699411596,0.0402811699411596
"SNAI1",0.0676806847230988,-0.136214283706762,-0.136084444089603,0.041756887971705,-0.158843081290236,-0.414928846514343,-0.41847428679516,-0.32520650840114,-0.145240663080157,-0.258141322478033,0.304021416885103,-0.041532862087794,0.212147428589099,0.167594225284268,0.167594225284268
"ZEB2",-0.237624868624323,-0.0768742490392468,-0.0768060664292961,-0.0687477111654813,-0.0543899228137317,-0.00789990671674432,0.000627335145554361,0.0446222384417194,0.0447294489758285,0.044763045824329,0.060941072114107,0.0687933802170873,0.228542388129473,0.303493552207144,0.303493552207144
"miR200a",-0.211645957781652,0.165739738363704,0.166121106847117,-0.191957363678446,-0.211104405858433,-0.145990116402691,-0.132307282607608,0.0114051810067665,-0.231348658909045,-0.104534814653813,0.307266756783073,0.192293018324455,0.310814180044029,0.069411005685261,0.069411005685261
