"","ZEB2","SNAI2","miR200b","miR34a","TWIST1","SNAI1","FOXC2","miR141","TGFbeta","TWIST2","GSC","ZEB1","miR200c","miR200a","miR101"
"TWIST2",-0.0899140964709476,0.0989317559608767,0.111585238220877,0.0767380694322874,0.15478489548969,-0.00697970385313506,0.0990338237078203,0.13004862366028,0.0255345737712079,0.066580500423627,-0.0255645669237146,-0.130051701963519,0.0212140533408666,0.0212140533408666,-0.0584981501355607
"TWIST1",-0.086745015992992,-0.22662147892243,-0.0218707826147374,-0.00235679463721289,-0.118376509436607,0.00750996797822421,0.0869722794796861,0.0611410181777345,-0.0131947395872613,-0.165132275913127,0.0131786985221346,-0.0611355732916493,-0.0171407133179017,-0.0171407133179017,0.142986446307357
"ZEB2",-0.0828521974304854,-0.0321939549071352,-0.0250509174178983,-0.0239915196496991,-0.0219774898259089,-0.0181408508719427,-0.0129721821130376,-0.00680884234612344,-0.00546151658843286,-0.00334985968227427,0.00541584753682683,0.00682825199421159,0.00803229851943465,0.00803229851943465,0.0251361466835807
"SNAI2",-0.0561567998264874,0.266430175797379,0.281599049275731,0.0308532228350554,0.180370965247224,-0.000529107071370811,0.0724023228538741,0.050620943759871,0.221682151096718,0.326566451552171,-0.221653923531218,-0.0506266374335297,-0.00204899666061524,-0.00204899666061524,-0.285138420047757
"TGFbeta",-0.0278847067951665,0.193546505605473,0.153511657478038,0.103811654074026,0.119605906240873,0.0671061029247996,0.0833353313895972,0.0299981322181046,0.115154360043548,0.128096584360696,-0.215160812905392,-0.02999279819867,0.00482742961977222,0.00482742961977222,-0.129355892850683
"miR101",-0.0246409673848641,0.080304734100574,0.025297318351241,0.0302146677279396,0.00394075482087766,-0.00838229605221843,-0.00311968962984417,-0.00345968355732124,0.00958916859514322,0.00976566086116328,-0.00961555892572609,0.00347025376910054,-0.0127801047753896,-0.0127801047753896,-0.0855142500755577
"miR200b",-0.0230350650686441,0.209763398721396,0.067041100100393,0.0134047815924769,0.154231292211229,0.11028897086245,0.0467541894001706,0.0204196651718879,0.122140299037535,0.119902380480848,-0.122136715535976,-0.0204020777903713,-5.14348683671154e-05,-5.14348683671154e-05,-0.160431044270657
"ZEB1",-0.00395012415747488,0.118070724369356,0.0189413427225288,0.0120849345477917,0.0890458575970366,0.0766599561605658,-0.0733352401554524,0.00759983258921424,0.00498624805768146,0.103428077002198,-0.00498624805768146,-0.107604845296427,0.00247324147852369,0.00247324147852369,-0.0986817637537813
"miR200c",-0.00357884072980618,-0.118076236101281,-0.0326681252122452,-0.0900005257017985,-0.0750656743058811,-0.0574358865517895,-0.0582133224956937,-0.00526837254614414,-0.110100811153655,-0.0154784903393051,0.110085282646901,0.00530262165751855,-0.00508011982760775,-0.00508011982760775,0.0875618270768412
"miR200a",0.000135441916786095,0.199718360549869,0.0155448091383914,0.00232208950167604,0.145378011928874,0.104896631627128,0.0413922372518287,0.0115324925811631,0.114505819322887,0.118832382615082,-0.114456844801583,-0.0115436004010683,0.00689157796115955,0.00689157796115955,-0.152615202556741
"FOXC2",0.00395989744677905,-0.118058328721845,-0.0189570271156351,-0.0120901572201586,-0.0890458575970366,-0.0766399672132778,0.073296680735386,-0.00762653029641515,-0.00498624805768146,-0.103425436040888,0.00494750338507394,0.00759983258921424,-0.00249465611803428,-0.00249465611803428,0.0986853188037297
"miR141",0.0230350650686441,-0.209763398721396,-0.067041100100393,-0.0134047815924769,-0.154231292211229,-0.11028897086245,-0.0467541894001706,-0.0204196651718879,-0.122140299037535,-0.119902380480848,0.122136715535976,0.0204020777903713,5.14348683671154e-05,5.14348683671154e-05,0.160431044270657
"miR34a",0.0235671672527016,-0.22118507716762,-0.0916823193105425,-0.0558663694096576,-0.138386917374179,-0.0707445156567585,0.0140590541476207,-0.00873811552534307,-0.0386548239552684,-0.255750638480052,0.0386432960182231,0.00874283377506115,0.0454834219627665,0.0454834219627665,0.157236328640055
"SNAI1",0.0577621797371723,0.0318177828872061,0.0199924719371154,0.0782317613194533,-0.0257017861408788,-0.119075075877499,-0.0104439948418719,0.0848672871734915,-0.00219422986599749,-0.0341225489804438,0.00219462637198671,-0.0848759431479687,0.0748856917991585,0.0748856917991585,-0.0543301913300017
"GSC",0.0863633992289492,0.0527978054319693,-0.0245929357166386,-0.0259503070681028,-0.0953995653082987,-0.00815728095574256,-0.170306384342086,0.0133665695973019,-0.00969488642340045,0.04092287571679,0.00972075637954772,-0.0133729571445329,0.0443011730019993,0.0443011730019993,0.0255736407396762
