"","ZEB2","miR34a","SNAI2","ZEB1","miR141","miR101","TGFbeta","GSC","TWIST2","miR200b","miR200c","miR200a","FOXC2","SNAI1","TWIST1"
"SNAI1",-0.104666710125867,-0.0785880977441344,-0.0951060138066036,-0.0629575329912324,-0.0629578421331781,-0.0992758718479087,0.000879185114252263,0.00088275366815527,0.00659068208623562,-0.0200660210736419,0.0799640999355484,0.0799640999355484,-0.0227501710494972,-0.0955086695068248,0.00105831023167947
"ZEB2",-0.0868113996332475,-0.0410847512316026,-0.0351788250542547,-0.032739522180542,-0.0327131449664735,-0.0269491888899494,-0.00520451973992505,-0.00512333031484766,-0.00226183217545873,0.00530187803083729,0.00539359258703836,0.00539359258703836,0.0127442885487153,0.0186254415516332,0.0219677875743302
"GSC",-0.0846885325032245,-0.118507368509767,0.0165198948987167,-0.132754891507438,-0.132750960709142,-0.0882088438790385,0.0134960543280319,0.0135358057240631,-0.0678203828504119,-0.112216251731536,0.11186577758154,0.11186577758154,-0.160782234071161,0.0938063342294089,0.0191079000329486
"TWIST2",-0.0644938321266,-0.00951014123339506,0.127550985205232,0.0722200620153561,0.0722288571674682,0.0280996743210524,0.0244320454593874,0.024454115892364,-0.118500699268395,-0.0403378192483562,-0.00408253872185667,-0.00408253872185667,-0.0463830237227408,0.0762255765817477,0.0224780782408915
"TWIST1",-0.0264870650344684,0.0991004510164135,-0.106422686346023,0.130480736569982,0.130496034107079,-0.0331741796290218,-0.00712198564913898,-0.00708321974174939,0.154340919839101,0.0656747483517197,-0.0467429996343742,-0.0467429996343742,0.101324750331507,-0.00575277749692486,-0.122380756650428
"miR200c",-0.0258915389554816,0.137595573343781,-0.190750525958271,0.227080548993504,0.227078697690187,-0.0996569926916297,-0.110635185421551,-0.110641157924149,0.170582113103374,0.111601895463182,-0.102273952240383,-0.102273952240383,0.0731577919608746,0.00933659586940285,-0.00891489022505565
"miR200b",-0.0258915389554816,0.137595573343781,-0.190750525958271,0.227080548993504,0.227078697690187,-0.0996569926916297,-0.110635185421551,-0.110641157924149,0.170582113103374,0.111601895463182,-0.102273952240383,-0.102273952240383,0.0731577919608746,0.00933659586940285,-0.00891489022505565
"miR34a",-0.0111717446976993,-0.0275118146722534,-0.0495399860566319,-0.076087627207423,-0.0760956482319438,-0.0126659198095717,-0.0126006565049396,-0.0126061171066979,0.158470953770101,-0.0118004569387885,0.0901773919832589,0.0901773919832589,0.0105639610952424,0.00336682610956551,-0.049783908671941
"ZEB1",-0.0032388500486912,0.211601877780706,-0.0924641943611563,0.106447865631701,0.206452878338913,-0.00597763120906974,-0.00186133772733415,-0.00185493936531483,0.201051795415835,0.209181877166273,-0.20219018484215,-0.20219018484215,0.0717430046711083,-0.0790678352714554,-0.104150541127116
"miR200a",0.0016166860448171,0.191165467510602,0.14198010652115,0.196137600742313,0.196180180718616,0.103475531246342,0.116298331549988,0.116392697091037,0.0112956782180448,0.0249600660596206,-0.0980212139140768,-0.0980212139140768,-0.0629557466512823,-0.064644404997351,-0.0834336970793171
"miR141",0.0016166860448171,0.191165467510602,0.14198010652115,0.196137600742313,0.196180180718616,0.103475531246342,0.116298331549988,0.116392697091037,0.0112956782180448,0.0249600660596206,-0.0980212139140768,-0.0980212139140768,-0.0629557466512823,-0.064644404997351,-0.0834336970793171
"FOXC2",0.00323499996502592,-0.21162799114254,0.0924690448319215,-0.206452878338913,-0.206475304412962,0.00595985595932749,0.00185493936531483,0.00185493936531483,-0.201054436377145,-0.209191103279865,0.202202339097007,0.202202339097007,-0.0717723098303587,0.0790713627327416,0.104153528163378
"miR101",0.00653760500736475,0.0422311543446487,-0.119548665834873,0.11068996456,0.110688941636279,-0.105250481135302,-0.00935884259092147,-0.00939227034299311,0.062166751731743,0.0905927348803214,-0.0587746022432436,-0.0587746022432436,-0.00916812349408065,-0.00813932416849775,-0.0224521852551387
"TGFbeta",0.0354202405515705,0.0294440837702003,0.199688632510639,-0.0379088875215434,-0.0379292823017347,0.104215244837755,0.108548872885545,0.208490797128947,-0.159007268828032,-0.137740755537891,0.00601740267860093,0.00601740267860093,-0.0675014812156918,-0.00971185749472296,0.00746620110906527
"SNAI2",0.0950533856719374,-0.0224174621267051,0.0920582592426729,-0.0520244906839739,-0.0520201366982348,0.204893584722757,0.186568266853324,0.186605048226552,-0.205250704464621,-0.181084447560801,-0.020961049621966,-0.020961049621966,0.0364349925645944,-0.0205436624150638,0.108457892867551
