"","ZEB2","SNAI2","miR101","ZEB1","TWIST1","miR200a","GSC","TWIST2","FOXC2","SNAI1","miR200b","TGFbeta","miR200c","miR34a","miR141"
"GSC",-0.124053416681063,-0.160437901864065,-0.176321002792106,-0.129370891094465,0.157051238536132,-0.00696232704388016,-0.0683751861837973,-0.0723173044215073,-0.0254412192796365,-0.0877552291671525,0.153787821252163,0.0685070598626943,0.00696232704388016,0.0220064251819624,0.129230365055383
"TWIST2",-0.117769176349518,-0.160714103535678,-0.126912037425345,0.148342864712256,0.126028977391432,0.134513548354847,0.0681389355668809,-0.186006372599434,-0.0887369377571084,-0.0737713025553474,0.0461572749290163,-0.0678871062675323,-0.134513548354847,-0.122129083992169,-0.148143654516916
"ZEB2",-0.0856608667259837,-0.050023078235435,-0.0281270134573555,-0.0236162658939167,-0.0168988195447849,-0.0168955393362704,-0.0159057916054757,-0.0150657007359257,-0.0132050583317344,-0.00636302818474482,0.0123125954617165,0.0159590721656827,0.0168955393362704,0.0203636206081358,0.023532157418868
"TWIST1",-0.0825381920241163,-0.199645309159173,-0.12262468603473,-0.0431990679091577,-0.0377136078761543,0.0251035707449702,-0.0277700717669443,-0.155203460312672,-0.159434543695772,0.0201548235714031,0.0968568366764334,0.0280360860969625,-0.0251035707449702,-0.0112696142646368,0.0432335521876974
"SNAI2",-0.0665089192245528,0.0368742302956277,0.115265799926265,-0.0388556194334285,0.198542259154878,0.0141207809388435,0.183240529124268,0.154985380103411,-0.121132238630818,-0.102237379814097,-0.145519958470805,-0.183243095266586,-0.0141207809388435,-0.0176863106611686,0.0387380618184749
"ZEB1",-0.00762190178711509,0.212263674734477,0.0767607851816845,0.0690790984795256,0.038499181687124,0.1865710633884,0.193805249997281,-0.0290817865847692,-0.0514075253455329,-0.0605554578955453,-0.218349695370804,-0.194171236304787,-0.1865710633884,-0.176808293856527,-0.168913679141504
"miR200a",-0.00338033131653775,0.0489716718849562,0.0462605655134901,-0.219767086454895,0.0468125599193534,-0.108540192171485,-0.0122441160808629,0.110854726617267,0.0395985190379672,0.0466094066973377,0.0576989770210641,0.0118654594161473,0.108540192171485,0.200075831768434,0.219406082307975
"miR34a",0.00281910294306992,-0.120714335213292,-0.0363077395278705,0.140152653192396,0.0080660523041014,0.122599087290869,0.0787477840290702,-0.0310679911240886,0.0831100098897176,0.0354300762123861,-0.00614408057857291,-0.0785967073804235,-0.122599087290869,-0.052622556938149,-0.140018183075431
"FOXC2",0.0078158867717888,-0.211777010834375,-0.0765747375677155,-0.168913679141504,-0.0395565925240916,-0.186410742979091,-0.193849529623119,0.0286486689299429,0.0520476117186339,0.0608094351081454,0.21801201961334,0.193805249997281,0.186410742979091,0.176595656481591,0.168308175142187
"miR141",0.0100887402379353,-0.210793330721471,-0.108669877288822,-0.153582391704663,-0.0825340967136496,-0.0799842261892061,-0.19677454705184,-0.0729861474526808,-0.0407843662180801,-0.00697940224682869,0.123962805591099,0.197114979699928,0.0799842261892061,0.0834888189911756,0.153418551361061
"miR200b",0.0106483381457366,-0.0652481408531888,-0.0554371154408371,0.206052422938544,-0.0538520476931478,0.0981279310172351,-0.00127619025546656,-0.116328597257477,-0.0448039311933283,-0.0479147537417658,-0.0835785918349212,0.00155211987549595,-0.0981279310172351,-0.190563247277082,-0.205775653092573
"miR101",0.0122961303173528,-0.143578063852573,-0.12945976796525,-0.091649211699296,-0.0218557926224699,-0.051079956211472,-0.0639881239175508,-0.0499052881913481,-0.103543753035559,-0.0140104658822091,0.0604559591755358,0.0640831291076491,0.051079956211472,0.024340548329283,0.0915152086919002
"miR200c",0.0173567470671341,-0.227069799689703,-0.117846427216169,-0.167297055221013,-0.089573584487444,-0.0903964873434563,-0.210294853388169,-0.0784600180928911,-0.0459897783734412,-0.00828474929125683,0.098083190777242,0.210532558991571,0.0903964873434563,0.0930014034825274,0.167048980576463
"TGFbeta",0.0303265234557142,-0.126420017455037,-0.0542118745360033,0.120010685469937,-0.122102385935233,0.0480916747807929,-0.148581636335771,-0.158504911353257,-0.00200450627854544,0.0159115155733364,0.065089376674999,0.0488349111631573,-0.0480916747807929,-0.107350557221707,-0.119780695102548
"SNAI1",0.0869217588679431,0.065492135025483,0.0884503496562153,-0.10566604387325,0.0164984871070689,-0.0975575672337667,-0.0542322411526987,0.0854558332104865,0.084507828089388,-0.0901358196965095,-0.019144681799413,0.0541937800717441,0.0975575672337667,0.112463017863332,0.105561553895632
