"","ZEB2","SNAI2","TWIST2","GSC","miR200c","miR200a","miR141","ZEB1","TGFbeta","miR200b","miR34a","miR101","TWIST1","SNAI1","FOXC2"
"ZEB2",-0.0868889853351226,-0.0390083235811851,-0.0111822268489649,-0.00692265556623913,-0.00315402107836341,-0.00315402107836341,-0.00275177602633903,-0.00259500579178089,0.00641522165950548,0.0106762846501406,0.015526110738728,0.0168121011659906,0.0593503721549379,0.0735128192887239,0.0902048340316352
"ZEB1",-0.0157149446147786,0.086777734018971,-0.0126501210055414,-0.00197008468875984,-0.00775060416770472,-0.00775060416770472,0.0192157701129732,-0.0805240703826832,0.00195216927510574,-0.0287544326267653,-0.00858209016373747,0.099691070584652,0.0285563094779054,0.115084010498298,0.128518724436293
"TGFbeta",0.00310582450149324,-0.0501875873512494,-0.0273810960930327,-0.182752231784488,0.0187844887745829,0.0187844887745829,-0.0356642762718361,-0.0356357235795682,0.0828361189884633,0.0956773316264369,0.113418572943516,0.0139445887264967,0.0698644111801288,0.0787390215221956,0.127446289031
"miR200c",0.00314123970476664,0.0206813899986657,0.0135704456673003,0.107419789628831,-0.0017736742387627,-0.0017736742387627,-0.000476097747925806,-0.000265974821385522,-0.10739470511792,0.0107030148854333,0.00379777838462273,-0.0487238193807094,-0.0818949968177748,-0.118459642706986,-0.146892522110397
"miR200a",0.00314123970476664,0.0206813899986657,0.0135704456673003,0.107419789628831,-0.0017736742387627,-0.0017736742387627,-0.000476097747925806,-0.000265974821385522,-0.10739470511792,0.0107030148854333,0.00379777838462273,-0.0487238193807094,-0.0818949968177748,-0.118459642706986,-0.146892522110397
"miR34a",0.00376522686889244,-0.110409788584917,-0.014302950100649,0.00410153035342659,0.074017302261972,0.074017302261972,-0.0586415165860007,-0.0586216999371847,-0.00409364281755347,0.0923217212120392,-0.0262807149130222,-0.108776536737228,-0.0404519509956403,-0.101725319314641,-0.113085250051614
"miR101",0.00455975134751638,0.0203491711346005,0.0410171470093841,0.0417322221299987,0.0635678826442613,0.0635678826442613,-0.127944217599169,-0.127723607050098,-0.0417023130886714,0.0466407854665535,0.0770988450695492,0.0404273212365226,-0.0102481733155674,-0.0427711967618189,0.038673633825022
"TWIST1",0.0080424517910187,-0.0686599224145555,-0.0804467037698335,-0.00764107326149725,0.0143051893247406,0.0143051893247406,-0.062820645959458,-0.062859278722634,0.00764374677235171,0.0537418983161836,-0.00333316740649785,-0.053730991871899,-0.0964545716679993,-0.00367667807439151,-0.00123824830214626
"miR200b",0.0123796350363233,-0.076339050131767,0.0195332843514737,-0.0981947173117099,0.011675231127861,0.011675231127861,-0.0352537567689135,-0.0350260464608566,0.0982413028319746,0.0544660102141595,0.112573463161734,-0.0181469922345952,0.0575323538568362,0.0401731574304052,0.0821089623402155
"miR141",0.0123796350363233,-0.076339050131767,0.0195332843514737,-0.0981947173117099,0.011675231127861,0.011675231127861,-0.0352537567689135,-0.0350260464608566,0.0982413028319746,0.0544660102141595,0.112573463161734,-0.0181469922345952,0.0575323538568362,0.0401731574304052,0.0821089623402155
"FOXC2",0.0155896688155161,-0.086743780723615,0.01237546102931,0.00205310898720452,0.00784841698060443,0.00784841698060443,-0.0197208907332144,-0.0192157701129732,-0.00197008468875984,0.0291160962795682,0.00885292303076077,-0.0998297175326416,-0.0285383872603296,-0.114897055050134,-0.128603555160439
"SNAI2",0.0205448998845171,-0.095215960613768,0.00418337152096298,-0.00138868801329507,0.000463078633185574,0.000463078633185574,-0.021647554499215,-0.0217905661846429,0.00149389984834344,0.0136812304477846,0.00294763148668829,-0.00739363187155359,0.046094154746154,-0.0226025851586057,-0.00236942878795008
"GSC",0.0209495176625352,0.030219750875281,0.00211262087029089,-0.0131499691516791,-0.0176802392803491,-0.0176802392803491,-0.00911778232213598,-0.00900575457070001,0.0131644815661032,0.0291302961629417,-0.0297753248954092,-0.0419703027275356,-0.108804729145338,-0.018504089392225,-0.156872204380017
"TWIST2",0.061486751738255,-0.10268000132359,-0.108247471112406,-0.0237628141019866,-0.00240293670293165,-0.00240293670293165,-0.0581158600256745,-0.058067046931452,0.0238301572179922,0.07759478451598,-0.0224107056736077,-0.0983648058131835,-0.027907363231642,-0.0885002054505815,-0.0303450005302225
"SNAI1",0.0654094737114627,0.0188349460280815,0.0500789645067598,0.0103654835047712,0.0320785015389965,0.0320785015389965,-0.131150270863577,-0.131171292515879,-0.0104491462684973,0.0622074731383614,0.114179557570634,0.05355574216838,0.00435337722662845,-0.114366286461616,0.0744126973504754
