"","miR200c","miR200a","TGFbeta","GSC","TWIST1","miR34a","miR141","FOXC2","TWIST2","miR101","ZEB1","SNAI2","SNAI1","ZEB2","miR200b"
"miR200a",0.143882873668291,0.143882873668291,0.228534592677186,0.227749805835804,0.126073666801436,0.128663532090304,0.0241382668669448,0.0326616529340803,-0.0213720997782743,-0.0115256029359834,-0.0242428655043856,-0.0859477460989045,-0.109496215765142,-0.2678947810665,-0.115110770680375
"TWIST1",0.0939103875076823,0.0939103875076823,0.0603702475440886,0.0603301448812718,0.0514504033155583,0.0222001179538919,-0.00107507323815663,0.250623398570394,-0.121896093120837,-0.110215711916727,0.000967990478480939,0.0987732172782961,-0.0875585984565281,-0.231151752000716,-0.0477947047070033
"GSC",0.150105562477644,0.150105562477644,0.104123536458135,0.103671127712828,0.0980894356234081,0.0640135866805961,0.148867274390943,-0.0754245791872719,-0.0235971172139389,0.0621175619996676,-0.148857447395203,-0.0102054473692648,0.0182907197513535,-0.151788386610162,0.00152837389364456
"miR34a",-0.0641974725670263,-0.0641974725670263,0.00011105600656645,-0.000143165341959491,0.0200119842744736,-0.0252388469270956,-0.141408686497572,0.102412780208359,-0.0343441655525644,-0.0479880829114709,0.141207689059582,-0.0244106833065462,-0.100872924675356,-0.14588849767785,-0.124745760162781
"TGFbeta",0.0800376529994556,0.0800376529994556,0.148311911065503,0.248163495243086,0.091873405892764,0.0787094126886445,0.0171172573238804,0.0248208926029842,0.0253626060746854,-0.0113806296213468,-0.0173453650961743,-0.0293769715066077,-0.0504110580131711,-0.145804556668434,-0.116565220001052
"miR101",0.112637459113536,0.112637459113536,0.0864135826442058,0.0860881019003503,0.0085029445848665,0.0459680063952248,0.122365970576288,-0.127546902543485,0.0185361115863327,0.120335411677973,-0.122365629601715,-0.109495184395013,0.0274436857729591,-0.100649318187376,-0.0138997164552526
"FOXC2",0.0105840396928494,0.0105840396928494,0.00788709818805288,0.00773765445085245,-0.0189829642762093,-0.0235568530247499,0.00134484740659908,-0.0990497815916934,0.0231883362564515,0.0127518342084624,-0.00104262936108483,0.080873583829742,0.106009734877549,-0.0294125827424996,-0.0122012869120089
"ZEB1",0.0105938788515435,0.0105938788515435,0.0078538267055524,0.00788709818805288,-0.0196759566891371,-0.0242977264047888,0.00104262936108483,-0.0996991222256103,0.0219576482860303,0.0129829124551118,-0.101208048699107,0.079963312149485,0.105177254014026,-0.0291706197921509,-0.0122326556982214
"SNAI2",-0.0398332984184243,-0.0398332984184243,-0.0324586688174038,-0.0327246922377294,-0.0683799901129199,-0.017737412156101,-0.0486910542822122,0.0282843677323299,-0.0890418341797552,-0.0720712843209038,0.0484509152226062,-0.0110113094820923,-0.0468945854885974,0.0314939332807363,0.0165233026602722
"SNAI1",-0.00945864502667289,-0.00945864502667289,-0.0114541809465549,-0.0111302355533597,-0.0299212437009137,-0.0212725399499876,0.11564791201837,-0.151890250188842,0.0680142091234562,0.138400239154333,-0.11581855837235,-0.0967395529609313,-0.0283662008421398,0.141825437644649,0.0591405376700089
"TWIST2",-0.0120435528413286,-0.0120435528413286,-0.0163415976805893,-0.0164225226015035,0.0602884455986663,0.0463629670298909,0.130274889138143,0.0156688710580886,0.0713673340199943,0.0680076357300298,-0.130340413021378,-0.0784685453201056,0.0478871690267523,0.156272350058484,0.070892884773813
"miR141",-0.102419542572259,-0.102419542572259,0.0247109668820537,0.0246930493742596,0.053231004289281,-0.0314299223405818,-0.00876309319875302,-0.0141204654016155,0.0164970829506989,0.00146584955970664,0.00901394479827909,-0.00385287684620323,-3.79482259491519e-05,0.196713767861788,0.0361506754754642
"miR200c",-0.110425988837057,-0.110425988837057,0.0253101625700831,0.0254212511184066,0.0690384861319048,0.0960111121167177,-0.0001746074310993,0.0253014562079592,-0.0255677255569611,-0.0085262476627268,0.000163499611194086,-0.0543771048352153,-0.0705525851083027,0.221528318806372,0.0826034728632642
"ZEB2",-0.300753785940912,-0.300753785940912,-0.284027534430978,-0.283291755266214,-0.13960991781947,-0.0816775725089723,-0.0473988252752888,-0.0168926799222908,-0.0109117114281345,0.0063953880946885,0.0474480959204356,0.0963887870074505,0.11141329213252,0.251486210075866,0.269089872216745
"miR200b",-0.151889319933088,-0.151889319933088,-0.227935396989156,-0.227021604091657,-0.110266184958812,-0.0012224976330045,-0.0155497810992911,0.00676026867549444,-0.0206927087293856,0.00153350571355,0.0153924203173006,0.0354235181098925,0.0389815788827882,0.292709332011084,0.161563568068175
