"","ZEB2","miR34a","TWIST1","SNAI2","miR200c","TWIST2","TGFbeta","FOXC2","miR101","GSC","miR200b","miR200a","SNAI1","ZEB1","miR141"
"miR34a",-0.112083513335558,-0.110379177851062,-0.104400981046082,-0.100300980728467,-0.120010905796151,0.165243396326301,-0.0783767552395911,0.0224647245034944,0.0516089221273005,0.0782984866143886,0.108001015316883,0.120010905796151,0.0127183616343977,0.209440570756726,0.209417451333108
"ZEB2",-0.090915037586111,-0.0364072946382402,-0.0200856600480024,-0.0193374866765171,-0.0151046427502048,-0.00925247357915106,-0.00856254163494576,-0.0026312135957295,0.000235545803128292,0.00868686294209551,0.014020911692808,0.0151046427502048,0.019017286286559,0.0270487233668373,0.0271029708448273
"TWIST2",-0.0876313236674286,-0.059223434525669,-0.189587420871957,-0.118260579872689,0.00354342503610073,0.081859853001459,-0.0248978096195194,-0.0914430557521742,0.0318672917756657,0.0250047663331754,0.0391740909494957,-0.00354342503610073,0.0429884814283208,0.0769926983777132,0.0769896200744739
"ZEB1",-0.0749425325526209,-0.243547932216364,-0.00287951222815692,0.0882750482547465,-0.190104833821492,-0.214718284957155,-0.10101925688064,-0.0836121133281837,-0.0960443364835489,0.101076842138814,0.18423246534532,0.190104833821492,0.105686591311314,0.131340862929494,0.231330837515069
"TGFbeta",-0.0539385296149261,-0.00353464089484842,0.0827293671843343,0.115505154324161,-0.0279170182961437,-0.109991238520627,0.0795038450380191,0.00558507198323936,-0.0512616114239196,-0.179437703204116,-0.0831224957280017,0.0279170182961437,-0.0133736994573671,0.114510969804587,0.114562741169688
"miR200b",-0.0254180589032733,-0.184581085820594,-0.0829557300047859,-0.0747061224764501,-0.0810513540590013,-0.0488424726362797,-0.156574693540077,-0.0143114548165329,0.00137751357824463,0.156427769976165,0.0829667255008839,0.0810513540590013,0.0722791345662981,0.185807695422894,0.185787331086402
"miR141",-0.0254180589032733,-0.184581085820594,-0.0829557300047859,-0.0747061224764501,-0.0810513540590013,-0.0488424726362797,-0.156574693540077,-0.0143114548165329,0.00137751357824463,0.156427769976165,0.0829667255008839,0.0810513540590013,0.0722791345662981,0.185807695422894,0.185787331086402
"SNAI2",0.0125562202334372,0.0221655036407352,0.130495375077471,0.00178737927048174,-0.00377091217897726,-0.0891344778126423,0.00917519353608061,0.0757697564237362,-0.021462577040902,-0.00909051083957826,-0.0238950210341145,0.00377091217897726,-0.0550277993256956,-0.00385655286786412,-0.00385353857004479
"miR200c",0.0254180589032733,0.184581085820594,0.0829557300047859,0.0747061224764501,0.0810513540590013,0.0488424726362797,0.156574693540077,0.0143114548165329,-0.00137751357824463,-0.156427769976165,-0.0829667255008839,-0.0810513540590013,-0.0722791345662981,-0.185807695422894,-0.185787331086402
"SNAI1",0.03283706579283,-0.00234297924092209,-0.00491721499156862,-0.0687894655859389,0.0249428129571178,0.00964534813931786,0.00956491351518385,-0.0851883540247011,-0.0168450265782562,-0.00948997388322071,0.0063409202465569,-0.0249428129571178,-0.0951972802392539,-0.0986314997982965,-0.098614187849342
"miR200a",0.0338729630491542,0.199254632357401,0.0907927968321516,0.0805826339888861,0.0842524668482008,0.0517201223358201,0.163654765276827,0.0154151633989398,-0.001474301166742,-0.163629680765915,-0.11914284920421,-0.0842524668482008,-0.0781024294347258,-0.201033835442089,-0.200979221994221
"GSC",0.048728754634431,0.141585628190207,-0.0205723914628359,-0.0198246833598582,0.0563056675422168,0.0798213442346799,0.0365322450235478,0.126314464232504,0.112606480276737,-0.0363688226176419,-0.0394610076793539,-0.0563056675422168,-0.10416288460987,-0.159589194910615,-0.159550869627229
"TWIST1",0.0701453468506378,-0.0540487484919169,0.00325457064330764,0.0572642195055034,-0.0702849190516361,-0.121203108132984,-0.020425074038885,0.030656743565601,-0.026330852681997,0.0205199836742182,0.0298762164202478,0.0702849190516361,-0.00259993544681055,0.0722536614870833,0.07222332569318
"FOXC2",0.0750553696200418,0.243483021859805,0.00277197892270259,-0.0882939111966109,0.190067213508838,0.214742053608944,0.101076842138814,0.0836753507770925,0.0960170811006108,-0.101110051858192,-0.184205709615904,-0.190067213508838,-0.105647789237166,-0.231330837515069,-0.231255016026618
"miR101",0.105106440696626,0.108271200447043,-0.0047201209625916,-0.0885187294433142,0.0508423564707526,0.0668315237288989,0.0357585640200546,-0.0749933651928977,0.00305784971597802,-0.0356987459374001,-0.0226776427929081,-0.0508423564707526,-0.01681893662644,-0.205692659925518,-0.205693682849238
