"","ZEB2","miR141","miR34a","miR200c","SNAI1","SNAI2","FOXC2","miR101","TWIST1","GSC","TGFbeta","TWIST2","miR200a","miR200b","ZEB1"
"ZEB2",-0.0966340032063039,-0.0922090421140311,-0.0849186575316144,-0.0350122618455064,-0.0303852718049807,-0.0236941823061465,-0.00236561823314474,0.003644229807535,0.0127673727316926,0.022534138904339,0.0226153283294164,0.0326458346317387,0.0350122618455064,0.0353769973029191,0.0922722478911386
"SNAI1",-0.0741599522445723,-0.145052517037503,-0.126451152175364,-0.118482595373162,-0.0936736753843304,-0.0909968951512158,0.0135442511942513,-0.0978483520537693,-0.0153098815116033,0.0607978421983396,0.0608299591834666,0.016953399005219,0.118482595373162,0.111150045097062,0.145123001401103
"TWIST2",-0.0603356562352785,0.172761233763722,0.146339475623748,0.0580549981729397,-0.0924898261002319,0.102343531304304,-0.0588168242692999,0.0956563924939291,-0.00842887095580243,-0.0477443788455761,-0.0474506723144257,0.0463965153527722,-0.0580549981729397,-0.0704490130835084,-0.172648655816686
"FOXC2",-0.0493834834109067,-0.16379445795962,-0.164995187634346,-0.199555102373377,-0.0893493374903342,-0.0536268522832452,-0.121685244016451,0.0198096112900482,-0.0287067365521041,0.0933107448256911,0.0932332554804761,0.109068128744284,0.199555102373377,0.199173510082414,0.163806204950788
"ZEB1",-0.0493666022748359,-0.163806204950788,-0.165010855651446,-0.199600825522603,-0.0893622715150499,-0.0537826062889257,-0.12170837966849,0.0198747872057698,-0.0286230995367507,0.0932332554804761,0.0932972391006693,0.109279405649078,0.199600825522603,0.199179968361928,0.0639009451171101
"miR200c",-0.0259041574537769,-0.139579542713881,-0.0679678390401183,-0.0806852896144866,-0.0515263473084426,-0.0552901963291583,0.0496367263666529,-0.00153367612328766,0.0599102156859113,-0.0481051937460982,-0.0480824982362257,0.0130643359329843,0.0806852896144866,0.111006122205805,0.13964804093663
"TGFbeta",-0.00549641391720445,-0.0993757126765137,-0.0919276899679,-0.0523378875036959,-0.0117840488011214,0.0274898699967649,-0.0960378994412319,0.0202928320588762,-0.0534484021111021,0.0354396782715742,-0.0644102926905475,0.0817226043307208,0.0523378875036959,-0.0390572605853361,0.0994281115733129
"SNAI2",-0.0035320523116448,0.0605382111838645,0.0642848746375685,0.029247476625778,-0.0640594149055768,-0.016540127435629,-0.0446169950983132,0.0733455877561632,-0.0206255745815187,-0.0212462788580462,-0.0215721789324644,0.0640042080360129,-0.029247476625778,-0.0388021106983653,-0.0607060070958068
"miR101",0.00504100705123327,0.222221285883251,0.147252935968629,0.114975121520771,0.0175053915602313,0.102261030278923,0.011361970783714,0.0918593334192261,0.0155824277457929,-0.0681790491017926,-0.0679978354984569,-0.0497186410105978,-0.114975121520771,-0.111921481054231,-0.222189575247913
"miR34a",0.00866621054738263,0.0378293852839036,-0.0370870263086331,0.0674976772283672,0.0935344658972446,0.0206443126706434,0.0944729077630612,-0.0460235671970708,-0.012982523714725,-0.0304791656829269,-0.030318381297821,-0.0301718081467206,-0.0674976772283672,-0.04533738185542,-0.0377425694890908
"miR200b",0.0100173427107852,0.191017736939291,0.105175986278997,0.0995437560205274,0.061349811153075,0.0615070630848139,-0.0484472450257803,7.01860636650549e-05,-0.0645719528512179,0.0386326100370737,0.0387460875864364,-0.02516188471934,-0.0995437560205274,-0.0947533144442577,-0.191042729534078
"miR200a",0.0136457775254563,0.230071005834372,0.200296594598077,0.121715689758758,0.00726658196904909,-0.0276731133027475,0.108934501030648,-0.0176394734405373,0.0851176695579445,-0.151044221752164,-0.150954634213193,-0.0958469157906918,-0.121715689758758,-0.0579147168234623,-0.23001268977987
"TWIST1",0.0181256730862683,0.0385737002152546,-0.0173921107057914,0.0319208226223984,-0.0130055802680202,0.027985436583463,0.0999465632688919,-0.0133170139850828,-0.0749620091534305,-0.014790583950399,-0.0146996845813476,0.0776219266463432,-0.0319208226223984,-0.0257045878422277,-0.0385288447251241
"miR141",0.0295325922684479,0.178632811608963,0.163088447359198,0.102857223352717,-0.00255688187558334,-0.0338899800584032,0.107745019689775,-0.0161759833809147,0.0897794067232512,-0.141571638043139,-0.141618223563404,-0.0837493670043361,-0.102857223352717,-0.0741675245850101,-0.178618001182423
"GSC",0.0677039308638476,-0.0779289340566008,0.0155657646544011,-0.00121238796738392,-0.0968603553376339,0.0151896124211828,-0.167174713806184,0.10671413987653,-0.00363768008208229,0.0103295432645042,0.0103692946605354,0.00146912556042127,0.00121238796738392,-0.00225739652703785,0.0779662766404128
