"","ZEB2","TWIST2","miR101","TWIST1","miR200c","miR200a","miR34a","miR200b","miR141","TGFbeta","GSC","ZEB1","FOXC2","SNAI1","SNAI2"
"ZEB2",-0.0848384632002617,-0.0119361061424013,-0.0115877996436053,-0.00997599123017828,-0.00823248686582265,-0.00823248686582265,-0.00589768100953294,-0.00234152889737574,-0.00192837187953521,-0.000121161375913575,8.56410024422199e-05,0.00194579079448612,0.00645824538159576,0.0106945390317625,0.0336820679367611
"SNAI1",-0.0583845895113648,0.0233968998864274,0.0939440654590944,0.00416563399219282,0.0659281313632962,0.0659281313632962,0.0153370736141637,-0.0106377073866303,-0.0706356431647498,-0.00362810676655488,0.00364357050013457,0.0706192586416321,-0.014457435337246,-0.106456633413176,-0.0942848617477224
"TWIST2",-0.0321415012616718,0.081600883840671,-0.0119463641559515,0.0281753975226795,-0.048986027622598,-0.048986027622598,0.0169919477715521,0.0545163589130762,0.127225064450392,-0.00526872614036263,0.00526589659767332,-0.127203956085322,0.0725107251534441,-0.0958987466460371,-0.0782010139895491
"miR34a",-0.0258403580588045,0.0235447217615288,0.126869431175139,0.0232246544991071,-0.0313456857494809,-0.0313456857494809,0.0364549142384715,0.0761701623202541,0.00453434010760042,-0.0245059405371975,0.0244701432590042,-0.00448291118567329,-0.0775423292843428,0.0790338669150188,-0.165258241565296
"TGFbeta",-0.0238219268066202,0.134337358127533,0.0306590975444249,0.0726513912163904,0.0148702530221368,0.0148702530221368,-0.0717831503158892,0.0928258203610941,-0.00805127347130914,-0.0985614320437928,-0.00141275650883027,0.00806351033942394,0.00566224524219756,-0.0467996902220155,-0.109522079039812
"FOXC2",-0.0166337394135415,-6.04852724480332e-05,0.0925717348010505,0.00313915430001101,0.00826964605774144,0.00826964605774144,0.00496540274787117,0.000183027155586077,-0.00440984889307956,-0.00116191623860942,0.00108442689339439,0.00450062109756264,-0.08699564978722,0.0791108772163236,-0.104641264349687
"miR101",-0.00690770286994876,-0.00990496443275495,-0.113034509166814,-0.00188840753452582,0.0071526212745409,0.0071526212745409,-0.00808827206600007,-0.0474275105289035,-0.0073014503595303,0.00893260321341432,-0.00888861932910953,0.00727178557163353,0.0254924445013732,-0.0118293036993657,0.114252566346192
"miR200a",-0.00572168984188723,0.0832018541722213,-0.00287969834070193,0.0505542854112714,0.00221349450782357,0.00221349450782357,-0.0968547398413588,-0.00132783988971169,0.000434386902714116,0.0901421857400197,-0.0901457692415785,-0.000478818182334969,-0.00624119347463895,-0.0807329478369885,-0.0746998674483319
"miR141",-0.00572168984188723,0.0832018541722213,-0.00287969834070193,0.0505542854112714,0.00221349450782357,0.00221349450782357,-0.0968547398413588,-0.00132783988971169,0.000434386902714116,0.0901421857400197,-0.0901457692415785,-0.000478818182334969,-0.00624119347463895,-0.0807329478369885,-0.0746998674483319
"miR200c",0.00572168984188723,-0.0832018541722213,0.00287969834070193,-0.0505542854112714,-0.00221349450782357,-0.00221349450782357,0.0968547398413588,0.00132783988971169,-0.000434386902714116,-0.0901421857400197,0.0901457692415785,0.000478818182334969,0.00624119347463895,0.0807329478369885,0.0746998674483319
"miR200b",0.0141581922614968,-0.0585755182717143,-0.053820549369165,-0.0492790969934712,-0.0118650015337794,-0.0118650015337794,-0.00508625298041548,-0.0609113033547764,0.00950729969301689,-0.086129894753447,0.0862075372872215,-0.00954062315273253,0.0326338578479216,0.0279037040829423,0.134704825967198
"ZEB1",0.0166535821524318,0.00012915026650587,-0.0925373693182154,-0.00313318022748577,-0.00830958146655848,-0.00830958146655848,-0.00487214074132045,-0.000156271426169536,0.00450062109756264,0.00114272115255145,-0.00116191623860942,-0.104474053749335,0.0869478361063378,-0.0791696682377588,0.104649348467629
"GSC",0.0468615301307557,0.0178651077925503,-0.0292011739017219,-0.102628981132435,-0.0667693812019401,-0.0667693812019401,0.0161092063985858,0.0814903181469876,0.081631726693933,-0.011111557454912,0.0111159742766932,-0.081616494850536,0.032253046181172,-0.00985893838536972,-0.0475069393723081
"SNAI2",0.0711875590036046,-0.30361362675693,-0.181393685954832,-0.0697901668360749,-0.0333276148557726,-0.0333276148557726,0.0407126562014557,-0.193256184406534,-0.00388329928528635,0.197398301543272,-0.197359809408498,0.00388899295894508,-0.112991594668922,0.112694891877688,0.176476590074737
"TWIST1",0.0968709290100626,-0.172593878477797,-0.112977400149555,-0.0926505936210459,-0.10886033697608,-0.10886033697608,0.0499834900273809,0.00916393710668251,0.115697797799658,0.0105373744253884,-0.010534700914534,-0.115693908595312,0.065134268106917,0.0465634579123068,0.205974812367011
