"","SNAI2","ZEB2","miR141","miR34a","TWIST1","GSC","TGFbeta","miR200b","FOXC2","miR200c","miR200a","miR101","ZEB1","SNAI1","TWIST2"
"ZEB1",0.0997377262998956,-0.121471025463751,-0.26998894047728,-0.231008224245783,-0.124711915901728,-0.0375165858291625,0.0376112815870485,0.198575720533408,-0.143014322176614,0.290260614146049,0.290260614146049,-0.112335528702061,0.169912747327646,0.126631127836291,0.113591545892108
"FOXC2",0.099747966182622,-0.121434597749072,-0.269799920710298,-0.230643383276156,-0.124822436243444,-0.0377711936777262,0.0375165858291625,0.198389353038852,-0.143210204030551,0.290219521189151,0.290219521189151,-0.112561866882112,0.26998894047728,0.12626897514425,0.114016740663005
"ZEB2",-0.126433001982389,-0.101389649357601,-0.0487002411293749,-0.0215172586034219,-0.00783210483137789,-0.00461080288372157,0.00462348873138991,0.0048833605307972,0.0123513658363689,0.0204405923997337,0.0204405923997337,0.037456529189042,0.0486021975223655,0.0518782035463807,0.0769832478053187
"GSC",0.209944953717061,-0.0995116180484095,-0.111352484519822,-0.107250176328785,0.210116614785567,-0.0284329002241943,0.0285761314448145,0.0468936360319351,0.230183355979831,0.105441226424497,0.105441226424497,-0.00934603233742835,0.111590789166517,-0.0984251892756792,-0.057285791706143
"miR200b",-0.12421762406638,-0.0668329027942693,-0.228666281348303,-0.126467915386471,-0.0438193853724592,0.0552863466977718,-0.0554906062866248,0.0163329885293011,-0.00835590526546658,0.146859941491753,0.146859941491753,0.0237464283825578,0.228740333481005,0.0766127205563992,0.126261851926299
"TWIST2",-0.303267976835996,-0.062290300961921,0.111352556330817,0.107963946620109,-0.25722392964802,-0.055367172411271,0.055252292978085,-0.149087344273569,-0.149616885352603,-0.0262739097436209,-0.0262739097436209,0.119751967279351,-0.11157551343686,0.0887971303349855,0.179927994840231
"miR200a",0.232372299478558,-0.0463285571092441,-0.212288081846216,-0.189128010108885,-0.0544693173231488,-0.104797430008523,0.104784290502807,0.10456203912889,-0.0742624644138188,0.12912365991283,0.12912365991283,-0.114285722190888,0.212589844286974,-0.00471167787887621,-0.0430889909655814
"miR101",0.149473649142453,-0.0457595703032878,0.24552627140572,0.115067292143919,0.0701042459797595,-0.0133542825999286,0.0136480949470846,-0.11128515091764,0.152130669558975,-0.099669221623828,-0.099669221623828,0.0100405385778327,-0.245495924668676,-0.0712716437657987,-0.106903916442409
"miR34a",-0.00854683699242539,-0.0272324407049649,-0.114779979613772,-0.108798769381394,0.0696507938157379,-0.0196002619735601,0.0198472025197416,0.0216914367274005,0.143398164922257,0.121281099114661,0.121281099114661,0.0507782748591343,0.11484745058474,-0.10260805064838,-0.0153584641844005
"SNAI2",0.291416303395955,0.00859411838743424,-0.211820143537566,-0.126571756743243,0.159265620431078,0.221211627565133,-0.220509359950705,0.331588521895713,0.0528065269964109,0.102316589258083,0.102316589258083,-0.30892799756324,0.211960475847154,0.0226408525659333,-0.302546888457362
"TGFbeta",0.228801853788316,0.0296554605971763,0.0720543437142494,-0.0256091976316722,0.00739204429109647,0.0253000023937572,-0.125077378660131,0.129033906718755,-0.0294914810496089,-0.0475091270942021,-0.0475091270942021,-0.106379975964468,-0.0720188881733014,-0.0149369631045563,-0.174656096117446
"SNAI1",-0.174513776259023,0.0391325163438526,-0.129664609282151,-0.000836200205913041,-0.0532300120589832,-0.000642649163512041,0.000682696268423561,0.00848674011139288,-0.129771409896866,0.0429912812873973,0.0429912812873973,0.0183313535972166,0.129513129728799,-0.0621726243329892,0.0809112555257998
"TWIST1",0.262215420743368,0.0482827795408296,0.109288613980574,0.0259574214323646,0.157992239805203,0.0511162693056382,-0.0507326204980241,0.0588004431079226,0.249550920271199,-0.0881152156553417,-0.0881152156553417,-0.116035659292422,-0.10928213197333,-0.0293673310769992,-0.196351627873977
"miR200c",0.165858061106481,0.0526269193346881,0.25449739311658,0.138647564634892,0.047478105217263,-0.0690961924636143,0.0693028410535064,-0.0594302165197527,0.00354391450554008,-0.153294904897166,-0.153294904897166,-0.0370973119013216,-0.254359471019424,-0.0930447683417453,-0.155272402100641
"miR141",0.12421762406638,0.0668329027942693,0.228666281348303,0.126467915386471,0.0438193853724592,-0.0552863466977718,0.0554906062866248,-0.0163329885293011,0.00835590526546658,-0.146859941491753,-0.146859941491753,-0.0237464283825578,-0.228740333481005,-0.0766127205563992,-0.126261851926299
