"","miR34a","ZEB1","miR101","GSC","FOXC2","ZEB2","SNAI2","TGFbeta","SNAI1","miR200b","TWIST2","TWIST1","miR200c","miR200a","miR141"
"ZEB1",0.372829432245325,0.271767530308612,0.0818420959318694,0.16796359535106,0.171078737405171,-0.122745779850388,-0.0314985472432553,-0.168664855828378,-0.19618729192771,-0.317160489543259,-0.212021599073397,-0.216146030663426,-0.350683134739388,-0.350683134739388,-0.371490828870467
"GSC",-0.0582795698859352,-0.154667364934495,0.108297879918402,-0.0214290024981711,-0.0185451079413732,-0.120160401919198,0.0817723837014928,0.0217716216734874,-0.031387965449622,0.0375787161723758,-0.0153470090441724,-0.166925264989746,0.0223511587187553,0.0223511587187553,0.154586783569428
"miR34a",-0.0871159995470798,-0.204935917579633,0.0192455226251511,-0.0710208325423043,0.102483305630708,-0.0703990852252157,-0.0256954226963122,0.0714534335482685,-0.0411845030861576,0.060316570765393,-0.00920902569120691,-0.0300402187711696,0.1328306200893,0.1328306200893,0.204852404559623
"ZEB2",-0.162940355009072,-0.152226830656099,-0.0566131061408672,-0.0493755754371137,-0.0473614843079504,-0.0462781960273984,-0.0281292353675423,0.0502661219434312,0.0846137790608706,0.0860521862612925,0.091312455659648,0.0941920485957761,0.0971941158913331,0.0971941158913331,0.151612191799974
"TWIST1",0.24240979543074,0.239542279570025,0.120246497902011,0.0660669299823805,0.153208486305564,-0.0460451019650684,-0.014173844434727,-0.0664626095888397,-0.253440560184891,-0.111122556805289,-0.0437044099731938,-0.188629224903034,-0.142399820909804,-0.142399820909804,-0.239354301359941
"TWIST2",0.247292182530816,0.242011173362949,0.0946005627581077,0.0520849657251488,0.166718523891736,0.014284494418256,-0.0564609115854635,-0.0523515086464819,-0.262270162899327,-0.101597592291078,-0.0209803238523067,-0.116546923063037,-0.113343922817918,-0.113343922817918,-0.241925420629855
"SNAI2",-0.148513224786771,-0.16193978563552,-0.0332281355082123,-0.0403595111091709,-0.0871271834449982,0.0245859062771446,-0.0357344253752812,0.0407675277377731,0.129296932776628,0.0841728240294465,-0.0189219881862901,0.0195053271618656,0.093190435341247,0.093190435341247,0.161769980191698
"miR200b",-0.228967748275788,-0.351548034829251,0.0852072120531497,0.0111202900754117,0.00866126301956332,0.0394504521465929,0.116308400718154,-0.00998193108022551,-0.0498003153264187,0.216193292048578,0.0426008025391756,-0.0395325122410394,0.198946326678101,0.198946326678101,0.351268488028303
"miR101",-0.199680333784719,-0.195433553835102,-0.211635189041972,-0.0657581226351449,-0.236677607694738,0.0451136491965876,-0.106203118147412,0.0658161813624273,0.214903993145411,0.0715030798021977,0.139918004981036,0.264594415885618,0.117682465039792,0.117682465039792,0.195375929132176
"miR200a",-0.227452085463529,-0.209580915170782,-0.153256209130978,-0.176734439382723,-0.110914664966591,0.0608268618637572,-0.108140670756517,0.176718910875968,0.196752428512948,0.054324323953301,0.155867946295585,0.221465548051046,0.13328755941671,0.13328755941671,0.209639231225284
"miR200c",-0.297231721747239,-0.287696719201751,-0.173565799235365,-0.208418971842902,-0.130802229720602,0.101419071034105,-0.1197717264387,0.208654288445265,0.228078860983887,0.137732586136055,0.19071626221352,0.260433702503062,0.194038151401808,0.194038151401808,0.287918875599855
"miR141",-0.297231721747239,-0.287696719201751,-0.173565799235365,-0.208418971842902,-0.130802229720602,0.101419071034105,-0.1197717264387,0.208654288445265,0.228078860983887,0.137732586136055,0.19071626221352,0.260433702503062,0.194038151401808,0.194038151401808,0.287918875599855
"FOXC2",-0.372601872949342,-0.371490828870467,-0.0810019191273853,-0.166662881342094,-0.170605227726756,0.122272219559559,0.0315432793625337,0.16796359535106,0.195922732331252,0.317071918852777,0.210553224585083,0.215423167887872,0.350199858415298,0.350199858415298,0.371235598789626
"TGFbeta",-0.0691639488347658,0.0863497884390915,-0.136502949690994,-0.195780394192038,-0.068507603135918,0.129173131914081,-0.142559437379832,0.0950754190355557,0.127528381131046,-0.105842423568003,0.145380871493562,0.169721035488987,0.0146434434492032,0.0146434434492032,-0.086077753447924
"SNAI1",-0.139546917337052,-0.0282252845788955,-0.186284369651333,-0.0365512859067104,-0.194081130205549,0.161098172321012,-0.11432343095813,0.0362432007530842,0.0539790373979331,0.0171977829502108,0.11610860218798,0.21497301556238,0.0835195857157242,0.0835195857157242,0.0283931486553648
