"","miR200c","TGFbeta","SNAI1","miR200a","SNAI2","TWIST2","miR34a","miR141","ZEB1","FOXC2","miR101","TWIST1","GSC","miR200b","ZEB2"
"TWIST2",0.184800996590996,0.142558677769369,0.00289950740930669,0.101146346620052,-0.058823346896647,-0.0435893854257133,-0.0656013029762623,-0.0758528141198973,-0.0753462133582372,-0.007359075450883,0.03227823234956,-0.0661762925095714,-0.142810507068718,-0.165118232951934,-0.294993858241172
"miR200c",0.152808953062191,0.206140257470588,0.261440083173661,0.10876962472404,0.146898478149869,0.086686027527675,0.00259946972324573,-0.0429287143649515,-0.042169680004762,-0.148090977510804,-0.203235923160186,-0.25890288340224,-0.20719977943148,-0.106666658854652,-0.265079368432608
"miR200a",0.152808953062191,0.206140257470588,0.261440083173661,0.10876962472404,0.146898478149869,0.086686027527675,0.00259946972324573,-0.0429287143649515,-0.042169680004762,-0.148090977510804,-0.203235923160186,-0.25890288340224,-0.20719977943148,-0.106666658854652,-0.265079368432608
"GSC",0.197226755505408,0.13603255195644,-0.146663725444937,0.0296418876333335,0.0439950556687796,0.102505107945971,-0.162171833710869,-0.159884316343421,-0.159683354280538,0.075674898425012,0.101858859949993,0.21601513099508,-0.135607906090901,-0.1702254988569,-0.24566805667055
"miR101",0.127494298100256,0.0843364613898242,0.256513186489744,0.0131870764137203,0.0991587186782224,0.0169198812867959,0.038831525943514,-0.112865114609094,-0.112443329061643,-0.124390752497941,-0.227517563229658,-0.260386646764687,-0.0849751073899298,-0.102288029517742,-0.145166009860813
"FOXC2",0.055788773368022,0.0348842803804157,0.14308453895046,0.00329539674384179,0.105329422315167,0.112014374367676,-0.0159060388807883,-0.0430793920075188,-0.0422175900190735,-0.114941888454196,-0.123094046452676,-0.147152672435075,-0.0358971768214407,-0.0427849896396254,-0.0704620551217491
"SNAI2",-0.0136391723995525,-0.00431411375052216,-0.100165724168468,0.0165602094910621,-0.115461581960762,0.00185036999000102,-0.0228650527939005,0.0312340485528736,0.0312196469077369,0.0753267463960896,0.0590959302485842,0.0109997474848082,0.00443301167793455,0.00295044228966135,-0.00333025929513579
"miR34a",-0.127647588850898,-0.0426074622976381,-0.11100121190842,0.10087298474732,-0.0587665692279882,-0.176457322430834,0.010580830386908,0.123389551321223,0.123505148439316,0.0515298741377099,0.0809457461443683,0.135665467976684,0.042322904272677,0.0331723965538213,0.030171795094509
"ZEB1",-0.055190899783848,-0.0355586677372523,-0.143316175574915,-0.00363166446156211,-0.105282534431104,-0.112384108951064,0.0152323141454659,0.0422175900190735,-0.0574184874372783,0.115282753727582,0.123287204166542,0.147427479771236,0.0348842803804157,0.0422775533920703,0.0705517916871783
"TWIST1",-0.0516571177797331,-0.0420680823470873,-0.226824296967761,-0.0519910909727599,0.0233894231209813,0.108199691791438,-0.0714688829644299,-0.0180289031311563,-0.0178761870404808,0.0198923307358854,0.102166702846426,0.120810449783487,0.0420400104831155,0.0431215808814398,0.104141697802035
"TGFbeta",-0.129548424229809,-0.185475242629394,0.166890186716926,-0.054363272243059,0.052586116515143,0.00563860695846976,0.184512891715537,0.0672180244353854,0.0672923869416215,-0.0541165050129551,-0.11047288006991,-0.140145619975313,0.0845718419712021,0.183322534872296,0.194918803886127
"SNAI1",-0.0981095330746081,-0.0811069878184092,0.0630955176766115,-0.0941119766554391,0.0401711070880391,-0.0586092522479398,0.144442960077948,-0.0115641737103906,-0.0114516460421865,-0.0589508816192999,-0.152890779235551,-0.149436692404372,0.0805506899155294,0.0901279846503528,0.20860981479415
"miR200b",-0.152808953062191,-0.206140257470588,-0.261440083173661,-0.10876962472404,-0.146898478149869,-0.086686027527675,-0.00259946972324573,0.0429287143649515,0.042169680004762,0.148090977510804,0.203235923160186,0.25890288340224,0.20719977943148,0.106666658854652,0.265079368432608
"miR141",-0.152808953062191,-0.206140257470588,-0.261440083173661,-0.10876962472404,-0.146898478149869,-0.086686027527675,-0.00259946972324573,0.0429287143649515,0.042169680004762,0.148090977510804,0.203235923160186,0.25890288340224,0.20719977943148,0.106666658854652,0.265079368432608
"ZEB2",-0.428894611966089,-0.361971126239279,-0.286479040273724,-0.285226775015668,-0.175437597955601,-0.127005815980748,0.0602193288959045,0.156327005102311,0.156695788415985,0.182506260357596,0.229286724493277,0.284643864522247,0.360494493570684,0.376427549522312,0.39683626837993
