"","miR200c","miR200b","FOXC2","SNAI2","miR141","miR34a","TWIST2","miR101","TWIST1","ZEB1","SNAI1","TGFbeta","GSC","ZEB2","miR200a"
"miR200c",0.115427995603689,0.0754917778392934,0.135517875117633,0.133361781884989,0.0297934977560339,0.00919647597007211,0.0560984846300159,-0.0102024430383533,-0.032441149554262,-0.0297990516659865,-0.154605590735707,-0.124892626035237,-0.12485559651913,-0.199545499106438,-0.115427995603689
"GSC",0.0995982566103449,0.108638560898472,-0.0237231480363832,-0.0433459293463837,0.0582742419811458,-0.0881948664954717,0.0156765963598319,-0.223463417644819,-0.363232968183547,-0.0582511485411568,-0.308525142395749,-0.0394200232983642,-0.0393954152912973,-0.154104339820198,-0.0995982566103449
"TGFbeta",0.0566873744977711,0.129689979064832,-0.0898421163833942,-0.0625250556660264,-0.0122717773318071,0.0959175574269407,-0.107584333108922,0.0233360236177911,0.0432351992416692,0.012248872424823,0.108808900688495,-0.109388431789791,-0.00939004500525156,-0.131294121259496,-0.0566873744977711
"SNAI1",0.029175265579825,-0.0362703759790494,-0.146790404997014,0.198893765860545,-0.0540570880667349,0.168582457801043,0.0320816860414678,0.307202583752921,0.262917281969943,0.0540431766791822,0.217312800844112,0.0191493393484097,0.0191521148903342,-0.105010773967749,-0.029175265579825
"ZEB1",-0.00769626253046708,0.00456580479703798,-0.117469352234325,-0.115301704363619,-0.0180537813212485,0.000975131399442443,-0.00696637593387067,-0.000111600488687862,0.0151800812234311,-0.0819863203364537,0.117545227503369,0.00111311147756446,0.00115278132208426,-0.00752720652482711,0.00769626253046708
"miR34a",0.0900261448072696,-0.0164031290276682,0.1039418831902,0.128677578083133,0.0864889329873951,-0.0145472127326111,0.0216069349785884,0.00608876066758522,-0.0547777966794781,-0.0864790246629871,-0.124345790347069,-0.0115172366281573,-0.0114923605534805,0.00254026462129179,-0.0900261448072696
"FOXC2",0.00767137524671153,-0.00461654842179348,0.117517165915208,0.115356137424428,0.0179929105488305,-0.00101467449021995,0.00701127227613925,0.000195736670801221,-0.0151502108608049,-0.0180537813212485,-0.117534645119511,-0.00115278132208426,-0.00119706094792143,0.0075251334028535,-0.00767137524671153
"SNAI2",0.0222744906874663,-0.181214770456316,-0.0405256394139259,0.0972373648171572,0.0897112281769835,0.0459926309215191,0.179218601446784,0.185182206114337,-0.153470881171944,-0.0896713724613724,-0.0276638863521179,0.181723432381915,0.181707180147233,0.0452620418045191,-0.0222744906874663
"TWIST1",-0.0257937405816434,0.00178765891936863,0.00457861342671755,-0.033476716962385,0.0662814779311528,0.112313739160731,-0.114616970106767,0.0883508259317015,0.238495306355033,-0.066335667511715,0.243797408415925,-0.00932054961396851,-0.00934728472251305,0.112290104672609,0.0257937405816434
"miR101",-0.0502704171529341,-0.0745923127070016,-0.115794234004179,0.184639580081806,0.020787805020809,0.0990664264682513,0.0161338558515371,0.271151777271598,0.235998284623415,-0.0208488394694701,0.258553963423917,0.0207313405738058,0.0207260625076892,0.126278138606678,0.0502704171529341
"TWIST2",-0.049584607066457,0.017375811285229,0.0685783017606678,-0.174238442169679,0.0460903762929638,-0.0961700640718814,-0.10739345855823,-0.216673255525325,-0.27260081245512,-0.0460723462311339,-0.274745864932999,-0.0121078883626644,-0.012122036076111,0.144256637898217,0.049584607066457
"ZEB2",-0.277223171240318,-0.26168116059311,-0.056825227917306,-0.0541215421730936,-0.04477802539478,-0.0232440657574463,-0.0162352478221683,0.00331589601847735,0.0101647083304933,0.044755629646986,0.0613772663171573,0.0911262808859567,0.0911516525812934,0.203894228441289,0.277223171240318
"miR200b",-0.138148534391216,-0.155148094486201,0.0570642919942733,0.0359377966746711,-0.0180702014031629,-0.104092495267458,0.0640672216540476,-0.00856347240420052,-0.0148237915742524,0.018125740502689,-0.0515722588321403,-0.0478603119090397,-0.0478208933918926,0.261475990527834,0.138148534391216
"miR200a",-0.138148534391216,-0.155148094486201,0.0570642919942733,0.0359377966746711,-0.0180702014031629,-0.104092495267458,0.0640672216540476,-0.00856347240420052,-0.0148237915742524,0.018125740502689,-0.0515722588321403,-0.0478603119090397,-0.0478208933918926,0.261475990527834,0.138148534391216
"miR141",-0.138148534391216,-0.155148094486201,0.0570642919942733,0.0359377966746711,-0.0180702014031629,-0.104092495267458,0.0640672216540476,-0.00856347240420052,-0.0148237915742524,0.018125740502689,-0.0515722588321403,-0.0478603119090397,-0.0478208933918926,0.261475990527834,0.138148534391216
