"","FOXC2","ZEB2","miR200b","miR34a","miR200c","miR200a","GSC","ZEB1","miR141","TGFbeta","TWIST1","TWIST2","SNAI2","miR101","SNAI1"
"GSC",0.210202753491086,-0.114964782286073,0.159040057180766,0.191110040681872,-0.0424844155651477,-0.0424844155651477,0.0525771425403553,0.186706465996623,0.186384140536351,-0.052547486736967,-0.107458287576066,0.0473360366066348,-0.0810808212784874,-0.189867204108413,-0.19262457911851
"ZEB2",-0.118105001136334,-0.0751615578493785,-0.0304387484104063,-0.0252524463644395,-0.0208325705933061,-0.0208325705933061,-0.0199264014993466,0.0192978062334917,0.0194734884328537,0.020580991239033,0.0271347660123834,0.0418985106380528,0.0986318918354171,0.128326735517578,0.156831965433612
"ZEB1",-0.130050540320673,-0.0679268323997592,0.296031200257701,0.269465046721412,-0.253237049202436,-0.253237049202436,0.0228314202144012,0.241665964728236,0.341391268372975,-0.0232537121076765,0.0329724227292021,0.142601013646937,-0.0775137142664192,0.0475543788215674,0.175189941958753
"miR200b",0.140050568480606,-0.064420060000683,0.221926313899812,0.29380269160065,-0.127423195267859,-0.127423195267859,0.147208213659116,0.309775561016836,0.308949879737215,-0.147106681114949,-0.0278869857239186,0.0356036828186234,-0.175163221040458,-0.165217570062876,-0.155522339962353
"miR141",0.140050568480606,-0.064420060000683,0.221926313899812,0.29380269160065,-0.127423195267859,-0.127423195267859,0.147208213659116,0.309775561016836,0.308949879737215,-0.147106681114949,-0.0278869857239186,0.0356036828186234,-0.175163221040458,-0.165217570062876,-0.155522339962353
"TWIST2",-0.113839475984852,-0.0396285728252468,-0.125002764130874,-0.251714689089746,0.164522552281009,0.164522552281009,0.00291426034118402,-0.27939992319982,-0.279159375789553,-0.00267374921259262,0.0534266076924071,0.0306403805082471,0.140928622516806,0.153412618307224,0.187241574636097
"miR200c",0.206329089739604,-0.00889187401084247,-0.0305386625474846,-0.071398257616555,0.118301944261257,0.118301944261257,0.125284470752214,-0.225911679203758,-0.22634580983172,-0.125254608239224,-0.0564748595144956,-0.102664448150188,-0.127475815722181,-0.204692829476651,-0.284026087115675
"TWIST1",0.132366774051143,-0.00727137630229281,0.0436269258736593,0.13552395796556,-0.0815097984547829,-0.0815097984547829,-0.00796251286415823,0.141777432832725,0.141775099310117,0.00777670385977368,-0.162624641242895,0.11120753266303,0.000855834648178798,-0.0643956267214823,-0.128397260279008
"SNAI2",-0.0905444350737881,0.0170645739108285,-0.104633155179017,-0.162465112867379,0.0846026908866937,0.0846026908866937,-0.01523069777975,-0.181412126738901,-0.180866538833603,0.0156438466929887,-0.00196858255128448,0.0519887385679876,0.0296828775111756,0.123154771263872,0.118213370560744
"miR200a",0.158589670425132,0.0183251623544972,-0.0791326454766013,-0.0796452080075171,0.0983918975021891,0.0983918975021891,0.100289768228305,-0.213707639373296,-0.213739111529694,-0.100601532863922,-0.0452046602891883,-0.0869139385036273,-0.0933537247787067,-0.160548379291786,-0.227496094046365
"miR101",-0.043405795532572,0.0196443361245612,-0.144523399105136,-0.231837878842979,0.129264715155318,0.129264715155318,-0.0122558615722336,-0.269406310061204,-0.269180925868104,0.0126640320185821,0.183463528630121,-0.0528575825251272,0.148720121300504,0.194089287919164,0.137126085733661
"miR34a",-0.109781129684039,0.037588946411581,-0.115809064495124,-0.229208655978129,0.175154915579218,0.175154915579218,-0.00798668578608027,-0.257648327164067,-0.257274169961423,0.0082384802004914,0.0823628642336378,-0.0169244736637125,0.0151999447427882,0.0933267326884173,0.168653965637474
"FOXC2",0.130135371044819,0.067649922536141,-0.295860517156251,-0.269206151391227,0.252960973984961,0.252960973984961,-0.0229144445128459,-0.341391268372975,-0.340939543167136,0.0228314202144012,-0.0327304727919299,-0.142355404245115,0.0774948513245548,-0.0474655025728561,-0.175048843507308
"TGFbeta",-0.176177788118236,0.114189692255595,-0.226611867157932,-0.274128218110756,0.0380533165042637,0.0380533165042637,-0.248866265944766,-0.180268666512399,-0.179768837514787,0.149493806759117,0.0787232726795422,0.0558477323514095,0.185833433660567,0.222611071845848,0.257192918678819
"SNAI1",-0.0925768202020913,0.116925484533821,-0.136660928842228,-0.222800596074422,0.00841069354201819,0.00841069354201819,-0.0619866420454655,-0.129060586714192,-0.128800598337929,0.0620140009587219,0.197630837604801,0.00122888932799091,0.168710989222769,0.238830805310277,0.108093461651761
